Date,Arc_Q1,Arc_Q2A,Arc_Q3A,Arc_Q4A,Arc_Q5A,Arc_Q6A,QS_Q1,QS_Q2A,QS_Q3A,QS_Q4A,QS_Q5A,QS_Q6A,CE_Q1,CE_Q2A,CE_Q3A,CE_Q4A,CE_Q5A,CE_Q6,CE_Q7,CE_Q8,CE_Q9,CE_Q10,CE_Q11,CE_Q12
2001/06/30,29,-24,-15,-33,-27,-36,28,-13,-22,-26,-24,-38,42,-17,-33,-28,-34,44,32.1095,12.8289,80.2216,,,
2001/09/30,31,-16,-29,-34,-29,-30,33,-4,-20,-24,-22,-37,37,-42,-48,-49,-41,61,25.7323,9.3423,91.784,,,
2001/12/31,34,-15,-24,-21,-26,-32,40,-10,-22,-24,-24,-25,42,-10,-4,-13,-25,50,30.6195,15.2427,80.2216,,,
2002/03/31,50,-2,16,-6,-8,7,46,-4,10,-9,-6,-4,50,5,5,2,-17,31,36.5646,17.2095,65.6792,,,
2002/06/30,45,6,1,-11,-16,-7,42,-10,-9,-23,-14,-22,55,5,-10,-3,-26,37,34.5978,24.1678,68.1377,,,
2002/09/30,42,-4,-1,-16,-18,-11,46,-7,-4,-16,-5,-13,62,-3,-17,-12,-32,50,38.1589,27.6246,70.5813,,,
2002/12/31,35,-7,-20,-33,-35,-24,46,-13,-7,-17,-23,-23,56,-6,0,-24,-24,46,44.5659,29.651,68.5251,,,
2003/03/31,46,6,-3,-7,-12,1,48,-10,-5,-9,-28,-12,63,33,13,10,-6,29,49.5127,32.1542,67.0947,,,
2003/06/30,49,-6,1,-9,-15,3,51,-14,-21,-19,-33,-20,65,11,7,11,-18,48,46.0112,28.5186,66.0517,,,
2003/09/30,56,-1,-6,-10,-7,-2,64,-2,2,0,-9,6,52,-19,-13,-19,-6,36,41.4816,13.7676,76.1092,,,
2003/12/31,63,-1,-6,-15,-3,-2,54,2,-6,-19,-19,-3,54,-17,-32,-12,-21,56,39.5148,18.6846,78.6124,,,
2004/03/31,71,16,29,10,10,23,66,0,-9,-8,-8,4,40,-32,-26,-26,-39,45,35.0001,12.8289,70.5366,,,
2004/06/30,63,8,20,-1,-1,16,79,4,21,14,12,19,59,-8,-11,-15,-18,46,39.0082,30.098,63.4144,,,
2004/09/30,71,17,13,8,-9,17,79,10,7,-7,-8,13,69,4,-8,-12,-36,21,43.4484,29.5616,61.5072,,,
2004/12/31,83,10,16,12,8,40,68,8,12,14,4,10,70,12,7,0,-15,35,45.5493,29.1146,51.5838,,,
2005/03/31,82,20,23,15,-5,43,84,2,3,25,13,29,69,35,24,17,-7,21,52.4629,32.5565,44.6106,,,
2005/06/30,80,5,3,-4,2,11,91,15,17,15,-1,37,77,25,31,-3,0,20,58.4527,35.4918,47.1734,,,
2005/09/30,65,-4,-2,-3,-9,0,86,11,11,-2,-5,0,78,15,19,-11,-5,32,62.5502,34.0614,30.2023,,,
2005/12/31,78,1,25,20,-13,18,85,3,12,7,5,19,80,45,46,42,29,10,61.984,38.5016,23.7953,,,
2006/03/31,89,20,5,8,11,29,94,11,3,14,15,35,77,38,37,21,7,-5,69.4638,47.382,34.1061,,,
2006/06/30,79,7,3,5,-5,12,88,16,18,7,-4,24,91,31,30,30,11,-3,73.606,39.8724,23.2291,,,
2006/09/30,82,6,5,2,-7,4,83,9,7,11,14,15,84,32,33,25,25,0,74.053,45.0129,32.78,,,
2006/12/31,86,6,11,0,-7,13,86,13,24,10,15,33,83,37,32,18,17,8,71.0134,49.3637,34.1955,,,
2007/03/31,78,11,22,4,-9,20,92,17,18,20,14,29,83,44,45,25,24,-7,75.0364,54.8767,26.7157,,,
2007/06/30,95,23,19,17,12,30,88,0,-11,-2,0,4,85,17,26,23,4,0,69.5234,48.3803,29.6957,,,
2007/09/30,87,13,11,5,-2,19,83,8,-5,8,11,-3,70,-2,6,15,6,39,66.603,51.4795,41.6157,,,
2007/12/31,82,-9,-2,-11,-9,-2,84,11,4,-11,2,8,83,8,17,33,17,19,73.01,45.9069,25.777,,,
2008/03/31,79,-5,-13,-12,-21,-16,75,-7,-24,-21,-29,-40,76,-20,-13,6,-5,31,70.6111,45.9665,34.717,,,
2008/06/30,64,-6,-17,-21,-34,-31,80,-6,-32,-27,-21,-30,71,-44,-32,-9,-32,43,67.0351,46.3986,43.5825,,,
