Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Comments,Latecomer,NewRecruit,WrongClassific,Duplicate,Imputed
01,30447,0099,3,100,10Q2,,3,2,3,2,3,2,3,2,3,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,10Q3,,2,1,1,1,2,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,10Q4,,1,2,1,1,1,2,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,11Q1,1,1,1,1,2,1,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,11Q2,,2,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,11Q3,,1,2,1,2,1,2,2,1,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,11Q4,,2,2,2,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,12Q1,1,2,1,1,1,2,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,12Q2,,2,2,2,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,12Q3,,2,1,1,1,2,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30447,0099,3,100,12Q4,,1,2,1,2,2,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,0,100,01Q3,1,2,3,3,3,3,3,3,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,0,100,06Q4,1,2,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,0,100,07Q4,1,2,2,3,3,2,2,3,3,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,09Q4,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,10Q1,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,10Q2,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,10Q4,2,2,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,11Q1,2,3,3,3,3,3,3,3,3,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,11Q3,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,12Q1,2,2,3,2,3,2,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30718,0099,3,100,12Q3,2,3,3,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,02Q1,1,2,2,2,2,2,2,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,02Q3,1,1,2,1,2,1,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,02Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,03Q3,,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,03Q4,1,2,2,2,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,05Q3,1,1,2,1,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30739,0099,0,100,07Q1,,2,1,2,2,2,2,2,1,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,01Q2,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,01Q4,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,02Q1,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,02Q3,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,02Q4,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,03Q1,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,04Q1,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,04Q2,1,3,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,04Q3,1,1,1,1,2,2,2,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,05Q2,1,3,2,1,2,2,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,05Q3,1,2,2,1,1,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,06Q1,,1,2,2,2,2,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,06Q3,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,06Q4,,2,2,1,2,2,2,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,07Q1,,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,0,100,07Q4,1,2,1,1,1,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,08Q4,,2,2,2,3,2,2,2,1,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,09Q1,,1,3,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,09Q2,,2,2,2,3,2,3,2,2,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,09Q3,,3,2,3,2,2,3,2,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,09Q4,,2,2,2,2,2,2,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,10Q1,,1,2,1,2,2,1,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,10Q2,1,1,2,1,2,1,2,1,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,10Q3,,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,11Q1,1,3,2,2,2,2,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,11Q4,,2,3,2,2,2,2,2,2,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,12Q1,2,3,2,3,2,3,2,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30755,0099,3,100,12Q3,,3,1,2,1,2,2,2,2,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,01Q2,2,2,2,1,3,2,3,2,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,01Q3,2,2,2,3,2,3,2,1,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,01Q4,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,02Q1,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,02Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,02Q3,2,2,2,3,2,3,2,3,2,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,02Q4,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,03Q1,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,03Q2,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,03Q3,2,2,2,3,3,2,1,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,03Q4,2,2,3,1,3,1,3,1,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,04Q1,2,2,2,1,3,1,3,1,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,04Q2,2,2,2,2,3,2,3,1,3,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,04Q3,2,2,2,2,3,2,3,1,3,1,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,04Q4,1,2,2,2,2,2,2,2,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,05Q1,2,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,05Q2,1,2,2,2,2,1,2,2,2,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,05Q3,1,2,2,2,2,1,3,1,3,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,06Q1,1,2,,1,,2,,1,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,06Q2,1,2,2,2,2,2,2,1,3,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30760,0099,0,100,07Q1,1,2,2,3,2,3,2,3,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,01Q3,2,2,2,3,3,2,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,01Q4,2,2,2,2,2,3,3,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,02Q1,1,2,1,2,1,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,02Q2,1,2,2,2,2,2,2,3,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,02Q3,2,2,2,2,2,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,02Q4,2,3,2,2,2,3,3,3,3,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,03Q1,2,2,2,3,2,3,2,3,3,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,03Q2,2,3,2,3,3,2,3,3,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,03Q3,2,3,2,2,2,3,2,3,2,3,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30773,0099,0,100,03Q4,2,2,2,3,2,3,2,2,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
