Date,RGDP,Coincident,Leading,BER_BCI,SACCI,RGDP_Growth,Coincident.g,Leading.g,BER.BCI,SACCI.g
1960/03/31,565040,25.867,25.967,,,,,,,
1960/06/30,574255,26.3,25.467,,,,,,,
1960/09/30,584836,26.267,24.767,,,,,,,
1960/12/31,590609,25.4,24.167,,,,,,,
1961/03/31,594892,24.9,24.133,,,0.0528317,-0.037371134,-0.070603338,,
1961/06/30,592293,23.4,24.033,,,0.0314114,-0.11026616,-0.056282723,,
1961/09/30,605522,21.933,24.133,,,0.0353715,-0.164974619,-0.025572005,,
1961/12/31,611027,21.933,25.16666667,,,0.034571,-0.13648294,0.04137931,,
1962/03/31,626831,22.3,25.76666667,,,0.0536887,-0.104417671,0.067679558,,
1962/06/30,630847,22.667,27.36666667,,,0.0650924,-0.031339031,0.138696255,,
1962/09/30,643161,23.8,28.96666667,,,0.0621586,0.085106383,0.200276243,,
1962/12/31,651399,25.067,30.8,,,0.0660728,0.142857143,0.22384106,,
1963/03/31,660015,25.833,31.46666667,,,0.052939,0.158445441,0.221216041,,
1963/06/30,677468,26.667,32.13333333,,,0.0739021,0.176470588,0.174177832,,
1963/09/30,695347,27.5,33.23333333,,,0.0811401,0.155462185,0.147295742,,
1963/12/31,707600,28.7,34.5,,,0.0862779,0.144946809,0.12012987,,
1964/03/31,720854,29.567,35.23333333,,,0.0921783,0.144516129,0.11970339,,
1964/06/30,733901,30.5,36.06666667,,,0.0833003,0.14375,0.122406639,,
1964/09/30,740796,30.8,36.1,,,0.065362,0.12,0.086258776,,
1964/12/31,762459,32.1,35.26666667,,,0.0775281,0.118466899,0.022222222,,
1965/03/31,777129,32.6,33.83333333,,,0.0780665,0.10259301,-0.039735099,,
1965/06/30,784647,32.333,32.76666667,,,0.0691456,0.06010929,-0.091497227,,
1965/09/30,782169,31.533,31.83333333,,,0.0558494,0.023809524,-0.118190212,,
1965/12/31,795179,30.867,31.83333333,,,0.0429138,-0.038421599,-0.097353497,,
1966/03/31,806346,30.167,32.23333333,,,0.0375966,-0.074642127,-0.04729064,,
1966/06/30,815121,30.367,33.83333333,,,0.0388383,-0.060824742,0.032553408,,
1966/09/30,827130,31.7,35.2,,,0.0574825,0.005285412,0.105759162,,
1966/12/31,829852,32.033,35.96666667,,,0.0436037,0.037796976,0.129842932,,
1967/03/31,860021,32.567,35.46666667,,,0.0665658,0.079558011,0.100310238,,
1967/06/30,861388,33.4,35.06666667,,,0.0567609,0.099890231,0.036453202,,
1967/09/30,904702,32.433,33.86666667,,,0.0937837,0.023133544,-0.037878788,,
1967/12/31,888275,31.467,34.03333333,,,0.0704012,-0.017689906,-0.053753475,,
1968/03/31,902859,32.167,35.76666667,,,0.0498098,-0.012282497,0.008458647,,
1968/06/30,906862,32.367,38.76666667,,,0.0527911,-0.030938124,0.105513308,,
1968/09/30,916650,33.3,40.53333333,,,0.0132067,0.02672148,0.196850394,,
1968/12/31,933980,34.033,41.8,,,0.0514543,0.081567797,0.22820764,,
1969/03/31,940693,34.733,43.66666667,,,0.0419044,0.079792746,0.220876048,,
1969/06/30,939899,36.4,44.26666667,,,0.0364305,0.1246138,0.141874463,,
1969/09/30,982822,37.4,44.36666667,,,0.0721894,0.123123123,0.094572368,,
1969/12/31,969556,38.067,44.66666667,,,0.0380907,0.118511263,0.068580542,,
1970/03/31,990426,38.967,43.76666667,,,0.0528685,0.121880998,0.002290076,,
1970/06/30,1010636,40.333,43.8,,,0.07526,0.108058608,-0.010542169,,
1970/09/30,998969,40.733,43.56666667,,,0.0164287,0.08912656,-0.018031555,,
1970/12/31,1034117,41.667,43.13333333,,,0.0665886,0.094570928,-0.034328358,,
1971/03/31,1049434,42.333,41.7,,,0.0595789,0.086398631,-0.047220107,,
1971/06/30,1040879,41.333,40.33333333,,,0.0299243,0.024793388,-0.079147641,,
