Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6,Q7,Q8,Q9,Q10,Q12,Latecomer,NewRecruit,WrongClassif,Duplicate
1,30013,5010,4,2.023526406,2001Q2,2,2,1,2,1,2,1,2,2,2,3,2,1,,,FALSE,FALSE,FALSE,FALSE
1,30018,5000,2,0.870634071,2001Q2,2,3,3,3,3,3,3,3,3,1,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,30067,6000,1,0.354859221,2001Q2,,3,,3,3,2,3,3,3,3,3,3,3,,,FALSE,FALSE,FALSE,FALSE
1,30085,6010,2,0.972377881,2001Q2,2,3,1,3,1,3,2,3,3,1,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,30234,5000,1,0.264680901,2001Q2,1,3,2,3,1,3,2,2,2,1,1,3,1,,,FALSE,FALSE,FALSE,FALSE
1,30480,6000,3,5.929785339,2001Q2,2,3,2,3,2,3,2,3,2,2,2,2,2,,,FALSE,FALSE,FALSE,FALSE
1,30530,5010,1,0.264680901,2001Q2,2,1,2,1,3,1,3,1,3,2,2,3,2,,,FALSE,FALSE,FALSE,FALSE
1,30628,5010,4,2.023526406,2001Q2,,2,2,3,3,3,3,3,3,1,2,1,1,,,FALSE,FALSE,FALSE,FALSE
1,30830,6010,1,0.354859221,2001Q2,,3,3,3,3,3,3,3,3,1,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31063,5000,1,0.264680901,2001Q2,2,3,2,3,2,3,3,3,3,1,3,3,2,,,FALSE,FALSE,FALSE,FALSE
1,31092,5000,1,0.264680901,2001Q2,1,1,2,1,2,2,2,1,2,1,3,3,3,,,FALSE,FALSE,FALSE,FALSE
1,31146,6010,1,0.354859221,2001Q2,2,1,1,1,1,3,1,2,1,2,1,1,1,,,FALSE,FALSE,FALSE,FALSE
1,31443,5010,1,0.264680901,2001Q2,2,3,3,3,3,3,3,3,3,1,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31508,5010,4,2.023526406,2001Q2,2,2,,1,1,2,2,2,2,2,2,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31523,5010,4,2.023526406,2001Q2,2,3,2,3,2,3,3,3,3,1,1,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31605,6010,4,2.883321941,2001Q2,2,3,2,3,2,3,2,3,2,1,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31655,6010,1,0.354859221,2001Q2,2,3,2,3,2,3,3,3,3,1,1,1,1,,,FALSE,FALSE,FALSE,FALSE
1,31721,6000,1,0.354859221,2001Q2,2,2,,2,,3,,3,,1,2,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31875,6010,1,0.354859221,2001Q2,2,3,,3,,2,,2,,1,2,3,1,,,FALSE,FALSE,FALSE,FALSE
1,31886,6000,1,0.354859221,2001Q2,2,2,1,1,1,2,2,3,1,2,2,3,3,,,FALSE,FALSE,FALSE,FALSE
1,32027,6000,3,5.929785339,2001Q2,2,3,3,3,3,2,2,3,3,1,3,3,2,,,FALSE,FALSE,FALSE,FALSE
1,38008,5000,1,0.264680901,2001Q2,2,,,3,2,2,2,3,2,1,2,3,2,,,FALSE,FALSE,FALSE,FALSE
1,40569,6000,1,0.354859221,2001Q2,2,3,2,3,2,3,3,3,3,2,3,3,3,,,FALSE,FALSE,FALSE,FALSE
1,40891,6010,1,0.354859221,2001Q2,2,3,1,3,1,3,2,3,1,2,3,3,1,,,FALSE,FALSE,FALSE,FALSE
1,44001,6000,1,0.354859221,2001Q2,2,2,2,3,2,2,2,3,3,1,,,,,,FALSE,FALSE,FALSE,FALSE
1,44095,5000,1,0.264680901,2001Q2,1,1,,1,,1,,2,,1,1,3,2,,,FALSE,FALSE,FALSE,FALSE
