Date,con_totalQ1,con_totalQ2A,con_totalQ3A,con_totalQ4A,con_totalQ5A,con_totalQ6,con_totalQ7,con_totalQ8,con_totalQ9,con_resQ1,con_resQ2A,con_resQ3A,con_resQ4A,con_resQ5A,con_resQ6,con_resQ7,con_resQ8,con_resQ9,con_nonresQ1,con_nonresQ2A,con_nonresQ3A,con_nonresQ4A,con_nonresQ5A,con_nonresQ6,con_nonresQ7,con_nonresQ8,con_nonresQ9,subcon_totalQ1,subcon_totalQ2A,subcon_totalQ3A,subcon_totalQ4A,subcon_totalQ5A,subcon_totalQ6,subcon_totalQ7,subcon_totalQ8,subcon_totalQ9,subcon_resQ1,subcon_resQ2A,subcon_resQ3A,subcon_resQ4A,subcon_resQ5A,subcon_resQ6,subcon_resQ7,subcon_resQ8,subcon_resQ9,subcon_nonresQ1,subcon_nonresQ2A,subcon_nonresQ3A,subcon_nonresQ4A,subcon_nonresQ5A,subcon_nonresQ6,subcon_nonresQ7,subcon_nonresQ8,subcon_nonresQ9,subcon_totalQ10,subcon_totalQ12_median,subcon_totalQ12_mean
1993/06/30,14,-61,-51,,,68,29,-26.82,89,18,-60,-45,,,67,,,,9,-64,-57,,,70,,,,15,-67,-48,,,80,,,,15,-68,-53,,,78,,,,15,-65,-44,,,81,,,,,,
1993/09/30,17,-55,-42,,,63,29,-29.8,91,22,-54,-41,,,58,,,,13,-56,-44,,,69,,,,18,-54,-42,,,77,,,,18,-49,-40,,,80,,,,18,-60,-46,,,75,,,,,,
1993/12/31,23,-35,-29,,,56,38,-26.82,87,22,-24,-29,,,61,,,,25,-28,-28,,,50,,,,28,-32,-18,,,74,,,,26,-39,-19,,,69,,,,29,-26,-17,,,76,,,,,,
1994/03/31,32,-18,-17,,,47,36,-20.86,82,32,-29,-36,,,53,,,,33,-5,6,,,39,,,,29,-16,-14,,,63,,,,22,-29,-11,,,68,,,,36,-2,-10,,,59,,,,,,
1994/06/30,35,2,-7,,,32,47,-11.92,89,38,-5,-16,,,37,,,,32,10,2,,,27,,,,38,1,-9,,,49,,,,44,-14,-25,,,57,,,,32,12,2,,,43,,,,,,
1994/09/30,41,-2,-2,,,36,48,-7.45,83,40,-13,-17,,,40,,,,42,11,18,,,32,,,,38,-8,-7,,,53,,,,39,-22,-26,,,49,,,,37,1,7,,,56,,,,,,
1994/12/31,45,25,15,,,34,58,1.49,83,51,28,23,,,39,,,,37,21,5,,,28,,,,41,4,4,,,46,,,,39,3,3,,,59,,,,43,4,4,,,38,,,,,,
1995/03/31,58,21,6,,,32,,,,61,15,5,,,30,,,,54,29,8,,,34,,,,49,12,11,,,43,,,,54,12,19,,,43,,,,46,10,5,,,43,,,,,,
1995/06/30,41,6,-7,,,36,,,,44,4,-12,,,38,,,,37,9,-2,,,34,,,,45,6,17,,,45,,,,45,-2,5,,,41,,,,45,14,26,,,49,,,,,,
1995/09/30,36,-21,-23,,,41,,,,41,-19,-29,,,46,,,,31,-23,-18,,,36,,,,36,-13,-4,,,57,,,,40,-17,-11,,,63,,,,32,-11,0,,,51,,,,,,
1995/12/31,41,-6,-8,,,42,,,,49,-4,-6,,,41,,,,33,-7,-9,,,44,,,,49,5,9,,,55,,,,52,10,11,,,48,,,,46,2,9,,,59,,,,,,
1996/03/31,50,6,-1,,,39,,,,51,0,-2,,,46,,,,49,12,0,,,31,,,,58,1,-4,,,42,,,,74,4,12,,,41,,,,49,0,-14,,,42,,,,,,
1996/06/30,38,-23,-19,,,50,,,,38,-35,-31,,,53,,,,39,-14,-8,,,47,,,,39,-21,-6,,,49,,,,36,-36,-6,,,50,,,,43,-9,-7,,,48,,,,,,
1996/09/30,39,-20,-7,,,55,,,,44,-23,-12,,,56,,,,33,-17,-1,,,54,,,,46,-17,-2,,,61,,,,57,-13,4,,,65,,,,10,-21,-4,,,59,,,,,,
