"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"6";1993-06-30;0,25;0;NA;NA;NA;NA
"9";1994-03-31;0,25;0;0;NA;NA;NA
"16";1995-12-31;0,25;0;0;NA;NA;NA
"61";1993-06-30;0,25;-1;0;NA;NA;NA
"91";1994-03-31;0,25;0;1;NA;NA;NA
"10";1994-06-30;0,25;-1;0;NA;NA;NA
"11";1994-09-30;0,25;-1;-2;NA;NA;NA
"12";1994-12-31;0,25;1;0;NA;NA;NA
"13";1995-03-31;0,25;2;-1;NA;NA;NA
"14";1995-06-30;0,25;1;1;NA;NA;NA
"15";1995-09-30;0,25;0;0;NA;NA;NA
"161";1995-12-31;0,25;1;0;NA;NA;NA
"17";1996-03-31;0,25;-1;1;NA;NA;NA
"18";1996-06-30;0,25;-1;0;NA;NA;NA
"19";1996-09-30;0,25;0;0;NA;NA;NA
"20";1996-12-31;0,25;1;0;NA;NA;NA
"21";1997-03-31;0,25;0;1;NA;NA;NA
"22";1997-06-30;0,25;0;0;NA;NA;NA
"23";1997-09-30;0,25;0;1;NA;NA;NA
"24";1997-12-31;0,25;-1;1;NA;NA;NA
"25";1998-03-31;0,25;1;0;NA;NA;NA
"28";1998-12-31;0,25;0;-1;NA;NA;NA
"29";1999-03-31;0,25;1;1;NA;NA;NA
"30";1999-06-30;0,25;1;2;NA;NA;NA
"31";1999-09-30;1,5;-1;1;NA;NA;NA
"35";2000-09-30;1,5;0;0;NA;NA;NA
"36";2000-12-31;1,5;0;1;NA;NA;NA
"37";2001-03-31;1,5;-1;-1;NA;NA;NA
"38";2001-06-30;0,5;1;0;0;0;NA
"39";2001-09-30;0,5;-1;-1;-1;-1;NA
"62";1993-06-30;0,25;0;0;NA;NA;NA
"131";1995-03-31;0,25;-1;1;NA;NA;NA
"141";1995-06-30;0,25;0;0;NA;NA;NA
"151";1995-09-30;0,25;1;0;NA;NA;NA
"162";1995-12-31;0,25;0;0;NA;NA;NA
"171";1996-03-31;0,25;-1;-1;NA;NA;NA
"181";1996-06-30;0,25;-1;0;NA;NA;NA
"191";1996-09-30;0,25;0;0;NA;NA;NA
"201";1996-12-31;0,25;0;0;NA;NA;NA
"211";1997-03-31;0,25;0;0;NA;NA;NA
"221";1997-06-30;0,25;0;0;NA;NA;NA
"231";1997-09-30;0,25;0;0;NA;NA;NA
"241";1997-12-31;0,25;0;0;NA;NA;NA
"251";1998-03-31;0,25;0;0;NA;NA;NA
"281";1998-12-31;0,25;0;0;NA;NA;NA
"291";1999-03-31;0,25;0;0;NA;NA;NA
"301";1999-06-30;0,25;0;0;NA;NA;NA
"311";1999-09-30;0,25;0;0;NA;NA;NA
"32";1999-12-31;0,25;1;0;NA;NA;NA
"361";2000-12-31;0,25;0;0;NA;NA;NA
"371";2001-03-31;0,25;0;0;NA;NA;NA
"381";2001-06-30;0,25;0;0;0;0;NA
"391";2001-09-30;0,25;0;0;0;0;NA
"40";2001-12-31;0,25;0;0;0;0;NA
"41";2002-03-31;0,25;1;1;1;0;NA
"42";2002-06-30;0,25;0;0;0;1;NA
"43";2002-09-30;0,25;0;0;0;0;NA
"44";2002-12-31;0,25;0;0;0;-1;NA
"45";2003-03-31;0,25;NA;1;0;0;NA
"46";2003-06-30;0,25;-1;-1;0;-1;NA
"47";2003-09-30;0,25;0;0;0;1;NA
"48";2003-12-31;0,25;0;0;0;0;NA
"49";2004-03-31;0,25;NA;0;0;0;NA
"50";2004-06-30;0,25;1;1;1;0;NA
"51";2004-09-30;0,25;0;0;0;0;NA
"53";2005-03-31;0,25;0;0;0;0;NA
