"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"6";1993-06-30;0,00652173913043478;2;0;NA;NA;NA
"9";1994-03-31;0,00845070422535211;0;0;NA;NA;NA
"10";1994-06-30;0,00816326530612245;-1;0;NA;NA;NA
"11";1994-09-30;NA;2;1;NA;NA;NA
"12";1994-12-31;NA;0;-1;NA;NA;NA
"61";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"13";1995-03-31;0,00211267605633803;-1;1;NA;NA;NA
"14";1995-06-30;0,00215827338129496;0;0;NA;NA;NA
"15";1995-09-30;0,00303030303030303;1;0;NA;NA;NA
"16";1995-12-31;NA;0;0;NA;NA;NA
"17";1996-03-31;0,00303030303030303;-1;-1;NA;NA;NA
"18";1996-06-30;0,00223880597014925;-1;0;NA;NA;NA
"19";1996-09-30;0,0027027027027027;0;0;NA;NA;NA
"20";1996-12-31;0,00285714285714286;0;0;NA;NA;NA
"21";1997-03-31;0,00220588235294118;0;0;NA;NA;NA
"22";1997-06-30;0,00285714285714286;0;0;NA;NA;NA
"23";1997-09-30;0,0025;0;0;NA;NA;NA
"24";1997-12-31;0,00352941176470588;0;0;NA;NA;NA
"25";1998-03-31;0,00319148936170213;0;0;NA;NA;NA
"28";1998-12-31;0,00352941176470588;0;0;NA;NA;NA
"29";1999-03-31;0,00447761194029851;0;0;NA;NA;NA
"30";1999-06-30;0,00384615384615385;0;0;NA;NA;NA
"31";1999-09-30;0,00148514851485149;0;0;NA;NA;NA
"32";1999-12-31;0,00180722891566265;1;0;NA;NA;NA
"36";2000-12-31;0,00267857142857143;0;0;NA;NA;NA
"37";2001-03-31;0,00162162162162162;0;0;NA;NA;NA
"38";2001-06-30;0,00576923076923077;0;0;0;0;NA
"39";2001-09-30;0,00625;0;0;0;0;NA
"40";2001-12-31;0,00638297872340425;0;0;0;0;NA
"41";2002-03-31;0,00526315789473684;1;1;1;0;NA
"42";2002-06-30;0,00454545454545455;0;0;0;1;NA
"43";2002-09-30;0,00652173913043478;0;0;0;0;NA
"44";2002-12-31;0,00555555555555556;0;0;0;-1;NA
"45";2003-03-31;0,00526315789473684;NA;1;0;0;NA
