"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"58";2006-06-30;1;0;0;0;0;NA
"60";2006-12-31;1;NA;0;0;0;NA
"581";2006-06-30;1;0;0;1;0;NA
"59";2006-09-30;1;0;0;0;0;NA
"601";2006-12-31;1;NA;0;0;0;NA
"61";2007-03-31;1;NA;-1;-1;-1;NA
"62";2007-06-30;1;NA;-2;-2;-1;NA
"63";2007-09-30;1;1;1;1;0;NA
"64";2007-12-31;1;NA;-1;-1;0;NA
"65";2008-03-31;1;NA;1;1;0;NA
"68";2008-12-31;1;0;0;1;NA;NA
"70";2009-06-30;1;0;0;0;0;NA
"602";2006-12-31;1;0;1;1;1;NA
"611";2007-03-31;1;0;0;0;0;NA
"621";2007-06-30;1;0;0;0;0;NA
"631";2007-09-30;1;0;0;0;0;NA
"641";2007-12-31;1;0;1;0;0;NA
"651";2008-03-31;1;0;0;1;1;NA
"66";2008-06-30;1;NA;0;1;1;NA
"67";2008-09-30;1;0;0;1;1;NA
"681";2008-12-31;1;0;0;1;1;NA
"71";2009-09-30;1;-1;-1;0;-1;NA
"72";2009-12-31;1;-1;-1;0;-1;NA
"73";2010-03-31;1;-1;-1;-1;-1;NA
"74";2010-06-30;1;-1;-1;0;-1;NA
"75";2010-09-30;1;0;0;0;0;NA
"76";2010-12-31;1;-1;-1;-1;0;NA
"77";2011-03-31;1;0;-1;-1;-1;NA
"78";2011-06-30;1;0;-1;-1;-1;NA
"79";2011-09-30;1;-1;-1;-1;-1;NA
"80";2011-12-31;1;0;0;0;-1;NA
"85";2013-03-31;1;1;0;0;0;NA
"86";2013-06-30;1;1;1;0;-1;NA
"612";2007-03-31;1;NA;0;0;-1;NA
"622";2007-06-30;1;0;0;-1;-1;NA
"652";2008-03-31;1;NA;0;1;0;NA
"661";2008-06-30;1;NA;0;-1;0;NA
"671";2008-09-30;1;NA;0;0;0;NA
"682";2008-12-31;1;NA;0;0;0;NA
"69";2009-03-31;1;NA;0;0;0;NA
"711";2009-09-30;1;0;0;0;0;NA
"721";2009-12-31;1;NA;0;0;0;NA
"731";2010-03-31;1;0;0;0;0;NA
"761";2010-12-31;1;NA;0;0;0;NA
"771";2011-03-31;1;NA;0;0;0;NA
"632";2007-09-30;1;NA;-2;-1;-1;NA
"691";2009-03-31;1;0;0;0;0;NA
"582";2006-06-30;1;1;0;0;1;NA
"603";2006-12-31;1;NA;0;0;0;NA
"613";2007-03-31;1;NA;1;1;0;NA
"623";2007-06-30;1;0;0;1;0;NA
"633";2007-09-30;1;0;0;0;0;NA
"642";2007-12-31;1;0;0;0;0;NA
"653";2008-03-31;1;NA;0;0;0;NA
"672";2008-09-30;1;-2;-2;-1;-2;NA
"683";2008-12-31;1;-1;-1;-1;-1;NA
"692";2009-03-31;1;-1;-1;-1;-1;NA
"701";2009-06-30;1;NA;0;-1;-1;NA
"712";2009-09-30;1;NA;0;0;0;NA
"722";2009-12-31;1;NA;0;-1;-1;NA
"732";2010-03-31;1;NA;0;-1;-1;NA
"741";2010-06-30;1;0;0;0;-1;NA
"751";2010-09-30;1;0;0;0;1;NA
"762";2010-12-31;1;0;0;-1;-1;NA
"772";2011-03-31;1;NA;-2;-2;-1;NA
"781";2011-06-30;1;-2;-1;-1;-1;NA
"791";2011-09-30;1;-1;-1;-1;-1;NA
"801";2011-12-31;1;0;0;0;0;NA
"81";2012-03-31;1;1;1;0;0;NA
"82";2012-06-30;1;0;0;0;-1;NA
"83";2012-09-30;1;1;1;1;1;NA
"84";2012-12-31;1;NA;0;0;0;NA
"702";2009-06-30;2;0;0;-1;-1;NA
"88";2013-12-31;2;-1;-1;0;0;NA
"604";2006-12-31;1;1;0;0;0;NA
"662";2008-06-30;1;-1;-1;-1;-1;NA
"693";2009-03-31;1;-2;-2;-2;-2;NA
"703";2009-06-30;1;-2;-2;-1;-2;NA
"713";2009-09-30;1;0;-1;0;0;NA
"723";2009-12-31;1;NA;-2;-1;-1;NA
"643";2007-12-31;1;NA;-1;0;-1;NA
"654";2008-03-31;1;-1;-1;-1;-1;NA
"663";2008-06-30;1;0;0;0;1;NA
"583";2006-06-30;2;-1;-1;0;0;NA
"614";2007-03-31;2;0;0;0;0;NA
"584";2006-06-30;1;NA;0;0;0;NA
"585";2006-06-30;1;NA;-2;-2;-2;NA
"586";2006-06-30;1;0;0;0;0;NA
"615";2007-03-31;1;0;0;0;0;NA
"673";2008-09-30;1;0;0;0;0;NA
"684";2008-12-31;1;0;0;0;0;NA
"694";2009-03-31;1;0;0;0;0;NA
"704";2009-06-30;1;0;0;0;0;NA
"724";2009-12-31;1;0;0;0;0;NA
"733";2010-03-31;1;0;0;0;0;NA
"587";2006-06-30;1;0;-1;-1;-1;NA
"588";2006-06-30;1;NA;0;0;0;NA
"589";2006-06-30;1;NA;-1;0;0;NA
"624";2007-06-30;1;NA;1;0;1;NA
"634";2007-09-30;1;0;-1;1;0;NA
"644";2007-12-31;1;2;1;0;2;NA
"655";2008-03-31;1;1;0;1;1;NA
"664";2008-06-30;1;0;0;0;0;NA
"674";2008-09-30;1;0;0;1;1;NA
"5810";2006-06-30;3;0;0;1;0;NA
"695";2009-03-31;3;-1;-1;0;-1;NA
"705";2009-06-30;3;0;0;-1;-1;NA
"734";2010-03-31;1;NA;0;0;0;NA
"742";2010-06-30;1;-2;-2;-2;-2;NA
"706";2009-06-30;1;0;0;-1;0;NA
"714";2009-09-30;1;-1;-1;-1;0;NA
"841";2012-12-31;1;-1;-1;-1;-1;NA
"5811";2006-06-30;1;NA;0;1;1;NA
"635";2007-09-30;1;NA;0;0;0;NA
"665";2008-06-30;1;0;0;0;1;NA
"685";2008-12-31;1;NA;0;-1;0;NA
"696";2009-03-31;1;-1;-1;0;-1;NA
"707";2009-06-30;1;NA;0;0;0;NA
"715";2009-09-30;1;-1;-1;-1;-1;NA
"725";2009-12-31;1;-2;-2;-1;-1;NA
"735";2010-03-31;1;-1;-1;-1;-2;NA
"743";2010-06-30;1;0;0;1;0;NA
"752";2010-09-30;1;1;1;0;0;NA
"763";2010-12-31;1;1;1;0;-1;NA
"773";2011-03-31;1;1;1;0;-1;NA
"802";2011-12-31;1;1;1;0;0;NA
"811";2012-03-31;1;0;0;0;-1;NA
"821";2012-06-30;1;0;0;0;0;NA
"831";2012-09-30;1;1;1;0;0;NA
"842";2012-12-31;1;-1;-1;-1;-1;NA
"851";2013-03-31;1;0;0;1;0;NA
"861";2013-06-30;1;-1;-1;0;-1;NA
"605";2006-12-31;1;1;1;0;1;NA
"616";2007-03-31;1;NA;1;1;2;NA
"675";2008-09-30;1;NA;-1;-1;-1;NA
"744";2010-06-30;1;NA;-1;-1;-1;NA
"753";2010-09-30;1;NA;0;0;0;NA
"764";2010-12-31;1;NA;-1;-1;-1;NA
"774";2011-03-31;1;NA;-2;-1;-1;NA
"782";2011-06-30;1;-1;-1;0;-1;NA
"792";2011-09-30;1;NA;1;0;0;NA
"803";2011-12-31;1;NA;0;1;0;NA
"812";2012-03-31;1;-1;-1;0;-1;NA
"5812";2006-06-30;1;NA;0;0;0;NA
"697";2009-03-31;1;0;0;0;0;NA
"666";2008-06-30;1;-1;-1;-1;-1;NA
"676";2008-09-30;1;0;0;0;0;NA
"686";2008-12-31;1;NA;0;0;0;NA
"775";2011-03-31;1;-1;-1;0;-1;NA
"783";2011-06-30;1;0;0;0;0;NA
"793";2011-09-30;1;0;0;0;0;NA
"862";2013-06-30;1;0;0;0;0;NA
"94";2015-06-30;2;0;0;0;0;NA
"606";2006-12-31;3;NA;1;1;0;NA
