Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6,Q7,Q8,Q9,Q10,Q12,Q1AX,Q1PX,Q3AX,Q3PX,Q4AX,Q4PX,Q6bX,Q6cXi,Q6cXii,Q6eX,Q7aX,Q7bX,Q7cX,Q7dX,Latecomer,NewRecruit,WrongClassif,Duplicate
1,31063,5000,1,100,1993Q2,2,3,2,2,2,,,,,2,3,3,3,3,,2,2,3,2,,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,38010,5010,1,100,1993Q2,2,3,2,2,2,,,,,1,3,3,1,3,,3,2,1,2,2,2,3,3,3,2,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,80628,6000,1,100,1993Q2,2,2,2,,,,,,,1,3,3,1,,,2,2,,,,,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80000,6010,1,100,1993Q2,2,3,2,3,3,,,,,1,2,2,1,,,3,3,3,3,3,3,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,30149,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44026,5010,1,100,1993Q2,2,3,3,,,,,,,1,3,,1,3,,2,3,,,3,,3,3,3,3,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31405,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,44114,5000,1,100,1993Q2,2,3,3,2,2,,,,,2,3,3,1,,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31047,5000,4,100,1993Q2,1,2,2,2,2,,,,,1,3,,3,,,2,2,2,2,2,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,40936,5000,1,100,1993Q2,1,2,,,,,,,,,3,3,3,3,,1,2,2,,,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,43149,5000,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,,,3,3,3,,3,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31845,6010,1,100,1993Q2,2,3,2,2,,,,,,1,3,3,1,3,,3,,2,,2,,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,40907,5000,1,100,1993Q2,2,3,3,,,,,,,1,3,3,1,3,,3,3,3,3,,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31602,5000,1,100,1993Q2,2,3,3,,,,,,,1,,,,,,3,3,,,,,,,1,,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80800,5010,1,100,1993Q2,2,2,,2,2,,,,,1,3,3,2,3,,,,,,2,,3,3,2,1,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31478,5010,1,100,1993Q2,2,1,1,1,1,,,,,1,3,3,1,3,,1,1,1,1,1,1,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31880,6000,1,100,1993Q2,,3,2,3,3,,,,,1,2,3,1,3,,3,3,3,2,3,2,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,31272,5010,8,100,1993Q2,1,1,1,2,1,,,,,1,3,3,3,3,,2,2,1,2,1,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,81015,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80576,6010,1,100,1993Q2,,2,2,2,2,,,,,1,2,3,2,2,,2,2,1,,1,,2,2,3,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
1,90075,5000,1,100,1993Q2,2,3,3,3,2,,,,,1,2,2,1,2,,3,2,3,2,3,2,2,2,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44118,6000,1,100,1993Q2,,3,3,3,3,,,,,1,2,3,1,3,,3,3,3,,3,,2,3,3,2,,,,2,FALSE,FALSE,FALSE,FALSE
1,31092,5000,1,100,1993Q2,1,2,2,2,2,,,,,2,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80422,6000,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,3,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,51902,5000,1,100,1993Q2,,3,2,3,2,,,,,1,3,3,1,3,,3,2,3,3,3,3,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31435,5010,5,100,1993Q2,2,3,2,3,2,,,,,,3,3,1,3,,3,2,3,,3,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30480,6000,1,100,1993Q2,2,3,3,3,3,,,,,3,2,3,1,3,,3,3,3,3,3,3,2,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE
1,31558,5010,1,100,1993Q2,2,3,1,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80001,5010,1,100,1993Q2,2,3,2,1,2,,,,,1,2,3,1,3,,1,2,1,1,1,1,3,2,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30988,5010,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,3,3,,3,3,3,3,,,3,3,3,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30342,5000,1,100,1993Q2,2,2,3,2,2,,,,,1,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30060,5000,1,100,1993Q2,2,3,3,2,3,,,,,1,2,3,2,3,,2,3,2,3,2,3,3,1,2,2,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,31592,6000,1,100,1993Q2,1,3,3,2,3,,,,,1,3,3,1,3,,2,3,2,,2,,3,3,2,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31253,5000,1,100,1993Q2,2,2,1,1,2,,,,,2,3,3,1,3,,2,2,2,2,2,2,3,2,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31508,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,2,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44117,5010,1,100,1993Q2,2,3,3,3,3,,,,,2,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,74005,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,74006,5010,1,100,1993Q2,2,3,3,3,2,,,,,1,3,3,1,3,,3,2,2,2,2,2,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30163,6000,1,100,1993Q2,,1,,1,1,,,,,2,3,,,,,1,1,1,1,1,1,,,,,,,,1,FALSE,FALSE,FALSE,FALSE
1,80493,5000,1,100,1993Q2,2,3,2,3,2,,,,,1,3,3,1,3,,3,2,3,2,3,2,3,2,3,3,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,40331,5000,1,100,1993Q2,2,3,2,3,3,,,,,2,3,3,1,3,,3,3,3,3,,,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,32047,6010,1,100,1993Q2,2,2,2,3,3,,,,,2,3,3,1,3,,2,2,2,2,3,3,3,3,3,3,,,,1,FALSE,FALSE,FALSE,FALSE
1,30955,5000,1,100,1993Q2,2,3,3,3,2,,,,,1,,3,3,3,,3,2,3,,3,,,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30845,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,80104,5010,1,100,1993Q2,2,3,3,3,3,,,,,3,3,3,3,3,,3,3,,,,,3,3,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,80137,5000,1,100,1993Q2,1,3,2,3,2,,,,,1,3,3,2,3,,3,2,2,2,2,2,3,3,3,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
1,44025,5000,1,100,1993Q2,1,2,3,,,,,,,1,3,3,2,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30018,5000,1,100,1993Q2,2,3,2,2,2,,,,,1,3,3,1,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80052,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31554,5000,4,100,1993Q2,1,3,3,3,3,,,,,1,3,3,,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,31562,5010,1,100,1993Q2,2,3,2,3,3,,,,,2,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31523,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,2,2,2,2,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,81009,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,,,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
