Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q1AX,Q1PX,Q3A,Q3P,Q3AX,Q3PX,Q4AX,Q4PX,Q6,Q7,Q6bX,Q6cXi,Q6cXii,Q8,Q10,Q6eX,Q9,Q7aX,Q7bX,Q7cX,Q7dX,Q1,Q2A,Q2P
6,50037,5000,1,1,2001Q1,15,1,1,1,1,1,1,1,1,,1,1,,,3,2,2,2,,,,,1,2,2
1,44095,5000,1,1,2001Q1,15,2,2,2,2,2,2,2,2,1,1,1,,,3,2,1,3,1,,,1,1,2,2
5,30029,5000,1,1,2001Q1,15,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,2,1,1
6,53335,5000,1,1,2001Q1,15,1,2,1,2,2,1,2,1,1,2,3,,,2,1,2,2,,,,,2,1,1
6,31001,5000,8,8,2001Q1,15,3,3,3,3,2,2,2,2,2,2,2,,,2,2,1,2,1,1,1,1,2,2,2
6,31153,5000,1,1,2001Q1,15,1,2,3,1,2,1,2,2,,3,3,,,2,3,2,2,,,,,,,
6,97188,5000,2,2,2001Q1,15,2,2,2,2,2,2,2,2,,3,3,,,2,3,2,1,,,,,,,
5,80642,5000,6,6,2001Q1,15,1,2,1,2,1,2,1,2,2,1,1,,,2,2,1,2,1,1,1,1,1,1,2
5,97020,5000,2,2,2001Q1,15,2,1,2,1,3,2,3,2,1,2,3,,,2,1,1,2,1,1,1,1,2,3,2
6,96915,5000,2,2,2001Q1,15,2,2,2,2,2,2,2,2,3,3,3,,,3,2,1,3,,,,,,,
6,33134,5000,5,5,2001Q1,15,3,2,3,2,3,2,3,2,,2,3,,,3,1,1,2,1,1,1,1,2,2,2
2,97352,5000,1,1,2001Q1,15,1,1,1,1,2,1,2,1,,1,,,,3,,1,1,1,1,1,1,2,1,1
2,40221,5000,1,1,2001Q1,15,3,1,3,1,3,1,3,1,1,2,3,,,3,2,1,1,1,1,1,1,2,3,2
6,97074,5000,2,2,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,2,1,,,,,2,3,3
5,97205,5000,3,3,2001Q1,15,1,2,2,2,1,2,2,2,,3,3,,,3,3,2,1,1,1,1,1,1,2,2
5,97005,5000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,2,2,,,2,1,1,1,1,1,1,1,2,3,3
2,31276,5000,5,5,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,3,1,1,1,1,1,2,,3
6,31072,5000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,2,3,,,3,1,1,1,1,1,1,1,2,3,
6,81253,5000,5,5,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,1,1,1,1,1,1,1,2,3,3
2,30090,5000,1,1,2001Q1,15,,,1,1,1,1,1,1,,3,3,,,2,3,3,3,1,1,1,1,1,1,
1,81002,5000,1,1,2001Q1,15,1,2,1,2,3,2,1,2,2,3,3,,,3,3,3,2,1,1,1,1,1,1,2
5,97024,5000,6,6,2001Q1,15,3,2,3,2,3,2,3,2,,3,3,,,3,1,1,2,1,1,1,1,2,3,2
1,53046,5000,1,1,2001Q1,15,3,2,3,2,1,2,1,2,1,2,2,,,,,,,1,1,1,1,2,3,2
1,80088,5000,4,4,2001Q1,15,1,1,1,1,2,2,2,1,1,1,3,,,2,3,3,3,1,1,1,1,1,1,1
1,80052,5000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,3,1,1,1,1,1,2,3,3
1,90042,5000,1,1,2001Q1,15,3,2,3,2,2,2,2,2,,2,1,,,1,2,2,1,1,1,1,1,2,3,
5,40840,5000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,2,2,,,2,2,2,3,1,1,1,1,2,3,2
1,30018,5000,6,6,2001Q1,15,2,2,2,2,1,2,1,2,1,3,3,,,2,2,2,1,1,1,1,1,2,3,2
1,31189,5000,6,6,2001Q1,15,1,2,1,2,1,,1,,1,3,3,,,2,2,1,3,1,1,1,1,2,1,2
1,97079,5000,2,2,2001Q1,15,3,3,3,3,3,3,3,3,,2,3,,,3,1,2,2,1,1,1,1,2,3,3
1,40569,5000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,2,2,3,1,1,1,1,2,3,3
1,31063,5000,1,1,2001Q1,15,2,3,2,3,2,3,2,3,1,3,3,,,2,3,2,3,1,1,1,2,2,3,3
1,80419,5000,1,1,2001Q1,15,3,2,3,2,3,1,3,1,1,3,3,,,3,3,1,1,1,1,1,1,2,3,3
