Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Comments,Latecomer,NewRecruit,WrongClassific,Duplicate,Imputed
1,35020,703,3,100,05Q2,1,,,1,2,2,2,2,2,2,1,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,05Q3,1,2,,2,2,2,2,2,2,1,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,06Q3,1,3,3,2,3,1,2,2,3,1,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,06Q4,1,1,1,1,1,1,1,1,1,3,1,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,07Q2,1,2,,2,3,3,3,2,3,1,1,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,07Q4,1,2,2,2,2,2,2,2,2,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,08Q1,1,2,2,2,2,2,2,2,2,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,08q2,,,,3,3,3,3,3,3,3,1,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,08Q3,1,3,3,3,3,3,3,2,2,1,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,08Q4,2,3,3,3,3,3,3,3,3,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,09Q1,1,2,2,2,2,1,2,2,2,1,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,09Q2,1,2,,3,2,3,2,3,2,1,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,09Q3,,2,2,3,2,2,2,2,2,1,3,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,09Q4,1,3,3,2,2,1,3,3,3,1,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,10Q1,2,3,3,3,3,3,3,3,3,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,10Q3,1,1,1,1,1,1,1,1,1,1,2,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,10Q4,1,2,2,2,2,2,2,2,2,2,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,11Q1,2,3,2,3,2,3,3,3,2,1,2,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,11Q3,,1,2,1,2,2,2,2,2,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,11Q4,1,2,1,2,1,2,2,2,2,2,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,12Q1,2,3,3,3,3,3,3,3,3,1,3,1,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,12Q2,,2,2,2,2,2,2,2,2,2,2,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,12Q3,2,3,2,3,2,2,2,3,2,1,3,2,1,3,,1,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35020,703,3,100,12Q4,1,1,,1,2,1,2,1,2,2,2,2,2,3,,1,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,05Q2,1,1,2,1,1,1,1,1,2,2,1,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,06Q1,1,1,2,1,2,1,2,1,2,3,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,06Q2,1,1,,1,,1,,1,,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,06Q3,1,2,,2,,2,,1,,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,06Q4,1,2,2,2,2,2,2,2,2,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,07Q1,1,1,,1,,1,,2,,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,07Q2,1,2,2,1,2,1,2,2,2,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,07Q4,1,2,2,2,1,1,1,1,3,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,08Q1,1,3,,3,2,2,2,3,2,1,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37323,702,9,100,11Q4,2,2,2,2,1,2,1,2,2,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37323,702,9,100,12Q1,2,2,,2,2,2,2,3,2,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37323,702,9,100,12Q2,2,1,2,1,2,1,2,2,2,2,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37323,702,9,100,12Q3,2,2,2,2,2,2,2,2,2,,3,3,1,2,,6,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37323,702,9,100,12Q4,2,2,1,1,1,1,1,2,1,2,3,3,2,1,,8,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,07Q1,1,1,1,1,1,1,1,1,1,2,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,07Q3,1,3,2,3,3,2,3,3,3,1,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,08Q1,1,2,,2,,2,,2,,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,08Q4,1,3,2,3,2,3,2,3,2,2,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,09Q1,2,3,1,3,1,3,2,3,2,2,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,10Q2,2,3,3,3,3,3,3,3,3,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,10Q4,2,3,2,3,2,3,2,3,2,1,2,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,11Q2,2,3,2,3,2,3,3,3,3,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,11Q4,1,1,2,1,2,1,2,1,2,2,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,12Q1,1,2,2,2,1,2,2,2,1,2,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,12Q3,2,3,2,3,2,2,3,3,2,1,3,3,1,2,,6,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37340,703,8,100,12Q4,2,3,1,3,1,3,1,3,2,1,3,3,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,07Q2,1,1,1,1,1,2,1,2,2,3,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,07Q4,1,3,2,2,2,2,2,2,2,,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,08Q1,2,3,2,2,2,2,2,3,2,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,08Q4,2,3,3,3,3,2,3,3,3,1,1,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,09Q2,2,,,3,2,3,3,3,3,1,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,09Q3,2,3,3,3,3,3,2,3,3,1,1,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37344,703,8,100,09Q4,2,3,3,3,3,3,3,3,3,1,1,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,07Q1,1,1,2,1,1,1,1,1,2,1,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,07Q2,1,1,2,1,2,1,1,1,2,2,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,07Q3,1,1,,,,1,,1,,2,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,07Q4,1,1,1,1,1,1,1,1,1,2,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,08Q1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,08q2,1,2,2,2,2,2,1,2,2,2,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,08Q3,1,2,2,2,2,1,2,2,2,1,2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,09Q1,1,2,2,2,3,1,2,2,2,1,1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37345,702,9,100,09Q2,1,2,,,,2,,2,,1,2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,08q2,1,3,,2,,2,,3,,1,1,1,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,08Q3,,3,2,3,2,3,2,3,2,1,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,08Q4,1,3,2,3,2,2,2,3,1,1,1,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,09Q1,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35988,701,9,100,09Q2,1,1,,1,,1,,1,,1,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
