Date,CPI,JSE,JSE2,Bond,Bond2,T-Bill,NCD,Spread,Spread2,Investment,Investment2,GDP,RGDP,Employment,Employment2,Production
1991/12/31,1.437324087,1.41138061,1.117271296,16.9,23.5,16.0833,17.0975,0.8167,6.4025,10.75752508,5.313219512,5.556920776,6.209119058,132.4,93.3,1.859338479
1992/03/31,1.450987141,1.422299228,1.127104798,16.64,24.33333333,15.7633,16.54416667,0.8767,7.789166667,10.76277606,5.311688182,5.567529809,6.206065035,131.8,93,1.860537636
1992/06/30,1.463519233,1.419202098,1.123851641,16.07,23,14.39,15.20416667,1.68,7.795833333,10.76688853,5.301136385,5.577167681,6.203393017,130.3,92.5,1.857734435
1992/09/30,1.475764905,1.379910751,1.086359831,14.6167,23.08333333,13.9367,13.17416667,0.68,9.909166667,10.76831244,5.295659446,5.587382034,6.198335646,129,92.2,1.843440425
1992/12/31,1.481669435,1.362375019,1.068185862,14.4333,23,12.3633,12.49,2.07,10.51,10.76333064,5.293291824,5.603184443,6.194629504,129.6,92.1,1.858136002
1993/03/31,1.489603358,1.407348408,1.113943352,14.5,20.54333333,11.26,12.12666667,3.24,8.416666667,10.77542111,5.297703622,5.619607707,6.198460178,128.6,92.1,1.863521123
1993/06/30,1.507212626,1.451910721,1.158362492,14.8767,19.95,10.9667,12.3975,3.91,7.5525,10.78794905,5.304966354,5.634229319,6.201415307,128.3,93.2,1.859538569
1993/09/30,1.514428528,1.46934624,1.176091259,13.7933,19.15666667,11.0533,12.03166667,2.74,7.125,10.80220569,5.315980836,5.650616374,6.206949233,127.8,93.2,1.866090335
1993/12/31,1.520489055,1.488794586,1.195899652,12.7,19.15,10.0433,10.75416667,2.6567,8.395833333,10.81950445,5.320300028,5.663673604,6.210640175,125.3,92.5,1.870988814
1994/03/31,1.529418933,1.557806654,1.26245109,12.6667,18.18666667,9.63333,10.34166667,3.03337,7.845,10.83257277,5.329694766,5.681162514,6.210435426,128,93,1.869036048
1994/06/30,1.536782681,1.594845395,1.301029996,13.82,17.95,10.4267,10.79833333,3.3933,7.151666667,10.85156408,5.341487942,5.688375322,6.214652136,128.3,93.2,1.865103975
1994/09/30,1.551905175,1.624649183,1.330413773,15.9567,18.22,9.79,11.14583333,6.1667,7.074166667,10.87389579,5.357572784,5.695196139,6.219508589,128.9,94,1.88422877
1994/12/31,1.560524023,1.630188795,1.336459734,16.8833,20.29333333,11.1233,12.52083333,5.76,7.7725,10.89387822,5.367460288,5.717166862,6.227504993,128.8,94.5,1.902002891
