Date,JSE,JSE2,Bond,Bond2,T-Bill,NCD,Spread,Spread2,Investment,Investment2,CPI,GDP,RGDP,Employment,Employment2,Production
1991/12/31,1.41138061,1.117271296,16.9,23.5,16.0833,17.0975,0.8167,6.4025,10.75752508,5.313219512,1.437324087,5.556920776,6.209119058,132.4,93.3,1.859338479
1992/03/31,1.408636174,1.113441744,16.64,24.33333333,15.7633,16.54416667,0.8767,7.789166667,10.74911301,5.298025128,1.437324087,5.553866754,6.206065035,131.8,93,1.846874582
1992/06/30,1.393006951,1.097656495,16.07,23,14.39,15.20416667,1.68,7.795833333,10.74069338,5.274941238,1.437324087,5.550972535,6.203393017,130.3,92.5,1.831539289
1992/09/30,1.341469932,1.047919012,14.6167,23.08333333,13.9367,13.17416667,0.68,9.909166667,10.72987162,5.257218628,1.437324087,5.548941215,6.198335646,129,92.2,1.804999607
1992/12/31,1.31802967,1.023840513,14.4333,23,12.3633,12.49,2.07,10.51,10.71898529,5.248946476,1.437324087,5.558839094,6.194629504,129.6,92.1,1.813790653
1993/03/31,1.355069137,1.061664081,14.5,20.54333333,11.26,12.12666667,3.24,8.416666667,10.72314184,5.245424351,1.437324087,5.567328435,6.198460178,128.6,92.1,1.811241852
1993/06/30,1.382022182,1.088473953,14.8767,19.95,10.9667,12.3975,3.91,7.5525,10.71806051,5.235077815,1.437324087,5.56434078,6.201415307,128.3,93.2,1.78965003
1993/09/30,1.392241799,1.098986818,13.7933,19.15666667,11.0533,12.03166667,2.74,7.125,10.72510125,5.238876395,1.437324087,5.573511934,6.206949233,127.8,93.2,1.788985895
1993/12/31,1.405629618,1.112734684,12.7,19.15,10.0433,10.75416667,2.6567,8.395833333,10.73633948,5.23713506,1.437324087,5.580508636,6.210640175,125.3,92.5,1.787823845
1994/03/31,1.465711807,1.170356244,12.6667,18.18666667,9.63333,10.34166667,3.03337,7.845,10.74047793,5.23759992,1.437324087,5.589067668,6.210435426,128,93,1.776941201
1994/06/30,1.495386801,1.201571402,13.82,17.95,10.4267,10.79833333,3.3933,7.151666667,10.75210549,5.242029349,1.437324087,5.588916729,6.214652136,128.3,93.2,1.765645381
1994/09/30,1.510068094,1.215832685,15.9567,18.22,9.79,11.14583333,6.1667,7.074166667,10.7593147,5.242991696,1.437324087,5.580615051,6.219508589,128.9,94,1.769647681
1994/12/31,1.506988859,1.213259798,16.8833,20.29333333,11.1233,12.52083333,5.76,7.7725,10.77067829,5.244260353,1.437324087,5.593966926,6.227504993,128.8,94.5,1.778802956
1995/03/31,1.463830041,1.170338854,16.8533,21.20666667,11.7067,13.33583333,5.1466,7.870833333,10.78229454,5.251342039,1.437324087,5.599217153,6.228589143,129.6,95.7,1.775627816
1995/06/30,1.464985801,1.170652296,16.85,21.93,12.8067,14.13416667,4.0433,7.795833333,10.79766498,5.243093159,1.437324087,5.599081198,6.229835881,130.3,96.5,1.773063516
1995/09/30,1.460869173,1.166754103,16.0233,22,13.5033,14.4925,2.52,7.5075,10.80088394,5.241009408,1.437324087,5.610745811,6.232707747,129.2,96.6,1.772139355
1995/12/31,1.491255127,1.197142957,14.7,22,14.28,14.6325,0.42,7.3675,10.8027282,5.25261214,1.437324087,5.620288137,6.234166117,127.9,97.1,1.763709912
1996/03/31,1.536434088,1.242595694,14.3033,22.03,14.2267,14.54666667,0.0766,7.483333333,10.81523775,5.256802354,1.437324087,5.621366916,6.242137804,125.7,96.8,1.759076197
1996/06/30,1.52948952,1.235505262,16.03,22.52,15.5267,15.9195,0.5033,6.6005,10.82818025,5.255855123,1.437324087,5.629807997,6.24728123,124.9,97.2,1.767017703
1996/09/30,1.514163696,1.220397162,15.5433,22.56666667,15.6433,16.0325,-0.1,6.534166667,10.83309239,5.250236712,1.437324087,5.629288189,6.252425198,123.3,97.3,1.754379419
1996/12/31,1.504310816,1.210307702,16.0567,23.20333333,16.77,16.83,-0.7133,6.373333333,10.83445826,5.24939619,1.437324087,5.630195024,6.25648063,124,97.6,1.741413266
1997/03/31,1.504602177,1.211018663,15.3367,23.91666667,16.41,16.82833333,-1.0733,7.088333333,10.84097322,5.24209817,1.437324087,5.631335885,6.258492033,122,96.9,1.744374866
1997/06/30,1.508847805,1.215145104,15.0133,23.75,15.57,16.37,-0.5567,7.38,10.84387709,5.236465491,1.437324087,5.634451059,6.261208332,119.6,97,1.736710788
1997/09/30,1.51726853,1.222730702,14.21,23.75,15.44,15.5625,-1.23,8.1875,10.84285535,5.232138171,1.437324087,5.636960285,6.261639908,118.5,97.6,1.722999237
1997/12/31,1.46775484,1.174215152,14.23,23.16666667,14.9433,15.33333333,-0.7133,7.833333333,10.84548546,5.238203002,1.437324087,5.642618695,6.261699904,117.3,97.4,1.718534306
1998/03/31,1.475562831,1.180579627,13.4767,23.01333333,14.1167,14.3675,-0.64,8.645833333,10.85691313,5.232113462,1.437324087,5.64333595,6.262839315,117.1,95,1.728699711
1998/06/30,1.530931838,1.236261758,13.66,22.52666667,15.0333,14.72666667,-1.3733,7.8,10.86186213,5.236552179,1.437324087,5.651232826,6.263453084,115.8,95.1,1.719109337
1998/09/30,1.407374453,1.113598893,17.0467,26.18333333,20.5267,21.29833333,-3.48,4.885,10.86339904,5.225514199,1.437324087,5.636193366,6.262500791,115.3,94.7,1.697503744
1998/12/31,1.358813606,1.06384769,16.3067,25.61,18.7667,19.2825,-2.46,6.3275,10.87111399,5.185531598,1.437324087,5.636609824,6.262918749,113.7,94.6,1.682887736
1999/03/31,1.39509396,1.100507416,15.1033,23.27333333,16.1333,16.29866667,-1.03,6.974666667,10.84136291,5.164854218,1.437324087,5.64410976,6.267072689,112.8,94.6,1.680357551
1999/06/30,1.450144671,1.156011365,14.8833,20.07333333,13.7967,14.11366667,1.0866,5.959666667,10.83304464,5.161344764,1.437324087,5.650402156,6.270515513,112.7,94.4,1.676554291
1999/09/30,1.460120781,1.166355144,15.2,18.76666667,11.81,12.11133333,3.39,6.655333333,10.83522069,5.166836166,1.437324087,5.667919177,6.275231861,112,94.9,1.683853036
1999/12/31,1.484018713,1.189083112,14.42,17.33333333,10.5133,11.29666667,3.9067,6.036666667,10.84238057,5.170517254,1.437324087,5.676808863,6.279982938,112.3,94.5,1.689524463
2000/03/31,1.528026821,1.188676153,13.6367,16.28666667,9.66,10.21616667,3.9767,6.0705,10.85167978,5.170214776,1.437324087,5.680891198,6.285029708,111.4,94.3,1.691179139
2000/06/30,1.460056977,1.129139696,14.4633,16.18,9.5,10.30933333,4.9633,5.870666667,10.85663981,5.167985526,1.437324087,5.687014206,6.289006909,111.7,94,1.673449082
2000/09/30,1.487795454,1.158286436,13.7133,16.18,9.5,10.43033333,4.2133,5.749666667,10.86487621,5.16908293,1.437324087,5.697209644,6.293286979,110.6,93.6,1.672865809
2000/12/31,1.476880479,1.155501737,13.3333,16.66,9.5,10.55,3.8333,6.11,10.87212879,5.165908841,1.437324087,5.70406207,6.296966997,109.4,94.2,1.676211329
2001/03/31,1.50531971,1.183870879,12.1233,12.66666667,9.5,10.541,2.6233,2.125666667,10.87265409,5.156170544,1.437324087,5.705556231,6.299627627,108.2,94,1.67019793
2001/06/30,1.502876807,1.185807726,11.8067,12.39666667,9.37,10.541,2.4367,1.855666667,10.87416479,5.149627325,1.437324087,5.70562058,6.30179241,107.7,93.7,1.656069916
2001/09/30,1.479849987,1.161505998,10.82,11.87333333,8.48,9.576833333,2.34,2.2965,10.88019,5.146666866,1.437324087,5.710844019,6.302944999,108.1,93.5,1.653056968
2001/12/31,1.507483433,1.195613135,10.8767,11.48666667,8.49,9.275,2.3867,2.211666667,10.8851481,5.150498069,1.437324087,5.723604285,6.306273322,107.7,93.8,1.669122773
2002/03/31,1.557473986,1.251688868,12.0433,12.35,9.42,10.29633333,2.6233,2.053666667,10.88584432,5.139215615,1.437324087,5.73631019,6.310964349,107.1,93.9,1.658026784
2002/06/30,1.560122986,1.252845296,11.91,13.78,10.7567,11.55466667,1.1533,2.225333333,10.89175859,5.134014984,1.437324087,5.738065177,6.316440254,107.8,94.3,1.648199111
2002/09/30,1.482451839,1.177097941,11.1933,15.06666667,11.6467,12.40783333,-0.4534,2.658833333,10.89804969,5.131960226,1.437324087,5.738970656,6.321328117,106.8,95.6,1.636105874
2002/12/31,1.466665051,1.153397056,10.8567,15.58333333,12.61,13.45833333,-1.7533,2.125,10.9091801,5.125744906,1.437324087,5.736494038,6.32492646,107.1,95.2,1.622301684
2003/03/31,1.428151626,1.107595427,10.0367,15.97,12.66,13.42016667,-2.6233,2.549833333,10.91356707,5.13454379,1.437324087,5.73733026,6.327674512,107.8,94.3,1.608424031
2003/06/30,1.393737658,1.08025097,9.65,16.42666667,12.44,12.80866667,-2.79,3.618,10.92149227,5.145641319,1.437324087,5.74182142,6.329790327,105.7,91.8,1.60449423
2003/09/30,1.435552173,1.125292579,9.59,16.23333333,10.6133,10.49133333,-1.0233,5.742,10.93300152,5.162731726,1.437324087,5.752187337,6.33214084,106.6,92.2,1.603332005
2003/12/31,1.47759682,1.169460691,9.18667,15.46333333,7.99,7.943833333,1.19667,7.5195,10.95236896,5.184037719,1.437324087,5.770617185,6.334639222,107.3,92.9,1.611019557
2004/03/31,1.522034551,1.212509999,9.42333,14.88,7.30333,7.969833333,2.12,6.910166667,10.9675981,5.1909784,1.437324087,5.786201337,6.341164222,108.1,94.1,1.622726902
2004/06/30,1.4992576,1.191326243,10.1567,14.27666667,7.28333,8.112,2.87337,6.164666667,10.97618903,5.20619723,1.437324087,5.795043675,6.347191251,108.2,94.7,1.626176562
2004/09/30,1.511867077,1.204862519,9.69333,13.92,7.10667,7.673166667,2.58666,6.246833333,10.99156474,5.220130599,1.437324087,5.803888087,6.354235048,109.6,96.6,1.63371694
2004/12/31,1.56209135,1.256715193,8.83333,13.22333333,6.90333,7.4725,1.93,5.750833333,11.00001279,5.222513221,1.437324087,5.815634297,6.358848424,100.7,97.5,1.627021421
2005/03/31,1.591174183,1.287366603,8.08667,12.27666667,6.88667,7.52,1.2,4.756666667,11.01275859,5.231246745,1.437324087,5.820543364,6.363241177,100.5,97.6,1.635146438
2005/06/30,1.601325959,1.29643267,8.31,11.76666667,6.53667,7.013666667,1.77333,4.753,11.02873251,5.241955614,1.437324087,5.83224746,6.370965728,101,99.5,1.631017313
2005/09/30,1.656674347,1.354547981,8.02,11.92666667,6.53667,6.982666667,1.48333,4.944,11.05380155,5.253147692,1.437324087,5.840622247,6.376847843,101.6,100.2,1.630848651
2005/12/31,1.693376434,1.393257658,7.85,11.84666667,6.53,7.105833333,1.32,4.740833333,11.07338706,5.261929797,1.437324087,5.853220209,6.379745142,102.2,100.8,1.626934487
2006/03/31,1.746383321,1.446058419,7.33,11.91666667,6.64667,7.071666667,0.68333,4.845,11.08756044,5.271748933,1.437324087,5.855759657,6.387310163,102,100.9,1.634761273
2006/06/30,1.767370836,1.471052112,7.79333,11.60666667,6.66333,7.1915,1.13,4.415166667,11.10421691,5.282155303,1.437324087,5.86692473,6.393434815,113.8,101.5,1.636726838
2006/09/30,1.774322166,1.477830251,8.60333,12.43666667,7.38,8.030166667,1.22333,4.4065,11.12851609,5.287434131,1.437324087,5.879763171,6.399392036,114,102.6,1.636590917
2006/12/31,1.810203427,1.517952707,8.02333,13.21666667,8.12,8.864,-0.09667,4.352666667,11.15164067,5.307543637,1.437324087,5.888305531,6.405356383,113.9,103.4,1.639071999
