,CPI,RealGDP_sa,GDP_sa,Employment,TradeRGDP_sa,TradeGDP_sa,TradeVol_sa,TradeValue_sa,TradeEmpl1,TradeEmpl2,ConstRGDP,ConstGDP_sa,ConstProd_sa,ConstEmpl_sa,ConstEmpl,ManuRGDP_sa,ManuGDP_sa,ManuValue_sa,ManuVol_sa,ManuEmpl_sa1,ManuEmpl_sa2,ManuEmpl_sa3,SerRGDP_sa,Confidence,ManuConf,RetailConf,WholesaleConf,BuildingConf,MotorConf
1992/03/31,28.25,1600838,369428,131.8,195241,47834,55.9,18.4,46.8,67.6,43045,11276,,92.7,46.8,233033,75718,64.5,72.9,117.895,131.8,92.7,,18.2,20,11,30,22,8
1992/06/30,29.07,1591019,377718,130.3,194983,49760,56.3,19.2,47.1,67.2,42047,11654,,91.1,47.1,231230,76038,64.1,71.9,120.406,130.3,91.1,,19.4,30,18,23,15,11
1992/09/30,29.91,1572599,386707,129,194722,54310,54.8,19.3,46.7,66.8,41075,12725,,88.5,46.7,228785,78072,62.7,69.4,118.613,129,88.5,,14.6,17,0,17,11,28
1992/12/31,30.32,1559236,401037,129.6,195105,52351,55,19.8,46.6,66.6,39910,13908,,88.3,46.6,228141,82111,64.3,72.4,118.971,129.6,88.3,,16.6,12,14,21,11,25
1993/03/31,30.87,1573050,416493,128.6,195179,56402,55.9,20.4,46.6,66.1,39311,12896,57,87.8,46.6,228505,82941,64,73.3,119.211,128.6,87.8,55321,21,20,8,30,12,35
1993/06/30,32.15,1590304,430754,128.3,195286,57641,53.6,20.2,46.3,65.8,38854,13617,59.5,91.4,46.3,228439,84358,63,72.3,117.537,128.3,91.4,55890,17,15,21,24,14,11
1993/09/30,32.69,1613196,447318,127.8,196356,59334,55.3,21.1,45.8,65.6,38363,14178,71.9,92.5,45.8,231156,86895,62.8,73,116.7,127.8,92.5,57415,22.2,18,3,29,17,44
1993/12/31,33.15,1625148,460971,125.3,197418,60675,56.4,21.9,45.1,64.9,38208,14917,52.6,89.6,45.1,231412,89062,63.6,74.6,115.743,125.3,89.6,58506,31.4,27,23,36,23,48
1994/03/31,33.84,1622832,479913,128,198417,62024,57.4,22.6,44.5,65.2,39217,15196,56.6,89,44.5,231204,92269,63.6,74.2,116.7,128,89,56480,36.8,36,4,56,32,56
1994/06/30,34.42,1640438,487950,128.3,200641,63419,57.5,23.1,44.3,65.2,39497,15381,50.5,88.4,44.3,232719,93091,63.1,73.5,116.221,128.3,88.4,57815,56.6,51,60,84,35,53
1994/09/30,35.64,1658888,495674,128.9,201175,65530,57.2,23.9,44.5,65.4,39959,15668,50.6,88.7,44.5,236951,96746,66,76.4,117.537,128.9,88.7,59796,45,58,29,54,41,43
1994/12/31,36.35,1686577,521395,128.8,203683,67803,57.7,24.5,44.5,65.6,40547,16027,59.6,88.3,44.5,243181,100366,67.7,79.7,118.291,128.8,88.3,61339,66.6,74,53,78,45,83
