"";"Date";"Datum";"Sector";"id";"sector";"weight";"factor";"factorn";"Q1";"Q2A";"Q2P";"Q3A";"Q3P";"Q4A";"Q4P";"Q5A";"Q5P";"Q6A";"Q6P";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"1";"1992Q1";1992-03-31;"Manufacturing";"40062";"1010";5;0,150055;0,00189943037974684;1;0;-1;1;1;0;-1;NA;NA;1;1;1;0;0;NA;0
"4";"1992Q4";1992-12-31;"Manufacturing";"40062";"1010";5;0,150055;0,00211345070422535;-1;-1;-1;1;1;-1;-1;NA;NA;1;1;1;-1;1;NA;0
"3";"1992Q3";1992-09-30;"Manufacturing";"40074";"1010";4;0,120044;0,00144631325301205;-1;-1;-1;-1;-1;-1;-1;NA;NA;-1;-1;0;0;0;NA;0
"41";"1992Q4";1992-12-31;"Manufacturing";"40074";"1010";4;0,120044;0,00169076056338028;-1;-1;-1;-1;-1;-1;-1;NA;NA;-1;-1;0;1;0;NA;1
"5";"1993Q1";1993-03-31;"Manufacturing";"40074";"1010";4;0,120044;0,00139586046511628;-1;-1;-1;0;0;-1;0;NA;NA;0;0;0;-1;-1;NA;-1
"11";"1992Q1";1992-03-31;"Manufacturing";"40567";"1010";1;0,030011;0,000379886075949367;-1;1;0;1;1;0;0;NA;NA;1;0;1;0;0;NA;1
"2";"1992Q2";1992-06-30;"Manufacturing";"40567";"1010";1;0,030011;0,000508661016949153;-1;1;0;1;1;0;-1;NA;NA;1;0;-1;-1;0;NA;-1
"31";"1992Q3";1992-09-30;"Manufacturing";"40567";"1010";1;0,030011;0,000361578313253012;-1;-1;0;0;0;-1;-1;NA;NA;-1;0;0;0;0;NA;0
"42";"1992Q4";1992-12-31;"Manufacturing";"40567";"1010";1;0,030011;0,00042269014084507;-1;0;0;0;0;-1;-1;NA;NA;0;0;0;1;1;NA;1
"51";"1993Q1";1993-03-31;"Manufacturing";"40567";"1010";1;0,030011;0,00034896511627907;1;0;0;1;1;0;0;NA;NA;1;1;0;0;0;NA;0
"6";"1993Q2";1993-06-30;"Manufacturing";"40567";"1010";1;0,030011;0,000638531914893617;NA;0;0;1;1;0;0;NA;NA;1;1;1;0;0;NA;0
"7";"1993Q3";1993-09-30;"Manufacturing";"40567";"1010";1;0,030011;0,000411109589041096;1;1;1;1;1;0;0;NA;NA;1;1;0;0;0;NA;0
"14";"1995Q2";1995-06-30;"Manufacturing";"40567";"1010";1;0,030011;0,000411109589041096;1;1;1;1;1;-1;0;NA;NA;1;1;-1;-1;-1;NA;-1
"15";"1992Q1";1992-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,0034189746835443;-1;1;1;1;1;-1;-1;NA;NA;1;1;-1;-1;1;NA;-1
"21";"1992Q2";1992-06-30;"Manufacturing";"40087";"1010";9;0,270099;0,00457794915254237;-1;0;1;0;1;0;-1;NA;NA;0;1;0;0;1;NA;0
"32";"1992Q3";1992-09-30;"Manufacturing";"40087";"1010";9;0,270099;0,00325420481927711;-1;1;1;1;1;0;-1;NA;NA;1;1;0;0;1;NA;0
"43";"1992Q4";1992-12-31;"Manufacturing";"40087";"1010";9;0,270099;0,00380421126760563;-1;1;1;1;1;0;-1;NA;NA;1;1;-1;0;0;NA;0
"71";"1993Q3";1993-09-30;"Manufacturing";"40087";"1010";9;0,270099;0,00369998630136986;-1;-1;-1;-1;-1;-1;-1;NA;NA;-1;-1;2;2;1;NA;2
"8";"1993Q4";1993-12-31;"Manufacturing";"40087";"1010";9;0,270099;0,00540198;1;1;1;1;1;0;0;NA;NA;1;1;0;0;0;NA;0
"9";"1994Q1";1994-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,00529605882352941;1;1;1;1;1;0;1;NA;NA;1;1;0;0;-2;NA;0
"10";"1994Q2";1994-06-30;"Manufacturing";"40087";"1010";9;0,270099;0,006752475;1;1;1;1;1;-1;0;NA;NA;1;1;0;0;0;NA;0
"12";"1994Q4";1994-12-31;"Manufacturing";"40087";"1010";9;0,270099;0,00519421153846154;1;1;1;1;1;-1;-1;NA;NA;1;1;0;0;1;NA;0
"13";"1995Q1";1995-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,00473857894736842;1;1;1;1;1;0;-1;NA;NA;1;1;0;0;0;NA;0
"17";"1996Q1";1996-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,0060022;1;1;1;1;1;0;-1;NA;NA;1;1;0;0;0;NA;0
"25";"1998Q1";1998-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,00750275;1;0;0;0;1;-1;-1;NA;NA;0;1;0;0;1;NA;0
"26";"1998Q2";1998-06-30;"Manufacturing";"40087";"1010";9;0,270099;0,0056270625;1;0;0;1;1;0;0;NA;NA;1;1;-1;-1;-1;NA;-1
"29";"1999Q1";1999-03-31;"Manufacturing";"40087";"1010";9;0,270099;0,0060022;-1;-1;-1;0;1;-1;-1;NA;NA;0;0;1;-1;0;NA;0
