,Total_Q1A,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7A,Total_Q8A,Total_Q9A,Total_Q10A,Total_Q11A,Total_Q12A,Total_Q13A,Total_Q14A,Total_Q15A,Total_Q16,Total_Q17,Total_Q18,Total_Q19,Total_Q20,Total_Q21,Total_Q22,Total_Q23,Total_Q24,Total_Q25,Total_Q26,Total_Q27,Total_Q28,Total_Q29,Total_Q30,Total_Q31,
1992/03/31,-7,9,-6,-16,-1,,-27,-27,-10,,48,45,43,29,-11,8,,-25,,20,25.74,20.02,7.15,24.31,58.63,65.78,51.48,26,50,4,8,
1992/06/30,-14,23,-15,-20,26,,-47,-37,-24,12,44,51,52,39,32,21,,-22,,30,28.6,10.01,5.72,28.6,50.05,62.92,58.63,14,62,18,33,
1992/09/30,-41,-10,-36,-35,-11,,-68,-44,-37,-6,44,46,44,32,14,22,,-21,,17,21.45,8.58,4.29,25.74,54.34,74.36,72.93,6,37,2,-3,
1992/12/31,-34,-10,-23,-40,-5,,-60,-55,-23,-9,40,41,49,20,10,20,,-28,,12,22.88,8.58,2.86,24.31,48.62,71.5,72.93,7,25,-5,-7,
1993/03/31,-17,-11,-10,-18,-18,,-45,-47,-23,-1,14,33,46,24,-5,23,,-11,,20,20.02,8.58,2.86,20.02,42.9,70.07,71.5,8,29,-3,15,
1993/06/30,-17,9,-8,-24,6,,-46,-46,-23,8,22,27,50,24,-2,28,,-23,,15,20.02,10.01,2.86,22.88,41.47,70.07,78.65,10,31,1,6,
1993/09/30,-15,11,-3,-16,8,,-36,-47,-19,7,18,30,44,24,16,18,,-10,,18,21.45,12.87,2.86,21.45,38.61,70.07,77.22,6,47,11,11,
1993/12/31,12,7,15,12,9,,-15,-37,-5,5,16,34,46,31,24,3,,-22,,27,21.45,8.58,2.86,24.31,37.18,64.35,68.64,19,42,18,22,
1994/03/31,5,5,5,9,14,,-3,-29,-5,28,19,28,48,23,2,10,,7,,36,32.89,12.87,2.86,24.31,34.32,62.92,71.5,30,50,31,34,
1994/06/30,15,26,27,25,17,,19,-17,7,21,43,39,67,50,32,19,,-12,,51,28.6,10.01,2.86,27.17,34.32,52.91,42.9,35,67,31,73,
1994/09/30,48,34,39,51,41,,37,-8,11,21,39,49,76,62,42,2,,13,,58,27.17,14.3,7.15,37.18,32.89,47.19,50.05,43,57,37,52,
1994/12/31,63,41,60,57,41,,59,8,36,28,45,51,76,55,40,8,,23,,74,34.32,17.16,5.72,40.04,35.75,38.61,42.9,64,61,50,56,
1995/03/31,54,47,55,58,53,,55,19,30,20,45,39,90,76,56,1,,19,,72,41.47,21.45,4.29,47.19,51.48,41.47,45.76,53,47,62,58,
1995/06/30,43,24,50,42,28,,39,2,15,30,53,45,76,55,50,12,,6,,67,34.32,17.16,4.29,38.61,47.19,44.33,50.05,48,38,49,11,
1995/09/30,33,15,46,26,9,,24,4,-4,29,52,66,83,72,49,23,8,2,,63,38.61,15.73,2.86,32.89,50.05,44.33,47.19,41,33,29,17,
1995/12/31,29,13,30,26,12,-18,23,-11,2,31,21,30,59,48,23,12,10,-3,,78,35.75,17.16,7.15,34.32,44.33,45.76,50.05,50,41,48,31,
1996/03/31,-1,-2,8,-7,1,-19,-19,-32,-10,30,40,57,64,47,26,21,17,-8,,49,35.75,18.59,7.15,30.03,57.2,52.91,51.48,36,33,37,12,
1996/06/30,11,8,6,5,2,-22,-6,-23,-9,24,61,51,76,54,33,18,1,-10,,47,38.61,21.45,7.15,37.18,58.63,55.77,61.49,17,37,26,-20,
1996/09/30,1,12,10,-5,15,-12,-41,-20,-9,28,50,57,65,44,26,14,27,-10,74,35,50.05,25.74,5.72,31.46,58.63,55.77,61.49,28,37,24,-13,
1996/12/31,10,15,28,9,4,-16,-27,-19,1,26,52,58,71,39,27,24,10,-21,60,45,47.19,22.88,2.86,35.75,58.63,50.05,61.49,20,36,17,-19,
1997/03/31,29,17,31,25,19,-12,12,-16,-5,34,50,49,65,56,33,27,10,-7,61,53,50.05,22.88,4.29,38.61,58.63,47.19,48.62,42,46,26,18,
1997/06/30,11,10,12,5,8,-12,-18,-20,-4,15,37,40,65,34,15,22,31,-12,63,38,50.05,25.74,5.72,32.89,58.63,50.05,52.91,25,25,15,-19,
