"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"1";1992-03-31;0,106;-1;-1;0;NA;NA
"2";1992-06-30;0,106;-1;0;0;NA;0
"3";1992-09-30;0,106;-1;0;0;NA;NA
"4";1992-12-31;0,106;-1;0;0;NA;NA
"5";1993-03-31;0,106;0;0;0;NA;NA
"6";1993-06-30;0,106;0;0;0;NA;NA
"7";1993-09-30;0,106;0;0;0;NA;NA
"8";1993-12-31;0,106;1;1;0;NA;NA
"9";1994-03-31;0,106;0;0;1;NA;NA
"12";1994-12-31;0,106;1;0;0;NA;NA
"15";1995-09-30;0,106;-1;0;0;NA;NA
"21";1997-03-31;0,106;0;-1;0;NA;0
"51";1993-03-31;0,37728;0;1;1;NA;1
"61";1993-06-30;0,37728;2;1;0;NA;1
"81";1993-12-31;0,37728;0;0;0;NA;0
"13";1995-03-31;0,37728;1;1;0;NA;1
"14";1995-06-30;0,37728;-1;-1;1;NA;-1
"211";1997-03-31;0,2358;-1;0;0;NA;-1
"11";1992-03-31;0,066452;0;0;0;NA;0
"22";1992-06-30;0,066452;0;0;0;NA;0
"31";1992-09-30;0,066452;0;0;0;NA;0
"41";1992-12-31;0,066452;0;0;0;NA;0
"71";1993-09-30;0,066452;2;2;0;NA;2
"82";1993-12-31;0,066452;0;0;0;NA;0
"91";1994-03-31;0,066452;0;0;0;NA;0
"121";1994-12-31;0,066452;0;0;0;NA;0
"131";1995-03-31;0,066452;-1;0;0;NA;0
"141";1995-06-30;0,066452;0;0;0;NA;0
"151";1995-09-30;0,066452;1;0;0;NA;0
"16";1995-12-31;0,066452;0;0;0;NA;0
"17";1996-03-31;0,066452;0;0;0;NA;0
"18";1996-06-30;0,066452;0;0;0;NA;0
"142";1995-06-30;0,1272;-2;-1;0;NA;-1
"152";1995-09-30;0,1272;1;1;0;NA;1
"221";1997-06-30;0,0636;-1;1;0;NA;0
"110";1992-03-31;0,067524;1;1;0;NA;1
"23";1992-06-30;0,067524;-1;0;0;NA;0
"32";1992-09-30;0,067524;-1;-1;0;NA;-1
"42";1992-12-31;0,067524;0;0;-1;NA;0
"52";1993-03-31;0,067524;0;0;1;NA;0
"83";1993-12-31;0,067524;0;0;1;NA;-1
"92";1994-03-31;0,067524;0;0;0;NA;1
"10";1994-06-30;0,067524;0;0;0;NA;NA
"111";1994-09-30;0,067524;1;1;0;NA;1
"122";1994-12-31;0,067524;-1;-1;0;NA;-1
"132";1995-03-31;0,067524;-1;0;0;NA;0
"143";1995-06-30;0,067524;0;-1;-1;NA;-1
"153";1995-09-30;0,067524;0;-1;0;NA;-1
"161";1995-12-31;0,067524;-1;0;0;NA;0
"171";1996-03-31;0,067524;0;0;0;NA;0
"181";1996-06-30;0,067524;-1;0;0;NA;-1
"19";1996-09-30;0,135048;0;0;0;NA;0
"20";1996-12-31;0,135048;0;0;0;NA;0
"212";1997-03-31;0,157556;-1;-1;0;NA;-1
"222";1997-06-30;0,135048;0;1;0;NA;1
"27";1998-09-30;0,135048;0;0;1;NA;1
"28";1998-12-31;0,135048;0;1;-1;NA;0
"29";1999-03-31;0,135048;0;-1;0;NA;0
"30";1999-06-30;0,135048;0;0;0;NA;0
"311";1999-09-30;0,135048;0;0;0;NA;0
"45";2003-03-31;0,149595;0;-1;0;NA;-1
"46";2003-06-30;0,149595;0;0;0;NA;0
"112";1992-03-31;0,28296;-1;0;-1;NA;0
"24";1992-06-30;0,28296;1;0;0;NA;0
"33";1992-09-30;0,28296;0;1;0;NA;1
"43";1992-12-31;0,28296;-1;0;0;NA;-1
"144";1995-06-30;0,28296;1;1;1;NA;1
"154";1995-09-30;0,28296;0;0;0;NA;0
"162";1995-12-31;0,28296;0;0;-1;NA;0
"70";1992-03-31;0,102894;-1;0;0;NA;0
"113";1992-03-31;0,321546;0;0;0;NA;0
"25";1992-06-30;0,321546;-2;0;-1;NA;-2
"310";1992-09-30;0,321546;0;-1;0;NA;0
"410";1992-12-31;0,321546;-1;0;-1;NA;-1
"54";1993-03-31;0,321546;0;0;-1;NA;0
"62";1993-06-30;0,321546;0;1;0;NA;0
"72";1993-09-30;0,321546;1;0;0;NA;1
"84";1993-12-31;0,321546;-2;-1;0;NA;-2
"93";1994-03-31;0,321546;1;1;1;NA;1
"101";1994-06-30;0,321546;-2;-1;0;NA;-2
"114";1994-09-30;0,321546;1;1;1;NA;2
"123";1994-12-31;0,321546;-1;0;0;NA;0
"133";1995-03-31;0,321546;-1;-1;-1;NA;-1
"145";1995-06-30;0,321546;1;1;1;NA;0
"155";1995-09-30;0,321546;0;-1;-1;NA;1
"163";1995-12-31;0,321546;-2;-1;0;NA;-1
"172";1996-03-31;0,321546;1;0;1;NA;1
"182";1996-06-30;0,321546;0;0;0;NA;0
"191";1996-09-30;0,321546;0;0;1;NA;1
"201";1996-12-31;0,05359;0;0;1;NA;0
"271";1998-09-30;0,05359;1;1;-1;NA;0
"281";1998-12-31;0,05359;0;0;0;NA;0
"291";1999-03-31;0,05359;0;-1;1;NA;1
"301";1999-06-30;0,05359;1;0;0;NA;1
"312";1999-09-30;0,05359;0;-1;-1;NA;1
"34";2000-06-30;0,05359;1;0;0;NA;0
"35";2000-09-30;0,05359;0;0;0;NA;0
"36";2000-12-31;0,05359;-1;-2;0;NA;-1
"37";2001-03-31;0,057535;0;0;1;NA;1
"38";2001-06-30;0,057535;-2;-1;-1;NA;-1
"39";2001-09-30;0,057535;1;0;1;NA;0
"40";2001-12-31;0,057535;1;1;1;NA;0
"411";2002-03-31;0,057535;0;0;0;NA;0
"421";2002-06-30;0,057535;1;0;1;NA;1
"431";2002-09-30;0,057535;0;0;0;NA;-1
"44";2002-12-31;0,057535;-2;0;0;NA;-2
"451";2003-03-31;0,057535;0;0;1;NA;2
"461";2003-06-30;0,057535;-1;-1;0;NA;-1
"47";2003-09-30;0,057535;1;-1;1;NA;1
"48";2003-12-31;0,057535;0;0;0;NA;0
"49";2004-03-31;0,057535;0;0;-1;NA;-1
"50";2004-06-30;0,057535;1;0;0;NA;0
"511";2004-09-30;0,057535;0;0;0;NA;0
"521";2004-12-31;0,057535;0;0;0;NA;0
"53";2005-03-31;0,05131;0;0;-1;NA;0
"313";1992-09-30;0,162916;0;0;0;NA;0
"55";1993-03-31;0,162916;-1;-1;-1;NA;-1
"63";1993-06-30;0,162916;0;0;0;NA;0
"73";1993-09-30;0,162916;-1;-1;-1;NA;-1
"85";1993-12-31;0,162916;0;0;0;NA;0
"115";1992-03-31;0,16077;0;-1;0;NA;-1
"210";1992-06-30;0,16077;0;0;0;NA;0
"314";1992-09-30;0,16077;1;2;1;NA;2
"74";1993-09-30;0,16077;2;2;0;NA;1
"86";1993-12-31;0,16077;-1;-1;1;NA;-1
"94";1994-03-31;0,16077;-1;-1;0;NA;-1
"102";1994-06-30;0,16077;1;1;1;NA;1
"116";1994-09-30;0,16077;0;0;0;NA;0
"173";1996-03-31;0,16077;0;0;0;NA;0
"183";1996-06-30;0,16077;0;0;0;NA;0
"213";1997-03-31;0,128616;1;0;1;NA;0
"223";1997-06-30;0,128616;-1;0;1;NA;0
"251";1998-03-31;0,128616;0;0;0;NA;0
"26";1998-06-30;0,128616;0;0;0;NA;0
"272";1998-09-30;0,128616;0;1;1;NA;1
"58";2006-06-30;0,041048;0;1;1;NA;1
"64";2007-12-31;0,041048;-1;-2;-2;NA;-1
