"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"1";1992-03-31;0,00189943037974684;1;0;0;NA;0
"4";1992-12-31;0,00211345070422535;1;-1;1;NA;0
"3";1992-09-30;0,00144631325301205;0;0;0;NA;0
"41";1992-12-31;0,00169076056338028;0;1;0;NA;1
"5";1993-03-31;0,00139586046511628;0;-1;-1;NA;-1
"11";1992-03-31;0,000379886075949367;1;0;0;NA;1
"2";1992-06-30;0,000508661016949153;-1;-1;0;NA;-1
"31";1992-09-30;0,000361578313253012;0;0;0;NA;0
"42";1992-12-31;0,00042269014084507;0;1;1;NA;1
"51";1993-03-31;0,00034896511627907;0;0;0;NA;0
"6";1993-06-30;0,000638531914893617;1;0;0;NA;0
"7";1993-09-30;0,000411109589041096;0;0;0;NA;0
"14";1995-06-30;0,000411109589041096;-1;-1;-1;NA;-1
"15";1992-03-31;0,0034189746835443;-1;-1;1;NA;-1
"21";1992-06-30;0,00457794915254237;0;0;1;NA;0
"32";1992-09-30;0,00325420481927711;0;0;1;NA;0
"43";1992-12-31;0,00380421126760563;-1;0;0;NA;0
"71";1993-09-30;0,00369998630136986;2;2;1;NA;2
"8";1993-12-31;0,00540198;0;0;0;NA;0
"9";1994-03-31;0,00529605882352941;0;0;-2;NA;0
"10";1994-06-30;0,006752475;0;0;0;NA;0
"12";1994-12-31;0,00519421153846154;0;0;1;NA;0
"13";1995-03-31;0,00473857894736842;0;0;0;NA;0
"17";1996-03-31;0,0060022;0;0;0;NA;0
"25";1998-03-31;0,00750275;0;0;1;NA;0
"26";1998-06-30;0,0056270625;-1;-1;-1;NA;-1
"29";1999-03-31;0,0060022;1;-1;0;NA;0
"16";1992-03-31;0,0034189746835443;-1;-1;0;NA;-1
"22";1992-06-30;0,00457794915254237;0;0;0;NA;0
"52";1993-03-31;0,00314068604651163;-1;-1;0;NA;-2
"61";1993-06-30;0,00574678723404255;-1;-1;-1;NA;-1
"72";1993-09-30;0,00369998630136986;0;0;0;NA;0
"81";1993-12-31;0,00540198;-1;-1;1;NA;-1
"91";1994-03-31;0,00529605882352941;0;0;-1;NA;0
"101";1994-06-30;0,006752475;1;0;1;NA;0
"111";1994-09-30;0,00587171739130435;-1;-1;0;NA;-1
"141";1995-06-30;0,00369998630136986;NA;1;1;NA;1
"171";1996-03-31;0,0060022;-1;0;0;NA;-2
"39";1992-03-31;0,00303908860759494;0;0;1;NA;0
"18";1992-03-31;0,00189943037974684;-1;-1;1;NA;-1
"73";1993-09-30;0,00205554794520548;0;0;0;NA;0
"33";1992-09-30;0,0028926265060241;-1;0;-1;NA;0
"44";1992-12-31;0,00338152112676056;0;-1;1;NA;-1
"121";1994-12-31;0,00461707692307692;0;-1;0;NA;-1
"172";1996-03-31;0,00533528888888889;1;0;1;NA;1
"181";1996-06-30;0,00510825531914894;-1;-1;0;NA;-1
"27";1998-09-30;0,00480176;0;0;0;NA;1
"74";1993-09-30;0,0075025;0;0;0;NA;2
"19";1992-03-31;0,00675225;0;-1;0;NA;0
"23";1992-06-30;0,00587152173913044;-1;0;0;NA;-1
"34";1992-09-30;0,009003;0;0;0;NA;0
"45";1992-12-31;0,00587152173913044;0;-1;0;NA;-1
"53";1993-03-31;0,009003;0;2;-1;NA;2
"173";1996-03-31;0,009003;1;1;1;NA;0
"55";1992-03-31;0,005627;1;0;0;NA;0
