"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"72";2009-12-31;0,39;0;0;-1;NA;0
"73";2010-03-31;0,39;-1;-1;1;NA;-1
"74";2010-06-30;0,39;0;1;0;NA;1
"80";2011-12-31;0,39;1;1;0;NA;1
"83";2012-09-30;0,39;-1;-1;-1;NA;-1
"84";2012-12-31;0,39;1;1;1;NA;1
"85";2013-03-31;0,39;-1;-1;0;NA;-1
"86";2013-06-30;0,39;1;0;0;NA;0
"89";2014-03-31;0,390000015;0;-1;0;NA;0
"90";2014-06-30;0,390000015;0;1;0;NA;0
"91";2014-09-30;0,390000015;0;-1;0;NA;0
"92";2014-12-31;0,390000015;0;0;0;NA;0
"93";2015-03-31;0,390000015;0;1;1;NA;1
"68";2008-12-31;1,798;0;-1;0;NA;-1
"69";2009-03-31;1,798;2;2;0;NA;2
"70";2009-06-30;1,798;2;2;0;NA;2
"71";2009-09-30;1,798;1;-1;0;NA;-1
"721";2009-12-31;1,798;1;1;0;NA;0
"731";2010-03-31;1,798;-2;-2;0;NA;-2
"741";2010-06-30;1,798;0;0;0;NA;0
"75";2010-09-30;1,798;0;0;0;NA;0
"76";2010-12-31;1,798;0;-1;1;NA;-1
"77";2011-03-31;1,798;0;1;1;NA;1
"78";2011-06-30;1,798;-1;1;1;NA;1
"79";2011-09-30;1,798;0;2;1;NA;2
"801";2011-12-31;1,798;0;0;1;NA;0
"81";2012-03-31;1,798;-1;0;0;NA;0
"82";2012-06-30;1,798;0;-1;0;NA;-1
"831";2012-09-30;1,798;0;-1;1;NA;-1
"841";2012-12-31;1,798;0;1;0;NA;1
"851";2013-03-31;1,798;0;-2;-1;NA;-2
"64";2007-12-31;17,16;0;0;0;NA;0
"681";2008-12-31;17,16;-1;-1;0;NA;-1
"691";2009-03-31;17,16;0;0;0;NA;0
"722";2009-12-31;17,16;-1;-1;-1;NA;-1
"751";2010-09-30;17,16;0;0;-1;NA;-1
"781";2011-06-30;17,16;-1;0;1;NA;1
"791";2011-09-30;17,16;2;1;1;NA;1
"802";2011-12-31;17,16;1;1;1;NA;1
"811";2012-03-31;17,16;0;0;1;NA;1
"821";2012-06-30;17,16;-1;-2;0;NA;-1
"832";2012-09-30;17,16;0;0;-1;NA;0
"842";2012-12-31;17,16;0;1;0;NA;1
"852";2013-03-31;17,16;1;1;2;NA;2
"682";2008-12-31;3,094;0;1;0;NA;0
"692";2009-03-31;3,094;-2;-2;-2;NA;-2
"701";2009-06-30;3,094;0;0;0;NA;0
"711";2009-09-30;3,094;2;1;1;NA;1
"723";2009-12-31;3,094;1;1;1;NA;1
"732";2010-03-31;3,094;0;0;0;NA;0
"742";2010-06-30;3,094;0;0;0;NA;0
"752";2010-09-30;3,094;NA;0;NA;NA;NA
"761";2010-12-31;3,094;0;1;0;NA;1
"771";2011-03-31;3,094;0;-1;0;NA;-1
"782";2011-06-30;3,094;-1;0;0;NA;0
"792";2011-09-30;3,094;1;1;0;NA;1
"803";2011-12-31;3,094;0;0;0;NA;0
"812";2012-03-31;3,094;0;0;0;NA;0
"822";2012-06-30;3,094;0;0;0;NA;0
"833";2012-09-30;3,094;0;0;1;NA;0
"843";2012-12-31;3,094;0;0;-1;NA;0
"853";2013-03-31;3,094;-1;-2;-1;NA;-2
"861";2013-06-30;3,094;1;0;1;NA;1
"87";2013-09-30;3,094;0;0;0;NA;0
"88";2013-12-31;3,093999863;-1;-1;-1;NA;0
"931";2015-03-31;3,093999863;0;0;1;NA;0
"683";2008-12-31;11,154;0;-2;-1;NA;-2
"783";2011-06-30;0,91;0;0;0;NA;0
"63";2007-09-30;0,026;0;-1;0;NA;-2
"641";2007-12-31;0,026;1;0;0;NA;-1
