Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5,Q6,Q7A,Q7P,Q8A,Q8P,Q9,Q10,Q11A,Q11P,Q12A,Q12P,Q13A,Q13P,Q14,Latecomer,NewRecruit,WrongClassif,Duplicate
01,10627,3510,8,300,2015Q3,2,3,3,3,3,3,3,2,,1,1,,,3,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
01,10628,3510,8,300,2015Q3,,,,,,,,,2,3,3,3,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE
01,10629,3510,8,300,2015Q3,,,,,,,,,2,,3,,3,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE
01,10630,3510,5,30,2015Q3,,,,,,,,,2,3,1,3,1,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE
01,10631,3510,8,300,2015Q3,1,,,1,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
08,10637,3510,8,300,2015Q3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,10640,3510,9,700,2015Q3,1,,,2,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
05,10646,3510,9,700,2015Q3,,2,3,2,3,2,3,1,,2,3,2,2,1,,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,10650,3510,9,700,2015Q3,2,3,3,1,2,2,3,1,,3,3,2,3,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
06,10793,3510,9,700,2015Q3,,,,,,,,,2,3,2,2,,1,,,,,,,,,FALSE,FALSE,FALSE,FALSE
06,10824,3510,9,700,2015Q3,,3,2,3,2,3,2,1,2,3,3,3,3,1,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
02,11208,3510,1,1,2015Q3,1,2,3,2,2,2,3,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,FALSE,FALSE,FALSE,FALSE
01,14060,3510,6,70,2015Q3,,,,,,,,,,,,,,,,3,,3,,2,,2,FALSE,FALSE,FALSE,FALSE
