Date,New_Q1,New_Q2A,New_Q3A,New_Q4A,New_Q5,Used_Q1,Used_Q2A,Used_Q3A,Used_Q5,Spare_Q1,Spare_Q2A,Spare_Q3A,Spare_Q4A,Spare_Q5,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5
1992/06/30,11,-58,-77,-44,21,34,-17,-25,34,49,-7,7,-14,13,,,,,,,,,,,,,,,
1992/09/30,28,-41,-48,-28,-6,45,-4,-5,9,59,28,31,26,8,,,,,,,,,,,,,,,
1992/12/31,25,-39,-43,-15,-8,47,-5,-2,24,61,10,21,12,9,,,,,,,,,,,,,,,
1993/03/31,35,-23,-42,-5,-30,55,5,-14,17,60,19,30,17,12,,,,,,,,,,,,,,,
1993/06/30,11,-10,-27,-4,-34,55,9,-4,33,54,27,30,24,16,,,,,,,,,,,,,,,
1993/09/30,44,25,35,38,-5,40,27,24,-1,71,38,37,22,21,,,,,,,,,,,,,,,
1993/12/31,48,16,9,10,3,78,36,40,-10,65,30,25,20,13,,,,,,,,,,,,,,,
1994/03/31,56,13,4,22,-58,78,43,28,-61,80,60,63,48,6,,,,,,,,,,,,,,,
1994/06/30,53,48,1,56,-75,69,37,0,-30,83,55,47,45,14,,,,,,,,,,,,,,,
1994/09/30,43,-15,-21,25,-100,59,3,16,-70,68,37,59,53,-22,,,,,,,,,,,,,,,
1994/12/31,83,40,50,75,-37,86,40,17,-35,88,57,55,57,4,,,,,,,,,,,,,,,
1995/03/31,85,60,53,76,-39,63,21,8,-10,84,76,78,81,7,95,,,,,100,,,,,64,,,,
1995/06/30,80,58,52,60,-25,57,17,-4,7,80,44,63,59,13,99,,,,,58,,,,,100,,,,
1995/09/30,70,36,25,28,22,57,29,22,30,85,62,64,51,10,94,,,,,17,,,,,95,,,,
1995/12/31,74,16,5,-20,39,48,0,1,61,69,29,48,24,15,81,,,,,99,,,,,22,,,,
1996/03/31,74,46,1,39,-9,41,-12,-29,46,69,21,20,14,9,100,,,,,76,,,,,73,,,,
1996/06/30,70,29,20,46,0,29,-42,-72,66,55,4,8,20,21,40,,,,,62,,,,,75,,,,
1996/09/30,36,-29,-31,-25,25,22,-62,-81,86,60,16,30,18,22,75,,,,,16,,,,,3,,,,
1996/12/31,84,46,40,13,10,19,-41,-51,73,79,26,39,32,12,89,,,,,76,,,,,75,,,,
1997/03/31,41,-8,-12,2,13,48,-10,-7,-7,78,25,37,20,20,37,,,,,84,,,,,22,,,,
1997/06/30,29,-25,-22,-45,35,21,-32,-33,16,74,18,33,6,19,39,,,,,29,,,,,7,,,,
1997/09/30,36,-31,-16,-42,40,30,-29,-3,24,77,32,34,11,10,55,,,,,65,,,,,0,,,,
1997/12/31,23,-55,-35,-52,43,31,-13,-15,11,77,17,12,-4,25,36,,,,,4,,,,,55,,,,
1998/03/31,18,-76,-70,-53,29,42,-13,-14,6,59,8,16,-13,21,13,,,,,16,,,,,34,,,,
1998/06/30,21,-84,-61,-66,32,44,3,28,7,68,2,6,-11,9,20,,,,,21,,,,,0,,,,
1998/09/30,17,-77,-70,-79,48,24,-72,-67,27,50,-13,-1,-9,25,0,,,,,15,,,,,0,,,,
1998/12/31,18,-86,-73,-66,53,33,-45,-42,12,64,-4,0,-32,24,0,,,,,38,,,,,0,,,,
1999/03/31,12,-68,-41,-55,35,52,-13,12,-33,61,-18,-15,-32,22,34,,,,,0,,,,,3,,,,
1999/06/30,18,-65,-38,-49,15,53,5,5,-19,53,-18,-24,-16,22,41,,,,,0,,,,,0,,,,
1999/09/30,38,0,-8,-17,2,73,34,33,-39,62,-1,10,-5,18,55,,,,,34,,,,,28,,,,
1999/12/31,52,30,17,20,-19,73,51,42,-37,57,9,12,1,23,72,,,,,28,,,,,51,,,,
2000/03/31,71,69,54,52,-46,80,62,52,-74,63,38,35,29,3,73,,,,,73,,,,,77,,,,
2000/06/30,57,43,29,23,-32,76,51,31,-44,79,31,22,25,16,50,,,,,55,,,,,58,,,,
