Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5,Q6,Q7A,Q7P,Q8A,Q8P,Q9,Q10,Q11A,Q11P,Q12A,Q12P,Q13A,Q13P,Q14,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,36236,3510,3,0.3,09Q3,2,2,1,2,1,2,1,3,1,2,2,2,2,2,1,1,1,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,09Q4,1,1,2,1,2,2,2,3,1,1,,1,1,3,,1,,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,10Q1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,10Q2,,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,10Q3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,10Q4,2,3,2,3,2,3,2,1,2,3,2,3,,3,2,3,2,3,2,3,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,11Q1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,11Q2,1,2,3,2,3,2,3,3,1,2,,1,2,3,1,2,2,2,2,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,11Q3,2,3,1,3,1,3,1,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,11Q4,2,3,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,12Q1,1,1,2,1,2,1,2,3,1,2,2,2,2,2,1,2,,2,,2,,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,36236,3510,3,0.3,12Q2,1,1,1,1,1,2,1,3,1,1,2,1,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
