Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q8A,Q8P,Q12A,Q12P,Q4A,Q4P,Q13A,Q13P,Q5,Q9,Q14,Q1,Q6,Q10,Q2A,Q2P,Q7A,Q7P,Q11A,Q11P
9,97109,3510,9,9,2001Q1,15,1,3,,,1,2,3,3,3,3,1,1,1,2,2,2,3,3,3,3,3,3
3,53407,3510,5,5,2001Q1,15,3,2,3,3,2,2,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3
5,96912,3510,9,9,2001Q1,15,1,1,1,1,2,2,1,1,2,2,3,3,2,1,1,1,1,1,1,1,2,2
5,97196,3510,2,2,2001Q1,15,1,2,1,2,1,1,2,2,1,2,2,2,3,2,2,2,3,3,2,2,3,2
6,97146,3510,8,8,2001Q1,15,2,1,1,1,3,2,2,1,2,1,3,3,2,1,2,2,2,1,1,1,3,1
5,97252,3510,9,9,2001Q1,15,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
9,31472,3510,7,7,2001Q1,15,2,2,3,2,3,2,1,2,3,2,2,2,1,1,2,2,1,1,2,2,3,3
1,96947,3510,1,1,2001Q1,15,,,3,2,,,,,,,,3,,,2,,,,3,2,,
1,30306,3510,7,7,2001Q1,15,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,1,2,1,1,2,2,2
5,97139,3510,8,8,2001Q1,15,1,2,1,1,3,3,1,2,3,3,2,3,1,1,1,2,3,2,2,2,1,2
9,53650,3510,6,6,2001Q1,15,3,1,3,1,2,2,3,2,2,2,1,1,2,2,2,1,3,1,3,1,2,1
8,97281,3510,6,6,2001Q1,15,2,1,2,1,,,,,,,,3,,,1,,,,3,2,,
3,53492,3510,5,5,2001Q1,15,2,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3
1,97016,3510,8,8,2001Q1,15,,,1,2,,,,,,,,2,,,1,,,,2,2,,
1,96937,3510,8,8,2001Q1,15,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2
7,30521,3510,9,9,2001Q1,15,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
4,53461,3510,8,8,2001Q1,15,2,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3
1,96921,3510,2,2,2001Q1,15,,,,,2,2,,,1,2,,,2,,,1,,,,,1,2
