Date,RGDP,Trade,Construction,Manufacturing,Vehicles,Services,Manu_Empl,Trade_Empl,Const_Empl,Employ,Investment,Manu_Inv,Const_Inv,Private_Inv,JSE,Production,CPI,RJSE,RProduction,Rinvestment,Rinvestment2,Leading,Coincident,SACCI
1991/03/31,1625610.652,202824.4651,44946.67062,241998.5752,,,134.7,97.6,47.4,94.26,215421,43559,137005,50974,13.16,74.54258562,24.37310649,53.99393798,305.8394943,883847.1211,57301,71.833,68.033,
1991/06/30,1621942.172,202275.8672,43963.63409,240531.4616,,,134,94.1,47.5,93.57,211702,44283,135055,46950,13.13,74.09067204,25.37310649,51.74770384,292.0047338,834355.8568,54159.88344,71.167,67.3,
1991/09/30,1621312.687,200600.9356,44239.64434,237094.1669,,,133.2,93.6,47.4,93.44,208926,44596,133592,46255,13.12,73.0318855,26.37310649,49.74764731,276.9180246,792193.3661,52599.78492,70.433,66.667,
1991/12/31,1618523.679,196900.4121,43936.63308,234826.3541,,,132.4,93.7,47.7,93.3,205693,41426,132886,42717,13.1,72.33333333,27.37310649,47.85719154,264.2496326,751441.9312,50946.21009,69.9,65.233,82
1992/03/31,1607181.91,196169.953,43046.6,233528.6,29425.47824,,131.8,92.7,46.8,93,204969,41426,132777,42896,13.4,72.53333333,28.24796336,47.43704822,256.7736739,725606.2938,49968.90212,69.333,65.133,82.83
1992/06/30,1597323.999,195910.6588,42048.6,231721.8,29386.59413,,130.3,91.1,47.1,92.5,200049,41614,132574,40799,13.3,72.06666667,29.07496719,45.74381775,247.8649974,688045.4885,49009.48945,68.7,62.9,80.83
1992/09/30,1578831.003,195648.4234,41076.6,229271.6,29347.25787,,129,88.5,46.7,92.2,197542,42926,132335,36931,12.2,69.73333333,29.90645286,40.79387166,233.1715287,660533.0325,47803.36006,68.933,60.533,82.9
1992/12/31,1565415.047,196033.247,39911.5,228626.2,29404.98119,,129.6,88.3,46.6,92.1,196468,42986,135648,32579,11.7,72.13333333,30.31582806,38.59370087,237.9395119,648070.7028,46619.98093,68.533,60.567,80.63
1993/03/31,1579283.79,196107.6,39312.49,228990.98,29416.134,310431.72,128.6,87.8,46.6,92.1,198474,43613,137194,31996,13,73.03333333,30.87474348,42.10561298,236.5471745,642836.1101,47068.31337,68.133,60.5,79.4
1993/06/30,1590066.57,194167.1,38855.29,228221,29125.065,310927.68,128.3,91.4,46.3,93.2,201821,43878,138609,34818,14.4,72.36666667,32.15234298,44.78678276,225.074318,627702.3113,46520.81415,67.867,60.2,79.1
1993/09/30,1610457.37,196834.1,38363.5,229728.5,29525.115,312202.12,127.8,92.5,45.8,93.2,207005,43519,141689,35084,15,73.46666667,32.69102423,45.8841543,224.7303913,633216.624,47281.15226,66.267,61.367,82.27
1993/12/31,1624202.5,197044.2,38208.49,231199.7,29556.633,312799.07,125.3,89.6,45.1,92.5,209074,42707,145740,34785,15.7,74.3,33.15042154,47.35988041,224.1298799,630682.7795,48520.61346,65.8,61.467,85.07
1994/03/31,1623436.95,198943.8,39218.41,230642.01,29841.57,316509.22,128,89,44.5,93,213646,44821,150779,35870,18.3,73.96666667,33.83911007,54.07943637,218.5833685,631358.2111,48985.1822,66.2,61.433,84.93
1994/06/30,1639276.21,199731,39498.25,232171.84,29959.644,321937.16,128.3,88.4,44.3,93.2,219527,49161,160052,32836,20,73.3,34.41776623,58.10952362,212.9714041,637830.4696,50314.39881,66.833,64.133,88.87
1994/09/30,1657710.12,201260.1,39960.21,236171.64,30189.0075,326515.38,128.9,88.7,44.5,94,227810,53400,166865,33915,21.4,76.6,35.63733136,60.04938974,214.9431427,639245.3961,51156.57999,67.6,66.1,90.23
1994/12/31,1688515.27,203822,40548.21,243944.46,30573.297,331049.17,128.8,88.3,44.5,94.5,233056,55016,169940,31309,21.7,79.8,36.35164116,59.69469138,219.5224134,641115.4836,52512.78931,68.267,70.033,87.5
1995/03/31,1692735.66,206774.5,40997.5,248115.11,31016.1705,333052.75,129.6,88.7,45.5,95.7,242214,57221,172761,32451,20.1,81,37.16903534,54.07727109,217.9233312,651655.3303,53936.32387,70.033,74.833,90.8
1995/06/30,1697602.01,210758.8,41038.43,251269.34,31613.82,336069.53,130.3,87.8,45.7,96.5,243393,57678,174307,33039,20.6,82.46666667,38.06615498,54.11631411,216.6403902,639394.7592,55879.40583,73,75.333,90.33
1995/09/30,1708864.97,215168.2,41336.31,253333.61,32275.2345,338843.18,129.2,84.6,46,96.6,244412,59254,174473,31306,20.6,83.03333333,38.4093718,53.63274387,216.1798786,636334.2813,56295.11864,76.333,75,93.33
1995/12/31,1714613.02,218476.9,41503.55,251502.33,32771.538,340620.65,127.9,83.2,46.4,97.1,253381,61312,180424,34907,22.3,82.2,38.76912439,57.51999909,212.0243913,653563.8964,56534.68789,78.833,74.167,95.17
1996/03/31,1746376.2,218129.9,41574.14,253779.2,32719.4865,348385.34,125.7,80.6,46.3,96.8,261413,61753,185327,32645,25.3,83.1,39.61401976,63.86627804,209.7742176,659900.2111,58186.80964,80.233,73.6,95.73
1996/06/30,1767181.8,219494.1,42007.9,253187.38,32924.1195,352827.46,124.9,79.6,46,97.2,266185,61482,187892,39280,25.4,86.36666667,40.42523395,62.83204206,213.6454344,658462.4848,59946.94391,77.533,75.167,93.17
1996/09/30,1788237.5,221323.9,42256.19,254726.28,33198.579,358456.07,123.3,78.8,46.3,97.3,268852,59715,191038,41321,25.1,85.83333333,41.3619158,60.68384289,207.5177894,649998.9055,60628.82981,74.667,76.167,91.87
1996/12/31,1805014.23,223724.2,42361.43,256586.63,33558.6225,364995.06,124,77.6,46.6,97.6,274639,62758,194069,40903,25.1,85.26666667,42.33407806,59.29029555,201.4137796,648742.1307,60819.81029,73.5,76.467,90.67
1997/03/31,1813393.41,224362.7,42838.93,258194,33654.4125,366175.91,122,76.8,46,96.9,277140,63208,195272,40640,25.8,88.1,43.44353232,59.38743611,202.7919815,637931.5521,61739.06065,72.867,75.567,91.67
1997/06/30,1824770.84,222898.3,43375.41,263012.85,33434.748,367895.05,119.6,76.3,46.4,97,278334,63269,195614,39405,26.5,88.06666667,44.20026339,59.95439386,199.2446649,629711.1797,62153.25689,73.167,76.2,93.6
1997/09/30,1826585.09,221563.2,43758.63,262600.51,33234.4815,369124.06,118.5,76,46.9,97.6,280000,62525,195685,39793,27.4,86.7,44.9100923,61.01078532,193.0523755,623467.8792,62007.2046,71.5,74.867,95.67
1997/12/31,1826837.44,217378.4,44017.33,261965.68,32606.7675,370328.67,117.3,74.2,47.1,97.4,286210,62552,195994,40517,24.7,86.5,45.26951989,54.56209843,191.0777941,632235.5543,62383.86187,72.167,73.7,93.4
1998/03/31,1831636.61,222562.5,41768.35,263100,33384.3765,373847.4,117.1,73.6,47.8,95,286001,61465,191615,41185,25.4,89.73333333,45.87522174,55.36757979,195.6030509,623432.409,64047.16699,73.2,72,94.87
1998/06/30,1834227.01,224465.8,40798.4,262895.43,33669.87,379787.4,115.8,69.9,48.6,95.1,293196,61031,190343,41073,29.3,89.06666667,46.55110015,62.94158442,191.3309597,629836.8869,64781.19121,73.167,70.533,93.37
1998/09/30,1830209.44,225316,40426.45,259533.07,33797.4015,383688.28,115.3,67.7,48.6,94.7,297607,59945,187650,40502,23,88.23333333,48.46776904,47.45421639,182.0453779,614030.7381,65010.8494,71.767,68.333,86.7
1998/12/31,1831971.65,225379,40741.45,258153,33806.8575,385119.3,113.7,62.2,50,94.6,276586,59718,183910,43840,20.9,86.93333333,49.3881414,42.31785082,176.0206618,560025.1237,66176.0419,71.533,67.067,84.87
1999/03/31,1849578.16,232905.9,40288.92,257640.64,34935.8895,393211.94,112.8,60.5,52.2,94.6,265572,60629,182384,38350,22.9,87.03333333,49.73385839,46.04509029,174.9981525,533986.3196,61794.484,69.833,66.8,85.97
1999/06/30,1864298.77,238313.2,40255.48,259524,35746.977,397054.16,112.7,56.9,53,94.4,264225,61456,184985,38246,26.1,86.53333333,49.88307638,52.32235438,173.4723269,529688.6623,60622.16463,67.767,66.7,86.43
1999/09/30,1884655,244482.8,40381.87,263681.19,36672.4245,401111.55,112,55.8,54.5,94.9,268297,63011,190079,37744,26.8,88.23333333,50.01539896,53.5834974,176.4123353,536428.7911,60926.67609,65.7,67.767,87.47
1999/12/31,1905385.86,250248.4,40585.92,269097.74,37537.2585,403811.52,112.3,55,53.7,94.5,272115,62068,194821,37055,28.4,89.9,50.29899586,56.46235976,178.7312022,540994.8953,61939.45394,64.4,68.533,90.4
2000/03/31,1927656.77,255324.6,41055.47,276001.9,38298.684,407121.91,111.4,54.8,53.4,94.3,276014,61644,198643,36659,28.8,91.6,51.05525172,56.40947606,179.4134725,540618.2336,63280.01571,65.033,69.267,93.7
