Date,GVA Contractors,GFCF Residential,GFCF Non-residential,GFCF Civil_Construction,GFCF Res_Non-res,GFCF Total,Residential building,Non-residential building,Total building,Res (excl. h.c.a) ,Res (excl. h.c) ,Res (excl. a) ,Non-res (excl. h.c.a) ,Non-res (excl. h.c) ,Non-res (excl. a) ,Total (excl. h.c.a) ,Total (excl. h.c) ,Total (incl. all) ,Building_WC,Building_EC,Building_KN,Building_GP
1993/06/30,-7.59,-3.42,-2.49,-20.05,-2.99,-6.8,,,,,,,,,,,,,,,,
1993/09/30,-6.60,-4.08,17.38,-22.26,4.50,-0.5,,,,,,,,,,,,,,,,
1993/12/31,-4.26,0.66,3.77,-3.04,2.06,4.8,,,,,,,,,,,,,,,,
1994/03/31,-0.24,-3.38,-0.26,5.76,-1.94,5.6,7.93,-4.67,0.93,8.40,3.17,7.84,-5.76,-3.90,-7.7,3.24,0.52,-0.28,21.19,-16.49,12.47,-11.23
1994/06/30,1.65,-3.53,3.42,9.46,-0.34,5.0,0.02,-39.99,-13.38,-1.84,-3.78,-1.02,-44.65,-33.16,-40.9,-17.18,-14.78,-14.92,-12.40,11.79,-34.55,-9.73
1994/09/30,4.16,1.15,20.71,-4.97,9.93,2.1,0.36,-68.36,-27.54,-1.30,-3.32,-0.29,-74.74,-63.07,-68.7,-35.58,-30.87,-28.92,-24.78,-20.64,-17.95,-39.40
1994/12/31,6.12,6.77,21.97,-1.76,13.72,-0.5,19.32,-5.86,12.51,21.61,15.64,21.27,-10.79,7.91,-5.6,12.64,13.33,13.43,25.11,16.57,11.39,1.82
1995/03/31,4.54,7.61,17.79,-13.66,12.39,2.0,17.69,-13.81,-0.59,20.15,12.96,20.97,-15.37,-21.13,-12.1,8.33,0.78,1.46,-6.10,-5.28,-2.78,6.99
1995/06/30,3.90,2.34,13.01,-10.53,7.43,2.1,18.22,5.39,10.39,22.19,15.17,21.18,24.11,19.68,7.5,22.65,16.50,13.14,25.47,20.43,7.13,3.18
1995/09/30,3.45,-0.33,9.39,2.73,4.46,5.1,10.75,41.23,10.64,15.19,9.18,12.41,62.34,34.33,44.6,23.82,15.37,13.11,-11.33,18.47,17.57,16.05
1995/12/31,2.36,-2.76,23.18,-3.86,9.96,-0.9,-4.03,15.30,-3.93,-4.85,-8.32,-4.46,15.73,4.88,17.8,-0.34,-4.56,-3.38,1.54,90.15,-16.39,-12.14
1996/03/31,1.41,0.80,1.03,14.58,0.91,1.1,4.05,-16.66,-1.80,1.71,-1.70,1.31,-15.01,-5.46,-16.5,-2.64,-2.75,-3.99,-8.24,36.25,-26.59,-1.90
1996/06/30,2.36,1.16,9.61,8.21,5.41,3.5,13.30,55.19,16.02,10.94,8.29,10.04,45.46,19.56,52.9,19.31,11.69,13.33,-11.40,16.39,-14.22,38.87
1996/09/30,2.23,3.77,-1.09,18.48,1.26,9.1,-1.41,31.01,6.89,-2.54,-1.57,-2.72,29.30,21.67,27.7,5.10,5.10,5.03,2.82,29.09,4.17,6.85
1996/12/31,2.06,6.47,-10.09,21.21,-2.63,7.9,17.58,53.70,23.47,15.75,17.87,16.04,45.61,22.45,48.0,23.35,19.30,20.92,-3.52,-6.15,47.50,37.79
1997/03/31,3.04,-4.15,9.81,11.80,2.73,6.5,-6.14,70.39,13.68,-6.71,-3.01,-6.23,76.71,57.82,65.4,12.22,13.53,13.54,9.14,6.92,30.42,14.91
1997/06/30,3.25,-4.73,-9.07,13.23,-7.00,-0.9,-13.34,8.20,-1.90,-13.32,-9.48,-12.48,10.30,15.08,5.9,-6.34,-1.55,-1.60,41.51,0.67,31.51,-24.43
1997/09/30,3.56,-2.50,-4.38,2.31,-3.45,-1.7,-8.99,6.13,-4.31,-9.25,-7.50,-8.56,5.37,0.73,6.6,-4.94,-4.76,-3.70,3.37,28.90,5.82,-26.85
1997/12/31,3.91,5.92,3.25,6.97,4.57,-3.2,-7.15,31.42,1.56,-7.35,-9.84,-7.18,37.96,26.68,32.6,6.27,1.89,2.38,-3.08,-20.44,-26.42,20.33
1998/03/31,-2.50,-0.38,1.27,4.33,0.49,0.7,14.16,-4.51,2.92,-3.10,-4.27,13.53,-9.38,-11.12,-5.0,-5.35,-6.86,2.15,2.49,-38.72,20.61,-4.79
1998/06/30,-5.94,-2.25,-7.78,2.29,-5.07,-3.7,6.07,-7.61,-3.93,-2.65,-5.59,4.24,-8.15,-13.81,-8.0,-4.56,-8.69,-5.38,-31.27,-8.93,-26.17,16.79
1998/09/30,-7.62,-8.50,-6.35,6.59,-7.43,-3.3,7.97,29.97,9.77,-0.10,-3.76,7.92,27.33,19.18,29.4,8.87,4.30,9.64,21.69,19.04,-10.39,19.10
1998/12/31,-7.44,-17.28,-15.45,-5.56,-16.36,-8.5,-13.28,-13.93,-12.42,-15.04,-12.53,-12.07,-10.00,-10.79,-13.9,-13.07,-11.84,-11.82,22.50,75.68,-14.56,-37.17
1999/03/31,-3.54,-18.22,-17.25,9.16,-17.71,-3.5,-28.06,-12.87,-17.45,-16.67,-12.38,-27.84,-18.19,-11.59,-12.6,-17.19,-12.09,-16.83,17.24,93.40,-23.42,-39.18
1999/06/30,-1.33,-13.83,-6.26,-7.20,-10.08,-8.9,-26.04,-27.89,-22.87,-25.13,-20.06,-25.60,-33.14,-29.50,-27.7,-27.81,-23.43,-22.28,14.54,-24.61,-4.90,-41.81
1999/09/30,-0.11,-9.87,-3.70,-6.49,-6.75,-3.4,-13.23,-37.06,-14.44,-13.32,-6.54,-14.67,-38.13,-25.28,-37.5,-22.81,-14.06,-15.78,2.16,-2.71,-39.11,-9.39
1999/12/31,-0.38,-5.23,2.07,-7.95,-1.54,-3.8,-16.75,-22.85,-14.36,-19.63,-13.33,-19.20,-19.92,-17.34,-23.8,-19.75,-14.95,-16.46,-19.84,-45.71,-27.21,-2.81
2000/03/31,1.90,12.00,5.15,-14.33,8.34,5.4,-7.90,-6.27,-5.55,-11.71,-9.27,-10.88,2.70,-0.58,-10.0,-6.84,-6.12,-9.22,-8.22,-29.35,-21.87,6.78
2000/06/30,4.31,20.85,12.79,-5.25,16.68,4.9,-1.56,31.93,11.72,2.48,2.13,-3.80,46.56,44.75,26.5,16.16,16.11,8.33,-7.42,68.54,8.35,23.91
2000/09/30,7.12,20.33,-2.02,3.58,8.67,6.4,-7.76,52.75,3.44,-0.48,-0.65,-7.25,51.71,16.26,47.6,15.53,5.25,2.68,-9.77,-47.98,16.68,24.50
2000/12/31,9.23,20.27,-0.95,3.41,9.13,3.8,9.47,-14.19,1.38,12.44,7.89,11.23,-17.79,-8.18,-16.1,0.26,1.58,1.49,9.94,18.98,25.40,1.45
