Date,Total_SARB,Total_StatsSA,Hardware,NonD,Semi,Durable,Other_Durables
1992/06/30,-5.00618047,-5.277718565,-5.778757128,-9.397257841,5.158546907,-3.672990465,-2.947656786
1992/09/30,-6.946182728,-7.05441601,-5.653558871,-12.99913253,6.36608234,-2.818131599,-1.840530668
1992/12/31,-1.589403974,-2.483079544,5.102518073,-6.811714245,4.557920358,2.6141221,1.795032062
1993/03/31,-0.19828156,-0.881636777,8.052681605,-8.412220016,12.46190819,9.415027985,9.871780405
1993/06/30,-4.944697463,-4.826000312,-0.603232949,-8.510114051,2.38335192,-2.230112335,-2.774145977
1993/09/30,1.143241426,0.860680004,0.175466824,-0.452193466,5.026332156,-1.712344978,-2.337942632
1993/12/31,2.69179004,2.624101841,-1.217977031,2.417791277,5.20226655,0.719858132,1.378448726
1994/03/31,3.046357616,2.777059105,-1.698733448,3.249612652,3.212502778,-2.611313228,-2.912207239
1994/06/30,7.118412047,7.282954207,5.82360351,3.095261909,13.7542458,11.69931619,13.70804562
1994/09/30,3.191489362,3.572824953,8.925060009,-2.405362032,12.52458535,10.52000237,11.06214918
1994/12/31,2.424639581,2.249081972,8.021030776,-4.225823088,12.5241478,5.539256167,4.71740476
1995/03/31,3.020565553,3.204635537,8.692256443,-1.803345192,10.58418817,9.128834879,9.274581827
1995/06/30,5.878594249,6.035835247,8.178564086,2.393497621,11.81834451,8.36807066,8.428364997
1995/09/30,7.603092784,7.854088043,1.943090063,7.410188257,8.920397612,7.606623762,9.494707033
1995/12/31,10.30070377,9.201738098,2.729889358,7.960080358,9.441251305,12.34667449,15.63178759
1996/03/31,1.060511541,3.084635306,0.225908841,-0.805245046,9.237481782,4.293653914,5.64438958
1996/06/30,2.534701267,2.636485351,3.51664278,0.458250887,6.158467445,3.608642028,3.637845522
1996/09/30,4.311377246,3.656885372,2.564679903,0.752623003,8.495444456,4.279617374,4.811905298
1996/12/31,2.378190255,1.728949149,1.583802179,-2.126978238,7.44345784,3.286321599,3.803013992
1997/03/31,3.827160494,3.704730348,0.757662451,1.092574649,8.16242783,3.181317072,3.944837983
1997/06/30,2.413184226,2.598815587,3.174144614,-1.344428664,5.6286628,9.472055654,11.46887544
1997/09/30,-1.148105626,-1.007441276,4.822135895,-6.005330792,3.018134088,7.599222193,8.44270243
1997/12/31,1.473087819,1.251507969,-2.221945324,-1.76624955,4.10105539,4.426968182,6.401686602
1998/03/31,1.783590963,3.37449422,-2.35328653,0.382682523,6.045299928,8.784423357,12.18553793
1998/06/30,-5.229885057,-0.27967827,-5.767982355,-2.138140991,2.387355795,-0.148994126,1.499994762
1998/09/30,-5.400696864,0.557045472,-8.915294174,0.301525015,2.084745475,-1.810968075,0.274776378
1998/12/31,-9.491903964,-1.928037161,-6.021068367,-0.524442475,-2.976864791,-2.861011658,-1.998545127
1999/03/31,-3.095794393,-1.856017314,-2.373289281,-0.035856498,-4.65250852,-3.256860716,-3.491709213
1999/06/30,-1.576713159,-0.846323829,-7.051339295,-0.053097328,-1.551495033,-1.602931947,-0.118495369
1999/09/30,0.429711479,1.270747974,-2.973370592,0.905148473,1.38897819,2.364948354,3.788576235
1999/12/31,0.185070944,2.415071301,4.128652868,0.077326878,3.320882002,7.13119645,7.917037434
2000/03/31,1.386377336,3.365724891,-1.533141004,0.085165859,4.810230846,11.06089847,14.4471187
2000/06/30,2.649414664,3.677760022,1.445991262,1.3785408,5.339177798,6.658116255,7.979609537
2000/09/30,0.672371638,2.826396029,3.717751955,-0.443411501,5.672541948,6.898729423,7.691767337
2000/12/31,3.140394089,3.994018605,-1.936024904,1.817352373,7.61245795,3.206919529,4.505705003
2001/03/31,0.237812128,2.034841173,2.300950482,0.263415886,7.140420689,-2.208397172,-3.251552764
2001/06/30,2.280912365,4.152915579,6.435085441,2.265116601,7.080205953,3.062611895,2.259285889
2001/09/30,5.100182149,4.97583052,5.46479774,6.313106048,5.592476095,-0.197437875,-1.556977548
2001/12/31,3.402985075,4.756580558,12.21110857,0.823021755,9.777621296,4.470951164,2.636758814
2002/03/31,3.973902728,6.11154227,12.29409553,1.759293052,13.95257344,3.253507496,1.042105404
2002/06/30,3.638497653,5.112316277,16.29778473,-1.263074276,17.95991839,2.02461867,-1.514096853
2002/09/30,1.039861352,2.389160842,14.08703365,-2.651442847,15.0504823,3.526854224,0.810428526
2002/12/31,0.808314088,0.786110937,8.034274183,0.164869183,8.707105472,-2.57268267,-5.320695848
2003/03/31,2.452937821,2.52009559,8.06753989,1.37439382,5.265171233,4.250552422,3.212913378
2003/06/30,3.001132503,3.024867429,2.353204166,4.144580405,0.842823918,4.51245128,5.144608425
2003/09/30,5.488850772,5.486296626,5.597410426,2.347180281,10.64543172,7.334242802,7.839852351
2003/12/31,7.502863688,7.513258984,7.587154736,4.653855172,14.25648103,9.80623055,10.4622348
2004/03/31,9.966592428,9.863414822,,,,,
2004/06/30,9.895547004,9.922269687,,,,,
2004/09/30,11.97831978,12.00018759,,,,,
2004/12/31,12.41342568,12.39511682,,,,,
2005/03/31,6.379746835,6.473022497,,,,,
2005/06/30,8.154077039,8.180999862,,,,,
2005/09/30,7.647628267,7.59741728,,,,,
2005/12/31,10.14218009,10.13150447,,,,,
2006/03/31,12.47025226,12.45707792,29.553509,7.353913432,24.44261651,25.94509223,23.28153487
2006/06/30,12.34967623,12.29558038,23.96075684,9.115824305,21.69172624,20.46869613,17.86883332
2006/09/30,13.35431655,13.38174516,20.22194012,10.95554681,25.06761381,18.26856859,16.81109695
2006/12/31,10.80034423,10.84940446,16.38710601,7.439187257,24.39128774,14.86462104,13.96848335
2007/03/31,9.775708845,9.767223894,17.60311144,7.723960851,24.67437576,16.24945731,15.19942123
2007/06/30,9.304240428,9.280686255,8.68876646,9.254828216,21.25989633,5.435550574,2.888328753
2007/09/30,5.553351845,5.526037591,6.907829128,4.091589863,21.36223143,-0.93269233,-6.953570442
2007/12/31,2.330097087,2.348600919,0.3754982,1.59847819,20.70403538,-7.824442061,-12.75337053
2008/03/31,2.313030069,2.252714999,60.0895732,27.10369667,7.268342373,23.13689567,-6.125571239
2008/06/30,0.941619586,0.939484425,72.65989966,22.7937356,5.475633481,31.9031184,-1.807933775
2008/09/30,-0.67643743,-0.653118576,53.03655445,23.10445633,-1.930310366,23.28244067,-2.970122085
2008/12/31,-0.189753321,-0.259344613,52.70789676,26.86410748,-2.516069369,17.32516788,-7.143605976
2009/03/31,-1.996985682,-1.937567277,-14.48604993,-0.239294671,-1.331764635,-11.77400976,-8.111516117
2009/06/30,-5,-4.970837666,-22.52155172,-2.339199143,-2.874063249,-18.25808284,-12.0572416
2009/09/30,-3.102534998,-3.103064432,-19.04052232,-0.079317122,-1.917559907,-15.15131379,-9.739091689
2009/12/31,-2.965779468,-2.926036126,-16.68679406,-0.776195098,-3.584487536,-11.48712623,-5.573604947
2010/03/31,1.307189542,1.313242191,-12.98188375,2.113836641,7.42785511,-6.721321351,1.146780864
2010/06/30,5.813040063,5.765087306,-3.068497914,5.604285988,6.530541546,4.151740642,13.4034055
2010/09/30,6.716126513,6.720457356,1.174614306,6.107005413,7.792945752,7.318574142,14.98743302
