Date,Total_Sales,Passenger_Sales,GP_Total,GP_Passenger,WC_Total,WC_Passenger,KZN_Total,KZN_Passenger
1992/06/30,,,,,,,,
1992/09/30,,,,,,,,
1992/12/31,,,,,,,,
1993/03/31,,,,,,,,
1993/06/30,,,,,,,,
1993/09/30,,,,,,,,
1993/12/31,,,,,,,,
1994/03/31,,,,,,,,
1994/06/30,,,,,,,,
1994/09/30,,,,,,,,
1994/12/31,,,,,,,,
1995/03/31,0.229,0.278,0.308,0.257,0.262,0.187,0.322,0.22
1995/06/30,0.201,0.224,0.236,0.207,0.254,0.204,0.276,0.262
1995/09/30,0.372,0.381,0.367,0.377,0.438,0.423,0.297,0.285
1995/12/31,0.145,0.121,0.15,0.179,0.141,0.117,0.007,0.034
1996/03/31,-0.053,-0.023,-0.094,-0.137,0.01,-0.03,-0.088,-0.109
1996/06/30,0.113,0.094,0.065,0.056,0.226,0.27,0.051,0.082
1996/09/30,-0.008,-0.011,-0.103,-0.142,-0.01,-0.018,-0.067,-0.051
1996/12/31,0.168,0.112,-0.076,-0.072,0.129,0.192,0.047,0.14
1997/03/31,0.141,0.023,-0.001,0.097,0.118,0.248,0.022,0.18
1997/06/30,-0.072,-0.077,-0.138,-0.13,-0.079,-0.101,-0.142,-0.156
1997/09/30,0.017,-0.012,-0.077,-0.071,0.013,0.003,-0.093,-0.096
1997/12/31,-0.22,-0.196,-0.209,-0.213,-0.216,-0.243,-0.181,-0.226
1998/03/31,-0.117,-0.101,-0.095,-0.095,-0.079,-0.088,-0.117,-0.143
1998/06/30,-0.116,-0.131,-0.116,-0.126,-0.153,-0.136,-0.156,-0.17
1998/09/30,-0.183,-0.186,-0.172,-0.167,-0.24,-0.218,-0.216,-0.232
1998/12/31,-0.212,-0.195,-0.165,-0.195,-0.219,-0.256,-0.207,-0.253
1999/03/31,-0.235,-0.201,-0.185,-0.24,-0.257,-0.304,-0.197,-0.254
1999/06/30,-0.139,-0.134,-0.138,-0.146,-0.148,-0.167,-0.176,-0.176
1999/09/30,0.04,0.035,0.076,0.072,0.059,0.054,0.054,0.059
1999/12/31,0.1,0.079,0.114,0.12,0.119,0.165,0.157,0.205
2000/03/31,0.275,0.215,0.289,0.357,0.266,0.347,0.292,0.391
2000/06/30,0.212,0.178,0.255,0.295,0.224,0.278,0.317,0.382
2000/09/30,0.113,0.104,0.104,0.097,0.074,0.052,0.104,0.154
2000/12/31,0.157,0.146,0.125,0.147,0.051,0.077,0.031,0.085
2001/03/31,0.157,0.162,0.121,0.151,0.084,0.114,0.016,0.051
2001/06/30,0.01,0.046,0.016,0.01,-0.029,-0.03,-0.027,-0.027
2001/09/30,0.017,0,0.021,0.076,-0.051,0.01,-0.008,0.045
2001/12/31,0.085,0.108,0.123,0.14,0.125,0.098,0.155,0.151
2002/03/31,-0.072,-0.075,-0.084,-0.112,-0.066,-0.046,-0.015,-0.011
2002/06/30,-0.007,-0.025,-0.016,-0.038,-0.054,-0.044,0.046,0.061
2002/09/30,0.012,0.017,-0.044,-0.1,-0.009,-0.041,0.04,-0.003
2002/12/31,-0.062,-0.113,-0.14,-0.162,-0.13,-0.121,-0.091,-0.086
2003/03/31,0.01,0.006,-0.022,-0.02,-0.048,-0.091,0.044,0.023
2003/06/30,-0.014,-0.018,-0.028,-0.021,0.038,0.008,-0.042,-0.043
2003/09/30,0.139,0.127,0.148,0.166,0.179,0.145,0.097,0.104
2003/12/31,0.151,0.124,0.127,0.16,0.169,0.209,0.102,0.116
2004/03/31,0.172,0.176,0.249,0.266,0.388,0.395,0.246,0.268
2004/06/30,0.249,0.244,0.259,0.282,0.316,0.35,0.322,0.363
2004/09/30,0.198,0.196,0.267,0.291,0.306,0.351,0.308,0.344
2004/12/31,0.277,0.305,0.397,0.36,0.403,0.377,0.402,0.466
2005/03/31,0.235,0.218,0.23,0.214,0.234,0.24,0.243,0.257
2005/06/30,0.343,0.357,0.378,0.348,0.379,0.334,0.42,0.366
2005/09/30,0.242,0.26,0.285,0.263,0.323,0.285,0.401,0.332
2005/12/31,0.23,0.238,0.233,0.234,0.189,0.169,0.32,0.304
2006/03/31,0.344,0.34,0.227,0.213,0.192,0.183,0.24,0.228
2006/06/30,0.26,0.221,0.18,0.187,0.164,0.21,0.188,0.228
2006/09/30,0.226,0.233,0.222,0.188,0.211,0.23,0.205,0.252
2006/12/31,0.184,0.213,0.185,0.127,0.227,0.229,0.213,0.189
2007/03/31,0.037,0.074,0.136,0.075,0.158,0.137,0.14,0.107
2007/06/30,-0.116,-0.038,-0.025,-0.093,-0.002,-0.061,-0.006,-0.077
2007/09/30,-0.097,-0.077,-0.138,-0.187,-0.151,-0.179,-0.113,-0.159
2007/12/31,-0.142,-0.123,-0.15,-0.189,-0.152,-0.195,-0.138,-0.204
2008/03/31,-0.195,-0.15,-0.161,-0.194,-0.195,-0.24,-0.152,-0.213
2008/06/30,-0.227,-0.186,-0.196,-0.227,-0.271,-0.318,-0.209,-0.246
2008/09/30,-0.258,-0.243,-0.28,-0.296,-0.349,-0.362,-0.315,-0.332
2008/12/31,-0.338,-0.319,-0.329,-0.336,-0.431,-0.437,-0.372,-0.384
2009/03/31,-0.321,-0.359,-0.39,-0.364,-0.446,-0.403,-0.375,-0.35
2009/06/30,-0.264,-0.336,-0.386,-0.349,-0.424,-0.365,-0.387,-0.373
2009/09/30,-0.204,-0.237,-0.238,-0.184,-0.283,-0.277,-0.246,-0.259
2009/12/31,-0.024,-0.092,-0.115,-0.039,-0.063,-0.023,-0.092,-0.032
2010/03/31,0.287,0.231,0.228,0.275,0.221,0.276,0.185,0.263
2010/06/30,0.336,0.298,0.43,0.493,0.371,0.46,0.385,0.573
2010/09/30,0.382,0.268,0.348,0.479,0.366,0.56,0.35,0.575
2010/12/31,0.284,0.266,0.313,0.348,0.234,0.315,0.295,0.397
2011/03/31,0.22,0.211,0.252,0.283,0.215,0.214,0.233,0.285
2011/06/30,0.151,0.114,0.147,0.199,0.192,0.225,0.136,0.151
2011/09/30,0.154,0.188,0.201,0.163,0.181,0.158,0.249,0.24
2011/12/31,0.212,0.198,0.245,0.265,0.23,0.254,0.369,0.375
