Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
01,11088,3230,1,0.200000003,2015Q3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
08,11098,3230,1,0.200000003,2015Q3,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE
05,11099,3230,1,0.200000003,2015Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,FALSE,FALSE,FALSE,FALSE
01,11137,3330,1,0.050000001,2015Q3,1,2,,2,1,2,2,2,2,2,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE
05,11139,3210,1,0.050000001,2015Q3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,13011,3330,8,15,2015Q3,2,2,3,2,2,2,2,2,2,1,1,2,3,1,2,FALSE,FALSE,FALSE,FALSE
05,13017,3240,5,1.5,2015Q3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,13021,3370,7,7.5,2015Q3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,1,FALSE,FALSE,FALSE,FALSE
04,13104,3330,9,35,2015Q3,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,13105,3330,1,0.050000001,2015Q3,2,3,,2,3,3,3,3,2,2,2,2,2,3,1,FALSE,FALSE,FALSE,FALSE
02,13135,3370,5,1.5,2015Q3,2,,,3,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
06,13212,3310,7,22.5,2015Q3,2,,,2,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
08,13215,3310,5,4.5,2015Q3,2,3,2,3,2,3,2,2,2,1,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE
05,13271,3230,9,140,2015Q3,2,3,3,3,3,3,3,3,3,1,1,2,1,3,1,FALSE,FALSE,FALSE,FALSE
06,13275,3370,9,35,2015Q3,1,1,2,1,2,1,2,3,3,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
05,13286,3310,6,10.5,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
05,13287,3330,4,0.75,2015Q3,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
02,13355,3330,2,0.150000006,2015Q3,,2,2,3,3,3,3,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
06,13410,3110,9,40.59999847,2015Q3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
01,13411,3310,5,4.5,2015Q3,1,,,1,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
01,13461,3310,5,4.5,2015Q3,2,3,2,3,2,3,2,2,2,1,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,13476,3110,6,4.059999943,2015Q3,2,2,3,2,2,3,3,2,2,1,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE
06,13672,3120,1,0.118000001,2015Q3,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,FALSE,FALSE,FALSE,FALSE
06,13688,3310,8,45,2015Q3,2,3,3,3,3,3,3,2,3,1,1,1,2,3,2,FALSE,FALSE,FALSE,FALSE
