Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
6,14610,3310,2,0.450000018,15Q3,,1,1,1,1,1,1,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14619,3160,5,1.74000001,15Q3,,3,3,3,3,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15296,3240,9,35,15Q3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15317,3230,9,140,15Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15321,3120,9,82.59999847,15Q3,1,2,2,2,1,3,1,2,1,1,1,3,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15325,3120,4,1.769999981,15Q3,2,3,2,3,2,3,2,2,2,1,1,2,,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15354,3330,9,35,15Q3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15363,3230,9,140,15Q3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15405,3230,8,60,15Q3,2,2,3,1,2,1,1,3,3,1,1,1,1,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15470,3130,7,8.699999809,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,15492,3120,4,1.769999981,15Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
3,31477,3310,5,4.5,15Q3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,33127,3140,5,1.74000001,15Q3,1,2,2,2,2,3,2,2,2,1,3,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,33362,3310,5,4.5,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35995,3160,3,0.405999988,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36003,3330,5,1.5,15Q3,2,2,,2,,2,,2,,2,,2,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,36006,3330,9,35,15Q3,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,36007,3220,5,3,15Q3,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36030,3330,8,15,15Q3,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,36036,3230,9,140,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
4,36040,3370,2,0.150000006,15Q3,2,3,,3,3,3,3,2,2,2,3,2,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,36047,3310,1,0.150000006,15Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
