Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
06,14610,3310,2,0.150000006,0.450000018,15Q3,,1,1,1,1,1,1,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14619,3160,5,0.058,1.74000001,15Q3,,3,3,3,3,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,15296,3240,9,0.05,35,15Q3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,15317,3230,9,0.2,140,15Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,15321,3120,9,0.117999998,82.59999847,15Q3,1,2,2,2,1,3,1,2,1,1,1,3,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,15325,3120,4,0.117999999,1.769999981,15Q3,2,3,2,3,2,3,2,2,2,1,1,2,,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,15354,3330,9,0.05,35,15Q3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,15363,3230,9,0.2,140,15Q3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,15405,3230,8,0.2,60,15Q3,2,2,3,1,2,1,1,3,3,1,1,1,1,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,15470,3130,7,0.057999999,8.699999809,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,15492,3120,4,0.117999999,1.769999981,15Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
03,31477,3310,5,0.15,4.5,15Q3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,33127,3140,5,0.058,1.74000001,15Q3,1,2,2,2,2,3,2,2,2,1,3,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,33362,3310,5,0.15,4.5,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,35995,3160,3,0.057999998,0.405999988,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36003,3330,5,0.05,1.5,15Q3,2,2,,2,,2,,2,,2,,2,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,36006,3330,9,0.05,35,15Q3,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,36007,3220,5,0.1,3,15Q3,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36030,3330,8,0.05,15,15Q3,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,36036,3230,9,0.2,140,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
04,36040,3370,2,0.050000002,0.150000006,15Q3,2,3,,3,3,3,3,2,2,2,3,2,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,36047,3310,1,0.150000006,0.150000006,15Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
