Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7A,Total_Q8,Total_Q9,Semi_Q1,Semi_Q2A,Semi_Q3A,Semi_Q4A,Semi_Q5A,Semi_Q6A,Semi_Q7A,Semi_Q8,Semi_Q9,NonD_Q1,NonD_Q2A,NonD_Q3A,NonD_Q4A,NonD_Q5A,NonD_Q6A,NonD_Q7A,NonD_Q8,NonD_Q9,Durables_Q1,Durables_Q2A,Durables_Q3A,Durables_Q4A,Durables_Q5A,Durables_Q6A,Durables_Q7A,Durables_Q8,Durables_Q9,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7A,WC_Q8,WC_Q9,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7A,GP_Q8,GP_Q9,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7A,KZN_Q8,KZN_Q9
1992/06/30,18,-62,-38,-26,-26,,,,24,1,-59,-46,-40,-54,,,,55,36,-59,-14,44,9,,,,16,31,-59,-5,-17,11,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/09/30,0,-79,10,-36,-17,,,,54,0,-14,24,-100,-67,,,,62,8,-97,51,12,-15,,,,61,20,-70,-8,-8,27,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/31,14,-41,-15,2,-27,,,,47,0,-55,10,41,-19,,,,32,28,-33,4,52,10,,,,58,24,-59,-2,-9,16,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/03/31,8,-41,21,0,-23,,,,37,37,55,48,19,-32,,,,27,22,-49,26,-1,-9,,,,27,21,-36,20,15,6,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/06/30,21,-41,12,-17,-14,,,,38,13,2,28,30,31,,,,7,42,-18,-8,-18,63,,,,30,34,-56,17,-10,4,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/09/30,3,-61,-9,-29,-12,,,,40,27,5,-7,-22,-27,,,,7,3,-91,-41,-56,-15,,,,23,30,-55,13,2,20,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/31,23,-36,0,-56,-15,,,,39,41,38,-7,40,-12,,,,36,5,-79,69,-32,-25,,,,2,36,-43,11,7,-2,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/03/31,4,-13,15,9,2,,,,27,13,22,52,38,-7,,,,3,7,-30,-10,-7,-32,,,,6,38,-36,8,4,32,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/06/30,60,-15,9,10,-2,,,,13,66,76,52,44,13,,,,-10,57,-27,11,31,0,,,,29,69,15,49,54,70,,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/09/30,29,-4,33,13,-8,,,,28,49,57,24,-41,26,,,,-9,26,9,4,26,6,,,,-10,63,27,78,53,24,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/31,53,35,77,12,-3,,,,45,52,39,14,-3,10,,,,39,69,33,63,87,17,,,,7,56,46,100,89,86,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/03/31,53,32,70,57,60,,,,13,21,-15,53,45,50,,,,-5,59,36,83,93,46,,,,11,51,-13,29,2,41,,,,40,49,15,50,71,,,,,6,69,25,45,31,,,,,66,41,3,69,4,,,,,43
1995/06/30,58,36,61,42,51,,,,20,78,41,54,52,3,,,,59,31,-38,-3,-20,-23,,,,22,84,52,69,91,49,,,,24,85,75,50,78,,,,,23,87,-7,91,89,,,,,100,67,18,45,13,,,,,25
1995/09/30,50,-9,29,-25,15,,,,5,31,74,9,28,-12,,,,-39,11,-74,-42,-29,8,,,,47,80,-33,64,-11,34,,,,-9,63,45,36,55,,,,,-1,51,-4,35,22,,,,,25,27,-47,33,-46,,,,,11
1995/12/31,62,28,81,69,49,,,,33,65,51,72,67,43,,,,32,50,-2,37,47,52,,,,-6,60,6,89,91,65,,,,17,37,9,63,78,,,,,57,100,45,100,95,,,,,42,35,-35,83,63,,,,,23
1996/03/31,46,40,62,26,19,,,,18,83,97,69,-10,-9,,,,-7,65,31,57,93,27,,,,3,59,-26,41,27,58,,,,17,56,40,50,32,,,,,18,68,-4,25,4,,,,,40,71,39,100,53,,,,,27
1996/06/30,8,-31,33,-6,8,,,,47,5,-11,16,-32,-8,,,,27,10,-39,45,62,-11,,,,27,35,-49,38,33,61,,,,33,15,-18,12,5,,,,,31,47,-11,51,41,,,,,77,25,-37,7,-71,,,,,29
1996/09/30,11,-74,1,-67,13,,,,3,4,-46,55,-94,-15,,,,-59,22,-61,-31,4,1,,,,27,28,-100,-64,26,52,,,,14,6,-99,24,-89,,,,,-54,79,-61,-28,-23,,,,,40,16,-51,-1,-27,,,,,60
1996/12/31,21,-25,28,-8,-13,,,,17,77,91,58,-32,-36,,,,-44,12,-10,81,86,-12,,,,-24,21,-76,-14,-14,11,,,,67,45,6,40,-22,,,,,-28,67,22,74,61,,,,,48,12,-73,18,-27,,,,,48
