,Date,Datum,Obs,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9
1,1992Q2,1992/06/30,320,24.50107585,-59.92007081,-26.43154083,4.928982417,1.026783213,-19.00749064,-1.364235978,-48.42105263,NA,NA,-3.954474448,NA,-6.679487915,NA,24.8652273
2,1992Q3,1992/09/30,313,5.463251832,-77.5707134,-30.42490979,-19.8781274,-0.051069861,-29.58764798,-20.43876996,-39.21910153,NA,NA,-21.52233352,NA,-19.89605015,NA,54.47879611
3,1992Q4,1992/12/31,NA,10.46295835,-58.15029595,-22.99311748,-6.67341755,7.91163027,-11.27621911,-0.968345933,-41.94309185,NA,NA,-20.86297223,NA,-15.13510184,NA,46.48558642
4,1993Q1,1993/03/31,335,15.46266487,-38.72987849,-15.56132516,6.531292304,15.8743304,7.035209749,18.50207809,-44.66708216,NA,NA,-20.20361093,NA,-10.37415354,NA,38.49237672
5,1993Q2,1993/06/30,244,27.85958514,-38.34414346,-0.730947496,-12.08619328,-15.74768416,-10.58260176,-16.5048101,-35.6690606,NA,NA,0.587803086,NA,-15.25369117,NA,39.1035666
6,1993Q3,1993/09/30,NA,28.93287914,-35.86485549,-3.824802301,-8.462464249,0.659756571,-29.42390362,-19.20876634,-36.27557688,NA,NA,-15.995094,NA,-19.40247346,NA,39.56618728
7,1993Q4,1993/12/31,249,30.00617313,-33.38556753,-6.918657106,-4.838735215,17.06719731,-48.26520548,-21.91272258,-36.88209317,NA,NA,-32.57799109,NA,-23.55125574,NA,40.02880795
8,1994Q1,1994/03/31,278,10.85627186,-9.862311306,1.166133611,9.824970828,29.84599965,15.35351483,14.74338734,-20.09932231,NA,NA,29.59469794,NA,30.26220511,NA,27.69730001
9,1994Q2,1994/06/30,237,66.5474123,-12.48849607,13.69358732,4.577856596,54.12629276,17.2863679,50.02695083,-23.94033583,NA,NA,12.44928819,NA,14.41403224,NA,14.36200848
10,1994Q3,1994/09/30,275,38.33798883,-2.208600528,5.231987929,22.5915929,13.71134227,23.09944063,30.38214834,-24.48856345,NA,NA,36.57997372,NA,32.99354698,NA,23.20161534
11,1994Q4,1994/12/31,269,59.88601062,37.13119362,58.91857537,71.84061558,64.62599875,64.79265848,34.35167836,-24.80060674,NA,NA,44.79143151,NA,49.46145618,NA,45.92721395
12,1995Q1,1995/03/31,249,59.74483651,34.50028988,34.34420015,64.77174849,66.24628292,64.51287229,63.96383426,37.52341868,NA,NA,52.63809022,NA,44.52115459,NA,13.34150964
13,1995Q2,1995/06/30,208,65.0236555,37.17292652,24.66183575,55.12555104,75.78222102,48.32355915,68.69178139,29.06667954,NA,NA,32.8021978,NA,32.40712776,NA,20.35981647
14,1995Q3,1995/09/30,187,57.08519647,-6.931791175,16.49149248,23.71637172,18.98538844,-17.56472322,-15.74708235,-6.511922681,NA,NA,27.91729383,NA,22.51734055,NA,5.367186881
15,1995Q4,1995/12/31,221,68.85198556,30.58882956,36.39534324,75.2408942,49.74658352,75.98821507,48.84625925,26.17741858,NA,NA,35.67614374,NA,25.5760812,NA,34.14634146
16,1996Q1,1996/03/31,179,52.77869363,42.6895009,33.47620618,56.8997763,71.62209404,32.70135867,74.32388222,-2.212697366,NA,NA,54.71297212,NA,55.33987721,NA,19.37575558
17,1996Q2,1996/06/30,189,14.76439382,-29.27713662,-26.22036806,28.62005556,3.529842847,1.307894243,-32.47088632,-13.73986276,NA,NA,77.34716157,NA,77.06643793,NA,47.52807236
18,1996Q3,1996/09/30,105,15.10512726,-71.55108816,-21.19144227,-0.706309058,-42.17378998,-57.93460925,-38.43677569,-6.178531907,NA,NA,54.31575065,NA,56.90643491,NA,6.510512726
19,1996Q4,1996/12/31,187,27.78215223,-23.61548556,-23.29724409,22.5576853,-4.249602664,-0.961658031,-9.632414369,-34.42257218,NA,NA,79.98653652,NA,69.32742782,NA,17.72309711
20,1997Q1,1997/03/31,177,36.21590641,-32.89588801,-6.712697878,-6.724579497,1.881471335,-24.0776783,-1.815869117,-3.587051619,NA,NA,49.90914597,NA,51.22821186,NA,46.67541557
21,1997Q2,1997/06/30,159,37.89536503,-5.474018247,-22.21836573,25.21405814,9.911287856,9.418104831,6.458016277,-7.838468026,NA,NA,59.87703292,NA,21.10273701,NA,37.30166601
22,1997Q3,1997/09/30,167,50.29096834,-34.43901304,5.461475791,47.01599045,51.98376785,57.40321088,48.47398508,4.726606785,NA,NA,56.1801676,NA,48.63826816,NA,30.90607831
23,1997Q4,1997/12/31,167,51.16233964,-44.03868,-16.98207309,37.17512854,42.79279279,48.75280202,29.29816977,-30.60596825,NA,NA,8.979014776,NA,2.377323987,NA,17.75843429
24,1998Q1,1998/03/31,150,69.07165315,-14.93424311,-15.33043526,24.36207965,21.29188165,25.70836634,24.74939997,-37.30259176,NA,NA,13.06883839,NA,16.87118252,NA,24.50338414
25,1998Q2,1998/06/30,130,17.71769843,-84.96262312,-57.15935705,35.9833723,43.13401,30.723893,33.38370863,-54.49964696,NA,NA,60.17517405,NA,48.18248901,NA,20.70326286
