Streek,Idnr,Sektor,Gewig,Firmw,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
6,14610,3310,2,1,0.1265,0.1265,15Q3,,1,1,1,1,1,1,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14619,3160,5,2,0.027471963,0.054943925,15Q3,,3,3,3,3,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15296,3240,9,4,0.032070093,0.128280374,15Q3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15317,3230,9,4,0.295673077,1.182692308,15Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15321,3120,9,4,0.062497561,0.249990244,15Q3,1,2,2,2,1,3,1,2,1,1,1,3,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15325,3120,4,1,0.062497561,0.062497561,15Q3,2,3,2,3,2,3,2,2,2,1,1,2,,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15354,3330,9,4,0.132,0.528,15Q3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15363,3230,9,4,0.295673077,1.182692308,15Q3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,15405,3230,8,3,0.295673077,0.887019231,15Q3,2,2,3,1,2,1,1,3,3,1,1,1,1,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,15470,3130,7,3,0.025282927,0.07584878,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,15492,3120,4,1,0.062497561,0.062497561,15Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
3,31477,3310,5,2,0.1265,0.253,15Q3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,33127,3140,5,2,0.019658537,0.039317073,15Q3,1,2,2,2,2,3,2,2,2,1,3,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,33362,3310,5,2,0.1265,0.253,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35995,3160,3,1,0.027471963,0.027471963,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36003,3330,5,2,0.132,0.264,15Q3,2,2,,2,,2,,2,,2,,2,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,36006,3330,9,4,0.132,0.528,15Q3,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,36007,3220,5,2,0.123,0.246,15Q3,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36030,3330,8,3,0.132,0.396,15Q3,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,36036,3230,9,4,0.295673077,1.182692308,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
4,36040,3370,2,1,0.071957944,0.071957944,15Q3,2,3,,3,3,3,3,2,2,2,3,2,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,36047,3310,1,1,0.1265,0.1265,15Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36055,3330,8,3,0.132,0.396,15Q3,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36136,3140,5,2,0.019658537,0.039317073,15Q3,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,36235,3310,4,1,0.1265,0.1265,15Q3,2,3,1,3,1,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37381,3310,5,2,0.1265,0.253,15Q3,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37391,3330,1,1,0.132,0.132,15Q3,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37392,3330,9,4,0.132,0.528,15Q3,2,2,2,2,2,2,2,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37396,3220,7,3,0.123,0.369,15Q3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37397,3220,6,2,0.123,0.246,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37411,3310,8,3,0.1265,0.3795,15Q3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37416,3210,9,4,0.027326923,0.109307692,15Q3,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37419,3220,5,2,0.123,0.246,15Q3,2,3,2,3,2,3,2,2,2,1,2,1,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37439,3370,6,2,0.071957944,0.143915888,15Q3,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37449,3330,7,3,0.132,0.396,15Q3,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37451,3330,9,4,0.132,0.528,15Q3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14298,3220,5,2,0.123,0.246,14Q4,2,2,2,1,2,,,2,2,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,51485,3220,1,1,0.123,0.123,14Q4,2,2,1,2,1,2,1,2,1,1,2,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13964,3220,5,2,0.123,0.246,14Q4,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
8,51865,3310,1,1,0.1265,0.1265,14Q4,2,2,3,2,2,2,2,3,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,52201,3330,1,1,0.132,0.132,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,37377,3330,8,3,0.132,0.396,14Q4,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13808,3330,7,3,0.132,0.396,14Q4,1,1,,1,,1,,2,,1,,2,,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,37464,3310,7,3,0.1265,0.3795,14Q4,1,3,2,2,2,2,2,3,3,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
