"";"Date";"Datum";"Sector";"id";"sector";"weight";"factor";"factorn";"Q1";"Q2A";"Q2P";"Q3A";"Q3P";"Q4A";"Q4P";"Q5A";"Q5P";"Q6A";"Q6P";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"54";"2005Q2";2005-06-30;"Services";"36640";"6001";6;0,9;0,00782608695652174;1;1;NA;1;1;0;0;0;1;NA;NA;NA;0;1;0;NA
"60";"2006Q4";2006-12-31;"Services";"36640";"6001";6;0,9;0,00769230769230769;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"61";"2007Q1";2007-03-31;"Services";"36640";"6001";6;0,9;0,00737704918032787;-1;0;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"62";"2007Q2";2007-06-30;"Services";"36640";"6001";6;0,9;0,00927835051546392;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;-1;-1;NA
"66";"2008Q2";2008-06-30;"Services";"36640";"6001";6;0,9;0,00412844036697248;-1;0;NA;0;0;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"69";"2009Q1";2009-03-31;"Services";"36640";"7020";7;1,05;0,00801526717557252;1;1;NA;1;1;0;0;0;0;NA;NA;NA;-2;-1;-1;NA
"70";"2009Q2";2009-06-30;"Services";"36640";"7020";7;1,05;0,0091304347826087;-1;0;NA;-1;0;-1;-1;-1;0;NA;NA;NA;-1;0;-1;NA
"72";"2009Q4";2009-12-31;"Services";"36640";"7020";7;1,05;0,00921052631578947;-1;0;NA;NA;1;NA;0;NA;0;NA;NA;NA;-2;-1;-1;NA
"73";"2010Q1";2010-03-31;"Services";"36640";"7020";7;1,05;0,00853658536585366;-1;1;NA;-1;0;-1;0;-1;-1;NA;NA;NA;1;0;1;NA
"74";"2010Q2";2010-06-30;"Services";"36640";"7020";7;1,05;0,00833333333333333;-1;0;NA;1;1;0;0;0;0;NA;NA;NA;0;0;1;NA
"75";"2010Q3";2010-09-30;"Services";"36640";"7020";7;1,05;0,00853658536585366;-1;0;NA;1;1;0;0;1;1;NA;NA;NA;-1;0;-1;NA
"76";"2010Q4";2010-12-31;"Services";"36640";"7020";7;1,05;0,00867768595041322;-1;0;NA;0;0;0;0;0;0;NA;NA;NA;-1;-1;-1;NA
"77";"2011Q1";2011-03-31;"Services";"36640";"7020";7;1,05;0,00724137931034483;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"80";"2011Q4";2011-12-31;"Services";"36640";"7020";7;1,05;0,0102941176470588;-1;1;NA;-1;1;0;0;0;1;NA;NA;NA;0;0;0;NA
"81";"2012Q1";2012-03-31;"Services";"36640";"7020";7;1,05;0,0138157894736842;1;1;NA;1;1;0;1;1;1;NA;NA;NA;0;-1;0;NA
"82";"2012Q2";2012-06-30;"Services";"36640";"7020";7;1,05;0,00867768595041322;1;1;NA;1;1;0;1;1;1;NA;NA;NA;-2;-2;-2;NA
"63";"2007Q3";2007-09-30;"Services";"36728";"6001";5;0,75;0,00892857142857143;-1;1;NA;-1;0;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
"68";"2008Q4";2008-12-31;"Services";"36728";"6001";5;0,75;0,00443786982248521;-1;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;2;1;1;NA
"71";"2009Q3";2009-09-30;"Services";"36728";"6001";5;0,75;0,00348837209302326;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"721";"2009Q4";2009-12-31;"Services";"36728";"6001";5;0,75;0,00371287128712871;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"731";"2010Q1";2010-03-31;"Services";"36728";"6001";5;0,75;0,00345622119815668;-1;0;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;1;NA
"741";"2010Q2";2010-06-30;"Services";"36728";"6001";5;0,75;0,00373134328358209;-1;-1;NA;-1;-1;-1;-1;0;0;NA;NA;NA;0;0;-1;NA
"751";"2010Q3";2010-09-30;"Services";"36728";"6001";5;0,75;0,00367647058823529;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"761";"2010Q4";2010-12-31;"Services";"36728";"6001";5;0,75;0,00342465753424658;-1;0;NA;-1;0;-1;0;-1;0;NA;NA;NA;-1;-1;-1;NA
"771";"2011Q1";2011-03-31;"Services";"36728";"6001";5;0,75;0,0038265306122449;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"78";"2011Q2";2011-06-30;"Services";"36728";"6001";5;0,75;0,00454545454545455;-1;0;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"79";"2011Q3";2011-09-30;"Services";"36728";"6001";5;0,75;0,00428571428571429;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"801";"2011Q4";2011-12-31;"Services";"36728";"6001";5;0,75;0,00378787878787879;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;1;0;NA
"86";"2013Q2";2013-06-30;"Services";"36728";"6001";5;0,75;0,00503355704697987;-1;-1;-1;-1;0;-1;0;-1;0;NA;NA;0;-1;-1;-1;NA
"601";"2006Q4";2006-12-31;"Services";"36968";"6001";7;1,05;0,00897435897435898;1;1;NA;1;1;1;0;1;1;NA;NA;NA;0;1;0;NA
"64";"2007Q4";2007-12-31;"Services";"36968";"6001";7;1,05;0,00322085889570552;1;1;NA;1;0;1;0;1;0;NA;NA;NA;1;1;1;NA
"65";"2008Q1";2008-03-31;"Services";"36968";"6001";7;1,05;0,00535714285714286;1;0;NA;1;0;1;0;1;0;NA;NA;NA;1;1;1;NA
"661";"2008Q2";2008-06-30;"Services";"36968";"6001";7;1,05;0,00481651376146789;1;0;NA;1;0;1;0;1;0;NA;NA;NA;1;0;1;NA
"691";"2009Q1";2009-03-31;"Services";"36968";"6001";4;0,6;0,00397350993377483;-1;1;NA;0;-1;0;-1;0;-1;NA;NA;NA;1;0;0;NA
"701";"2009Q2";2009-06-30;"Services";"36968";"6001";4;0,6;0,00384615384615385;1;0;NA;0;0;-1;0;-1;0;NA;NA;NA;-1;0;-1;NA
"711";"2009Q3";2009-09-30;"Services";"36968";"6001";4;0,6;0,0027906976744186;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"722";"2009Q4";2009-12-31;"Services";"36968";"6001";4;0,6;0,00297029702970297;-1;0;NA;-1;-1;-1;0;-1;-1;NA;NA;NA;0;0;0;NA
"541";"2005Q2";2005-06-30;"Services";"36850";"6001";5;0,75;0,00652173913043478;-1;-1;NA;-1;1;0;0;-1;1;NA;NA;NA;-1;0;-2;NA
"611";"2007Q1";2007-03-31;"Services";"36850";"6001";5;0,75;0,00614754098360656;1;0;NA;1;0;0;0;0;0;NA;NA;NA;0;0;-1;NA
"712";"2009Q3";2009-09-30;"Services";"36850";"6001";5;0,75;0,00348837209302326;-1;1;NA;-1;1;0;0;-1;-1;NA;NA;NA;0;1;2;NA
"542";"2005Q2";2005-06-30;"Services";"36396";"6001";5;0,75;0,00652173913043478;1;-1;NA;0;-1;-1;0;-1;0;NA;NA;NA;1;0;-1;NA
"57";"2006Q1";2006-03-31;"Services";"36396";"6001";5;0,75;0,0110294117647059;1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;1;0;1;NA
"58";"2006Q2";2006-06-30;"Services";"36396";"6001";5;0,75;0,0120967741935484;1;1;NA;0;1;0;1;0;1;NA;NA;NA;-1;-2;-1;NA
"612";"2007Q1";2007-03-31;"Services";"36396";"6001";5;0,75;0,00614754098360656;1;-1;NA;0;-1;1;-1;0;-1;NA;NA;NA;1;0;1;NA
"621";"2007Q2";2007-06-30;"Services";"36396";"6001";5;0,75;0,0077319587628866;-1;0;NA;0;1;-1;1;0;1;NA;NA;NA;-1;-2;-1;NA
"631";"2007Q3";2007-09-30;"Services";"36396";"6001";5;0,75;0,00892857142857143;-1;-1;NA;0;1;-1;0;0;1;NA;NA;NA;-1;-1;-1;NA
"641";"2007Q4";2007-12-31;"Services";"36396";"6001";5;0,75;0,00230061349693252;1;-1;NA;0;0;-1;-1;0;0;NA;NA;NA;1;1;0;NA
"651";"2008Q1";2008-03-31;"Services";"36396";"6001";5;0,75;0,0038265306122449;1;1;NA;1;-1;0;0;0;-1;NA;NA;NA;0;-1;0;NA
"662";"2008Q2";2008-06-30;"Services";"36396";"6001";5;0,75;0,00344036697247706;NA;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"67";"2008Q3";2008-09-30;"Services";"36396";"6001";5;0,75;0,00405405405405405;-1;-1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-2;-2;-2;NA
"681";"2008Q4";2008-12-31;"Services";"36396";"6001";5;0,75;0,00443786982248521;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"692";"2009Q1";2009-03-31;"Services";"36396";"6001";5;0,75;0,00496688741721854;-1;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"702";"2009Q2";2009-06-30;"Services";"36396";"6001";5;0,75;0,00480769230769231;-1;0;NA;-1;1;-1;1;-1;1;NA;NA;NA;0;-2;-2;NA
"713";"2009Q3";2009-09-30;"Services";"36396";"6001";5;0,75;0,00348837209302326;1;1;NA;1;1;-1;1;-1;-1;NA;NA;NA;-1;-2;1;NA
"723";"2009Q4";2009-12-31;"Services";"36396";"6001";5;0,75;0,00371287128712871;1;1;NA;0;0;-1;-1;0;0;NA;NA;NA;-1;0;-1;NA
"732";"2010Q1";2010-03-31;"Services";"36396";"6001";5;0,75;0,00345622119815668;1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"742";"2010Q2";2010-06-30;"Services";"36396";"6001";5;0,75;0,00373134328358209;-1;1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-2;-2;-2;NA
"752";"2010Q3";2010-09-30;"Services";"36396";"6001";5;0,75;0,00367647058823529;1;0;NA;-1;0;-1;1;-1;-1;NA;NA;NA;-1;-2;0;NA
"762";"2010Q4";2010-12-31;"Services";"36396";"6001";5;0,75;0,00342465753424658;-1;0;NA;-1;0;-1;0;-1;-1;NA;NA;NA;-1;-1;0;NA
"772";"2011Q1";2011-03-31;"Services";"36396";"6001";5;0,75;0,0038265306122449;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"781";"2011Q2";2011-06-30;"Services";"36396";"6001";5;0,75;0,00454545454545455;-1;1;NA;-1;0;-1;1;-1;-1;NA;NA;NA;-1;-2;0;NA
"791";"2011Q3";2011-09-30;"Services";"36396";"6001";5;0,75;0,00428571428571429;-1;1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-1;-2;-2;NA
"802";"2011Q4";2011-12-31;"Services";"36396";"6001";5;0,75;0,00378787878787879;-1;0;NA;0;0;-1;0;-1;-1;NA;NA;NA;1;-1;1;NA
"811";"2012Q1";2012-03-31;"Services";"36396";"6001";5;0,75;0,00490196078431373;1;-1;NA;1;-1;-1;-1;0;-1;NA;NA;NA;0;0;0;NA
"821";"2012Q2";2012-06-30;"Services";"36396";"6001";5;0,75;0,00506756756756757;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;1;0;0;NA
"85";"2013Q1";2013-03-31;"Services";"36396";"6001";5;0,75;0,00551470588235294;1;NA;-1;0;-1;0;-1;-1;-1;NA;NA;0;0;0;0;NA
"88";"2013Q4";2013-12-31;"Services";"36396";"6001";5;0,75;0,00528169014084507;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"89";"2014Q1";2014-03-31;"Services";"36396";"6001";5;0,75;0,00576923076923077;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"90";"2014Q2";2014-06-30;"Services";"36396";"6001";5;0,75;0,0136363636363636;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"91";"2014Q3";2014-09-30;"Services";"36396";"6001";5;0,75;0,00635593220338983;-1;-1;1;-1;1;-1;1;-1;1;NA;NA;-1;-1;-2;-2;NA
"92";"2014Q4";2014-12-31;"Services";"36396";"6001";5;0,75;0,0056390977443609;1;0;NA;0;0;-1;0;-1;0;NA;NA;NA;1;0;-1;NA
"543";"2005Q2";2005-06-30;"Services";"36583";"6001";7;1,05;0,0091304347826087;1;-1;NA;1;0;1;0;1;0;NA;NA;NA;1;0;0;NA
"693";"2009Q1";2009-03-31;"Services";"36583";"6001";7;1,05;0,00695364238410596;1;0;NA;-1;0;0;0;-1;0;NA;NA;NA;0;-1;-1;NA
