Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7,Q8,Q9,Q10,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
01,15527,7110,7,100,15Q3,1,1,,1,,1,,1,,1,,3,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
05,15528,8150,5,100,15Q3,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
01,15529,7060,3,100,15Q3,2,3,3,3,3,2,2,3,3,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
01,15530,8000,9,100,15Q3,1,1,1,1,2,1,2,1,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
06,15531,7060,9,100,15Q3,2,3,2,3,2,3,2,3,2,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
06,15532,7060,8,100,15Q3,2,3,,3,,3,,3,,1,,1,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
05,15533,7090,7,100,15Q3,2,3,1,3,1,3,2,3,1,3,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
06,15555,7080,8,100,15Q3,2,3,3,3,3,3,2,3,3,1,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
05,15559,7060,4,100,15Q3,2,3,2,3,,2,2,,,1,2,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
06,15571,7060,5,100,15Q3,2,2,2,3,2,2,2,3,2,3,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
05,15550,7060,6,100,15Q3,2,2,,2,,2,,2,,2,,1,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
06,15560,7060,7,100,15Q3,1,3,2,3,2,2,2,3,2,3,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
04,15561,7090,9,100,15Q3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
03,15562,7090,7,100,15Q3,2,3,2,3,2,3,2,3,2,3,2,1,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
05,15563,8090,4,100,15Q3,2,,,2,2,3,1,3,3,1,2,3,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
01,15564,8090,5,100,15Q3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
06,15565,8090,5,100,15Q3,2,1,2,1,1,3,3,1,1,2,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
06,15566,8000,5,100,15Q3,2,3,3,2,1,2,2,2,3,2,2,3,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
02,15567,8090,6,100,15Q3,1,2,2,1,2,1,2,2,2,2,2,2,1,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
05,15568,7090,3,100,15Q3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
05,15569,7060,8,100,15Q3,1,2,3,2,3,2,2,2,2,1,1,2,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE
01,15570,7060,5,100,15Q3,2,2,2,3,3,3,3,3,3,3,3,1,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
02,15572,8150,9,100,15Q3,2,3,3,3,3,2,3,3,3,3,3,1,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
05,15573,7090,5,100,15Q3,2,3,,3,,2,,3,,2,,1,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
06,15574,8000,6,100,15Q3,1,2,3,2,2,2,2,2,2,2,2,2,1,1,3,FALSE,FALSE,FALSE,FALSE,FALSE
06,15575,7080,4,100,15Q3,1,1,2,1,2,2,2,1,2,1,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
02,36497,8120,6,100,15Q3,1,2,2,1,2,3,2,1,2,1,1,2,1,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
06,36946,7000,5,100,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
