Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7,Total_Q8,Total_Q9,Total_Q10,Total_N,Accom_Q1,Accom_Q2A,Accom_Q3A,Accom_Q4A,Accom_Q5A,Accom_Q6A,Accom_Q7,Accom_Q8,Accom_Q9,Accom_Q10,Accom_N,Trans_Q1,Trans_Q2A,Trans_Q3A,Trans_Q4A,Trans_Q5A,Trans_Q6A,Trans_Q7,Trans_Q8,Trans_Q9,Trans_Q10,Trans_N,RE_Q1,RE_Q2A,RE_Q3A,RE_Q4A,RE_Q5A,RE_Q6A,RE_Q7,RE_Q8,RE_Q9,RE_Q10,RE_N,BS_Q1,BS_Q2A,BS_Q3A,BS_Q4A,BS_Q5A,BS_Q6A,BS_Q7,BS_Q8,BS_Q9,BS_Q10,BS_N,PS_Q1,PS_Q2A,PS_Q3A,PS_Q4A,PS_Q5A,PS_Q6A,PS_Q7,PS_Q8,PS_Q9,PS_Q10,PS_N,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7,GP_Q8,GP_Q9,GP_Q10,GP_N,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7,WC_Q8,WC_Q9,WC_Q10,WC_N,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7,KZN_Q8,KZN_Q9,KZN_Q10,KZN_N,,
2005/06/30,82,-26,34,20,14,21,34,23,15,27,354,78,-7,2,10,-23,22,45,5,10,28,22,85,-39,42,8,26,4,35,21,23,29,65,89,-7,22,21,18,44,37,17,20,35,56,82,-29,37,23,13,19,30,28,11,23,194,62,-35,35,12,6,19,43,13,18,33,17,79,-24,33,16,9,15,36,23,13,28,188,88,-31,37,23,19,35,30,24,16,21,81,82,-20,30,26,26,22,33,23,24,31,45,,
2005/09/30,81,-29,26,17,7,21,32,21,14,26,325,63,-45,-11,-13,-40,21,51,9,13,40,22,72,-18,18,-4,20,20,40,16,24,30,57,78,-21,-16,15,-4,32,39,12,17,35,50,87,-31,46,26,15,19,25,27,10,21,181,73,-15,20,33,-22,47,43,13,13,31,15,79,-33,30,9,8,16,32,21,13,28,158,82,-38,33,28,21,32,30,21,16,25,76,87,-19,20,29,0,32,34,23,16,29,47,,
2005/12/31,82,-13,30,21,5,15,33,25,13,26,340,84,-39,11,17,-17,19,45,14,11,26,18,83,-11,36,23,12,1,39,16,19,28,55,81,7,9,10,5,18,38,21,14,30,47,85,-16,40,23,9,15,27,30,11,22,200,50,-15,-5,22,-21,26,46,18,15,33,20,83,-14,36,19,9,10,34,25,12,27,179,82,-19,22,32,6,17,29,22,14,23,68,84,-9,27,16,-9,14,35,28,20,31,45,,
2006/03/31,83,-29,32,24,12,19,29,24,16,27,384,79,-28,7,7,-7,16,46,13,13,31,21,77,-28,29,25,0,11,37,19,22,32,81,82,-38,13,14,-2,36,34,14,17,28,45,89,-30,41,28,23,17,23,30,14,23,203,56,6,11,29,0,11,47,16,18,37,21,82,-30,38,30,14,17,30,25,13,27,193,88,-23,28,14,12,28,28,22,16,22,80,82,-41,30,35,5,8,28,23,24,32,63,,
2006/06/30,86,-21,27,18,7,13,30,27,13,27,289,75,-16,-5,10,-20,10,60,21,17,45,14,79,-24,27,22,6,21,32,21,21,30,62,74,-23,-15,0,13,-7,31,24,18,25,35,93,-24,42,22,15,-7,25,31,9,24,166,75,25,8,18,-8,9,42,19,11,33,12,86,-25,30,25,9,17,30,27,13,26,150,88,-14,36,2,13,11,32,26,14,21,58,84,-20,16,20,-9,0,32,30,16,32,37,,
2006/09/30,84,-23,30,20,8,21,29,26,14,26,342,79,-47,40,0,9,-1,43,15,18,42,45,76,-8,26,15,-6,13,41,22,22,32,65,80,-15,13,7,-16,0,35,21,12,30,41,90,-22,35,24,15,26,21,32,10,20,180,55,20,-18,10,-40,14,47,23,18,33,11,85,-20,31,16,3,21,28,29,13,24,169,85,-29,26,20,10,26,31,23,14,27,87,81,-20,39,25,10,13,37,23,20,29,41,,
2006/12/31,85,-19,35,20,9,19,29,28,17,27,330,87,-44,32,21,19,59,40,15,22,29,33,84,-25,42,18,17,17,32,18,26,31,69,92,10,2,11,-10,14,37,23,16,30,39,86,-14,38,21,7,14,23,35,13,23,177,58,-17,17,8,-17,27,36,17,15,36,12,86,-14,40,19,8,13,29,29,16,27,161,84,-31,45,26,27,28,29,25,17,26,76,87,-25,20,16,-2,18,30,31,27,30,45,,
2007/03/31,85,-23,27,26,2,30,26,30,16,26,322,55,-14,-4,3,-24,22,48,7,22,43,25,85,-18,33,27,-4,33,31,24,23,27,61,94,-17,9,3,0,27,32,29,12,34,35,89,-25,31,30,8,30,19,36,14,22,186,47,15,-27,14,-50,23,54,10,18,38,15,87,-28,31,27,3,29,25,32,16,27,169,83,-15,30,29,-2,33,20,33,30,20,65,87,-26,17,20,5,26,25,27,20,26,47,,
2007/06/30,84,-13,23,17,-4,29,27,29,17,24,287,68,-5,5,-10,-10,45,44,15,17,27,22,82,-33,32,25,0,37,39,24,29,32,40,81,-12,-6,3,-20,27,26,30,22,29,34,91,-18,36,21,5,24,20,33,13,21,156,45,45,-9,9,-50,40,39,27,4,26,11,89,-21,23,20,1,28,26,29,19,24,145,76,-9,18,9,-1,31,32,29,15,21,63,84,-3,30,19,0,24,30,26,20,29,43,,
2007/09/30,80,-2,17,12,-6,19,29,28,15,27,268,59,-41,29,0,13,34,43,16,18,31,17,82,-26,21,25,12,49,39,27,27,33,34,76,12,-9,-9,-18,17,30,24,17,35,33,85,3,26,18,-1,14,21,33,10,23,148,42,34,-33,30,-64,10,50,11,14,36,12,82,5,12,16,-9,17,28,27,15,30,135,77,-14,28,8,3,28,33,30,19,25,65,83,-15,25,8,9,29,24,31,19,24,35,,
