"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"60";2006-12-31;0,5;NA;0;-1;-1;NA
"63";2007-09-30;0,5;NA;0;-1;0;NA
"64";2007-12-31;0,5;NA;1;1;1;NA
"65";2008-03-31;0,5;NA;-1;0;0;NA
"66";2008-06-30;0,5;NA;0;-2;0;NA
"67";2008-09-30;0,5;NA;1;0;1;NA
"68";2008-12-31;0,5;NA;1;0;-1;NA
"69";2009-03-31;0,5;NA;1;-1;0;NA
"70";2009-06-30;0,5;NA;0;0;0;NA
"73";2010-03-31;0,5;NA;0;0;0;NA
"74";2010-06-30;0,5;NA;2;0;2;NA
"75";2010-09-30;0,5;NA;-1;1;0;NA
"76";2010-12-31;0,5;NA;0;1;0;NA
"77";2011-03-31;0,5;NA;1;1;0;NA
"80";2011-12-31;0,5;NA;-1;-1;0;NA
"81";2012-03-31;0,5;NA;0;1;-1;NA
"82";2012-06-30;0,5;NA;-1;2;0;NA
"83";2012-09-30;0,5;1;2;1;0;NA
"761";2010-12-31;0,5;NA;-1;0;-1;NA
"85";2013-03-31;0,5;0;0;0;0;NA
"89";2014-03-31;0,5;0;0;0;0;NA
"90";2014-06-30;0,5;0;0;0;0;NA
"91";2014-09-30;0,5;0;-1;0;0;NA
"92";2014-12-31;0,5;0;1;0;0;NA
"93";2015-03-31;0,5;0;0;0;0;NA
"641";2007-12-31;0,4;NA;0;0;-1;NA
"651";2008-03-31;0,4;NA;0;0;0;NA
"661";2008-06-30;0,4;NA;0;0;0;NA
"671";2008-09-30;0,4;NA;0;0;0;NA
"681";2008-12-31;0,4;NA;1;0;0;NA
"691";2009-03-31;0,4;NA;-1;0;0;NA
"701";2009-06-30;0,4;NA;-1;0;0;NA
"71";2009-09-30;0,4;NA;0;0;0;NA
"72";2009-12-31;0,4;NA;0;0;0;NA
"731";2010-03-31;0,4;NA;-1;0;0;NA
"741";2010-06-30;0,4;NA;-1;0;-2;NA
"751";2010-09-30;0,4;NA;0;0;0;NA
"762";2010-12-31;0,4;NA;-1;0;0;NA
"771";2011-03-31;0,4;NA;0;0;0;NA
"78";2011-06-30;0,4;NA;0;0;0;NA
"79";2011-09-30;0,4;NA;-1;0;0;NA
"801";2011-12-31;0,4;NA;-1;0;0;NA
"811";2012-03-31;0,4;NA;0;0;0;NA
"821";2012-06-30;0,4;NA;0;0;0;NA
"831";2012-09-30;0,4;0;0;0;0;NA
"84";2012-12-31;0,4;1;1;0;0;NA
"851";2013-03-31;0,4;0;0;0;0;NA
"901";2014-06-30;0,4;NA;0;0;0;NA
"57";2006-03-31;0,7;NA;0;-1;0;NA
"58";2006-06-30;0,7;NA;0;1;0;NA
"59";2006-09-30;0,7;NA;0;0;-1;NA
"601";2006-12-31;0,7;NA;0;0;-1;NA
"61";2007-03-31;0,7;NA;0;1;1;NA
"62";2007-06-30;0,7;NA;0;0;0;NA
"631";2007-09-30;0,7;NA;0;0;-1;NA
"642";2007-12-31;0,7;NA;-1;-1;-2;NA
"652";2008-03-31;0,7;NA;1;1;1;NA
"662";2008-06-30;0,7;NA;0;0;1;NA
"672";2008-09-30;0,7;NA;0;1;-1;NA
"682";2008-12-31;0,7;NA;0;0;-1;NA
"692";2009-03-31;0,7;NA;1;0;0;NA
"702";2009-06-30;0,7;NA;1;1;1;NA
"711";2009-09-30;0,7;NA;0;0;0;NA
"721";2009-12-31;0,7;NA;0;0;-1;NA
"732";2010-03-31;0,7;NA;0;-1;1;NA
"742";2010-06-30;0,7;NA;-1;0;-1;NA
"752";2010-09-30;0,7;NA;0;NA;NA;NA
"763";2010-12-31;0,7;NA;0;-2;0;NA
"772";2011-03-31;0,7;NA;0;0;0;NA
"791";2011-09-30;0,7;NA;0;0;0;NA
"802";2011-12-31;0,7;NA;0;0;0;NA
"812";2012-03-31;0,7;NA;0;-2;0;NA
"832";2012-09-30;0,7;NA;0;0;-1;NA
"841";2012-12-31;0,7;NA;0;-1;0;NA
"852";2013-03-31;0,7;0;0;1;0;NA
"86";2013-06-30;0,7;NA;1;1;0;NA
"88";2013-12-31;0,7;NA;0;0;0;NA
"891";2014-03-31;0,7;NA;0;0;0;NA
"54";2005-06-30;0,6;NA;0;0;1;NA
"571";2006-03-31;0,6;NA;0;0;0;NA
"581";2006-06-30;0,6;NA;-1;-1;0;NA
"591";2006-09-30;0,6;NA;0;0;0;NA
"602";2006-12-31;0,6;NA;0;1;0;NA
"611";2007-03-31;0,6;NA;0;0;0;NA
"621";2007-06-30;0,6;NA;-1;0;0;NA
"632";2007-09-30;0,6;NA;0;0;0;NA
"643";2007-12-31;0,7;NA;-2;0;0;NA
"653";2008-03-31;0,7;NA;0;0;0;NA
"663";2008-06-30;0,7;NA;1;0;0;NA
"673";2008-09-30;0,7;NA;0;0;0;NA
"703";2009-06-30;0,7;NA;0;0;0;NA
"712";2009-09-30;0,7;NA;-1;0;0;NA
"722";2009-12-31;0,7;NA;1;0;0;NA
"733";2010-03-31;0,7;NA;-2;0;1;NA
"743";2010-06-30;0,7;NA;1;0;0;NA
"753";2010-09-30;0,7;NA;0;0;0;NA
"781";2011-06-30;0,7;NA;NA;0;-1;NA
"792";2011-09-30;0,7;NA;-1;0;0;NA
"803";2011-12-31;0,7;NA;1;0;0;NA
"833";2012-09-30;0,7;NA;1;0;1;NA
"842";2012-12-31;0,7;NA;0;0;1;NA
"853";2013-03-31;0,7;0;0;0;0;NA
