"";"Date";"Datum";"Sector";"id";"sector";"weight";"factor";"factorn";"Q1";"Q2A";"Q2P";"Q3A";"Q3P";"Q4A";"Q4P";"Q5A";"Q5P";"Q6A";"Q6P";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"20";"1996Q4";1996-12-31;"Trade";"50017";"2110";8;0,8;0,00963855421686747;-1;1;-1;1;0;-1;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"10";"1994Q2";1994-06-30;"Trade";"50114";"2110";5;0,5;0,00531914893617021;1;1;1;1;1;1;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"11";"1994Q3";1994-09-30;"Trade";"50114";"2110";5;0,5;0,00359712230215827;-1;0;-1;1;0;1;NA;NA;NA;NA;NA;0;-1;NA;NA;NA
"12";"1994Q4";1994-12-31;"Trade";"50114";"2110";5;0,5;0,00320512820512821;-1;-1;-1;-1;0;1;NA;NA;NA;NA;NA;1;0;NA;NA;NA
"13";"1995Q1";1995-03-31;"Trade";"50114";"2110";5;0,5;0,00393700787401575;-1;0;1;0;1;1;NA;NA;NA;NA;NA;-2;-2;NA;NA;NA
"14";"1995Q2";1995-06-30;"Trade";"50114";"2110";5;0,5;0,00515463917525773;-1;-1;-1;-1;-1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"15";"1995Q3";1995-09-30;"Trade";"50114";"2110";5;0,5;0,00892857142857143;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"2";"1992Q2";1992-06-30;"Trade";"50056";"2110";4;0,4;0,00285714285714286;-1;-1;0;-1;0;-1;NA;NA;NA;NA;NA;-1;1;NA;NA;NA
"5";"1993Q1";1993-03-31;"Trade";"50056";"2110";4;0,4;0,00227272727272727;-1;0;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"8";"1993Q4";1993-12-31;"Trade";"50056";"2110";4;0,4;0,00305343511450382;1;1;0;1;0;0;NA;NA;NA;NA;NA;1;0;NA;NA;NA
"9";"1994Q1";1994-03-31;"Trade";"50056";"2110";4;0,4;0,0048780487804878;1;1;1;0;1;0;NA;NA;NA;NA;NA;-2;-2;NA;NA;NA
"101";"1994Q2";1994-06-30;"Trade";"50056";"2110";4;0,4;0,00425531914893617;1;-1;0;-1;0;0;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"111";"1994Q3";1994-09-30;"Trade";"50056";"2110";4;0,4;0,00287769784172662;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"121";"1994Q4";1994-12-31;"Trade";"50056";"2110";4;0,4;0,00256410256410256;1;1;0;1;0;0;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"131";"1995Q1";1995-03-31;"Trade";"50056";"2110";4;0,4;0,0031496062992126;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"141";"1995Q2";1995-06-30;"Trade";"50056";"2110";4;0,4;0,00412371134020619;1;1;1;1;1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"151";"1995Q3";1995-09-30;"Trade";"50056";"2110";4;0,4;0,00714285714285714;1;0;0;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"16";"1995Q4";1995-12-31;"Trade";"50056";"2110";4;0,4;0,00388349514563107;1;0;0;1;0;0;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"19";"1996Q3";1996-09-30;"Trade";"50056";"2110";4;0,4;0,00506329113924051;1;1;0;1;1;0;NA;NA;NA;NA;NA;1;0;NA;NA;NA
"201";"1996Q4";1996-12-31;"Trade";"50056";"2110";4;0,4;0,00481927710843374;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"21";"1997Q1";1997-03-31;"Trade";"50056";"2110";4;0,4;0,00404040404040404;1;1;0;1;0;0;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"22";"1997Q2";1997-06-30;"Trade";"50056";"2110";4;0,4;0,00421052631578947;1;1;1;1;1;0;NA;NA;NA;NA;NA;-1;-2;NA;NA;NA
"23";"1997Q3";1997-09-30;"Trade";"50056";"2110";4;0,4;0,00380952380952381;1;0;0;-1;0;0;NA;NA;NA;NA;NA;-1;-1;NA;NA;NA
"24";"1997Q4";1997-12-31;"Trade";"50056";"2110";4;0,4;0,00481927710843374;-1;-1;-1;-1;-1;0;NA;NA;NA;NA;NA;1;2;NA;NA;NA
"25";"1998Q1";1998-03-31;"Trade";"50056";"2110";4;0,4;0,00506329113924051;-1;0;1;1;1;0;NA;NA;NA;NA;NA;-2;-2;NA;NA;NA
"26";"1998Q2";1998-06-30;"Trade";"50056";"2110";4;0,4;0,00606060606060606;-1;-1;0;-1;0;0;NA;NA;NA;NA;NA;-1;-1;NA;NA;NA
"27";"1998Q3";1998-09-30;"Trade";"50056";"2110";3;0,497142858;0,00776785715625;-1;-1;-1;-1;-1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"28";"1998Q4";1998-12-31;"Trade";"50056";"2110";3;0,497142858;0,006214285725;-1;-1;-1;-1;-1;0;NA;NA;NA;NA;NA;0;1;NA;NA;NA
"29";"1999Q1";1999-03-31;"Trade";"50056";"2110";3;0,497142858;0,00371002132835821;-1;-1;0;0;0;0;NA;NA;NA;NA;NA;-1;-1;NA;NA;NA
"30";"1999Q2";1999-06-30;"Trade";"50056";"2110";3;0,497142858;0,00260284218848168;-1;-1;-1;-1;-1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"33";"2000Q1";2000-03-31;"Trade";"50056";"2110";3;0,497142858;0,00214285714655172;1;1;1;0;1;0;NA;NA;NA;NA;NA;0;-1;NA;NA;NA
"34";"2000Q2";2000-06-30;"Trade";"50056";"2110";3;0,497142858;0,00214285714655172;1;1;1;0;1;0;NA;NA;NA;NA;NA;-1;-2;NA;NA;NA
"35";"2000Q3";2000-09-30;"Trade";"50056";"2110";3;0,497142858;0,00279293740449438;-1;0;0;-1;1;0;NA;NA;NA;NA;NA;0;-1;NA;NA;NA
"36";"2000Q4";2000-12-31;"Trade";"50056";"2110";3;0,497142858;0,00221938775892857;1;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"37";"2001Q1";2001-03-31;"Trade";"50056";"2110";3;0,497142858;0,00360248447826087;-1;0;1;0;1;0;NA;NA;NA;NA;NA;-2;-2;NA;NA;NA
"38";"2001Q2";2001-06-30;"Trade";"50056";"2110";3;0,510000024;0,0028651686741573;1;-1;1;-1;0;0;0;-1;NA;NA;NA;0;1;0;NA;NA
"39";"2001Q3";2001-09-30;"Trade";"50056";"2110";3;0,510000024;0,00275675688648649;1;1;1;1;1;0;0;1;NA;NA;NA;-1;-1;0;NA;NA
"40";"2001Q4";2001-12-31;"Trade";"50056";"2110";3;0,510000024;0,00250000011764706;1;0;1;0;1;0;0;1;NA;NA;NA;0;0;0;NA;NA
"41";"2002Q1";2002-03-31;"Trade";"50056";"2110";3;0,510000024;0,00301775162130178;1;1;1;1;1;0;0;1;NA;NA;NA;0;0;0;NA;NA
"42";"2002Q2";2002-06-30;"Trade";"50056";"2110";3;0,510000024;0,0031481482962963;1;1;1;1;1;0;0;1;NA;NA;NA;0;0;0;NA;NA
"43";"2002Q3";2002-09-30;"Trade";"50056";"2110";3;0,510000024;0,00252475259405941;1;1;1;1;1;0;0;1;NA;NA;NA;0;0;0;NA;NA
"44";"2002Q4";2002-12-31;"Trade";"50056";"2110";3;0,510000024;0,00258883260913706;1;1;1;1;1;0;0;1;NA;NA;NA;-1;-1;0;NA;NA
"210";"1992Q2";1992-06-30;"Trade";"50015";"2110";1;0,1;0,000714285714285714;-1;-1;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"112";"1994Q3";1994-09-30;"Trade";"50050";"2110";4;0,4;0,00287769784172662;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"211";"1992Q2";1992-06-30;"Trade";"50121";"2110";9;0,9;0,00642857142857143;1;1;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"102";"1994Q2";1994-06-30;"Trade";"50121";"2110";9;0,9;0,00957446808510638;1;0;1;1;1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"113";"1994Q3";1994-09-30;"Trade";"50121";"2110";9;0,9;0,00647482014388489;1;0;0;1;0;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"17";"1996Q1";1996-03-31;"Trade";"50038";"2110";4;0,4;0,00519480519480519;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"212";"1992Q2";1992-06-30;"Trade";"50040";"2110";7;0,7;0,005;-1;-1;-1;-1;0;-1;NA;NA;NA;NA;NA;0;-1;NA;NA;NA
"51";"1993Q1";1993-03-31;"Trade";"50040";"2110";7;0,7;0,00397727272727273;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"18";"1996Q2";1996-06-30;"Trade";"50040";"2110";7;0,7;0,00660377358490566;-1;0;0;-1;-1;1;NA;NA;NA;NA;NA;0;1;NA;NA;NA
"213";"1992Q2";1992-06-30;"Trade";"50095";"2110";2;0,2;0,00142857142857143;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"52";"1993Q1";1993-03-31;"Trade";"50095";"2110";2;0,2;0,00113636363636364;1;0;1;0;1;0;NA;NA;NA;NA;NA;0;-1;NA;NA;NA
"114";"1994Q3";1994-09-30;"Trade";"50095";"2110";2;0,2;0,00143884892086331;1;1;0;1;1;0;NA;NA;NA;NA;NA;1;0;NA;NA;NA
"122";"1994Q4";1994-12-31;"Trade";"50095";"2110";2;0,2;0,00128205128205128;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"171";"1996Q1";1996-03-31;"Trade";"50095";"2110";2;0,2;0,0025974025974026;1;1;1;1;1;1;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"181";"1996Q2";1996-06-30;"Trade";"50095";"2110";2;0,2;0,00188679245283019;-1;0;0;1;0;1;NA;NA;NA;NA;NA;0;1;NA;NA;NA
"191";"1996Q3";1996-09-30;"Trade";"50095";"2110";2;0,2;0,00253164556962025;1;0;1;1;1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"202";"1996Q4";1996-12-31;"Trade";"50095";"2110";2;0,2;0,00240963855421687;1;0;0;1;0;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"214";"1997Q1";1997-03-31;"Trade";"50095";"2110";2;0,2;0,00202020202020202;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"301";"1999Q2";1999-06-30;"Trade";"50095";"2110";2;0,333333334;0,00174520070157068;-1;0;0;-1;-1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"53";"1993Q1";1993-03-31;"Trade";"50104";"2110";6;0,6;0,00340909090909091;1;1;0;1;0;0;NA;NA;NA;NA;NA;1;0;NA;NA;NA
"115";"1994Q3";1994-09-30;"Trade";"50104";"2110";6;0,6;0,00431654676258993;-1;0;0;0;0;-1;NA;NA;NA;NA;NA;1;1;NA;NA;NA
"123";"1994Q4";1994-12-31;"Trade";"50104";"2110";6;0,6;0,00384615384615385;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"132";"1995Q1";1995-03-31;"Trade";"50104";"2110";6;0,6;0,0047244094488189;1;1;1;1;1;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"142";"1995Q2";1995-06-30;"Trade";"50104";"2110";6;0,6;0,00618556701030928;1;1;1;1;1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"215";"1997Q1";1997-03-31;"Trade";"50104";"2110";6;0,6;0,00606060606060606;-1;-1;1;-1;1;0;NA;NA;NA;NA;NA;-2;-1;NA;NA;NA
"221";"1997Q2";1997-06-30;"Trade";"50104";"2110";6;0,6;0,00631578947368421;-1;-1;-1;0;-1;1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"231";"1997Q3";1997-09-30;"Trade";"50104";"2110";6;0,6;0,00571428571428572;-1;-1;-1;-1;-1;1;NA;NA;NA;NA;NA;0;2;NA;NA;NA
"241";"1997Q4";1997-12-31;"Trade";"50104";"2110";6;0,6;0,0072289156626506;-1;-1;-1;1;-1;1;NA;NA;NA;NA;NA;1;2;NA;NA;NA
"251";"1998Q1";1998-03-31;"Trade";"50104";"2110";6;0,6;0,00759493670886076;1;0;0;1;-1;0;NA;NA;NA;NA;NA;-1;0;NA;NA;NA
"261";"1998Q2";1998-06-30;"Trade";"50104";"2110";6;0,6;0,00909090909090909;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"271";"1998Q3";1998-09-30;"Trade";"50104";"2110";6;0,996;0,0155625;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"281";"1998Q4";1998-12-31;"Trade";"50104";"2110";6;0,996;0,01245;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"291";"1999Q1";1999-03-31;"Trade";"50104";"2110";6;0,996;0,00743283582089552;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
"302";"1999Q2";1999-06-30;"Trade";"50104";"2110";6;0,996;0,00521465968586387;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;0;0;NA;NA;NA
