"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"73";2010-03-31;0,2;0;0;0;NA;NA
"74";2010-06-30;0,2;0;0;0;NA;NA
"75";2010-09-30;0,2;-1;-1;-1;NA;NA
"76";2010-12-31;0,2;-1;-1;0;NA;NA
"77";2011-03-31;0,2;0;0;0;NA;NA
"78";2011-06-30;0,2;-1;-1;-1;NA;NA
"79";2011-09-30;0,2;-1;2;1;NA;NA
"80";2011-12-31;0,2;1;1;0;NA;NA
"83";2012-09-30;0,2;0;1;0;NA;NA
"84";2012-12-31;0,2;1;1;0;NA;NA
"85";2013-03-31;0,2;0;0;-1;NA;NA
"86";2013-06-30;0,2;1;1;0;NA;NA
"87";2013-09-30;0,2;NA;-1;0;NA;NA
"88";2013-12-31;0,2;0;1;0;NA;NA
"89";2014-03-31;0,2;-1;0;0;NA;NA
"90";2014-06-30;0,2;1;0;0;NA;NA
"91";2014-09-30;0,2;-1;0;-1;NA;NA
"92";2014-12-31;0,2;0;0;0;NA;NA
"68";2008-12-31;0,2;-1;0;-1;NA;NA
"69";2009-03-31;0,2;-1;0;-1;NA;NA
"731";2010-03-31;0,2;-1;1;1;NA;NA
"741";2010-06-30;0,2;-1;0;0;NA;NA
"791";2011-09-30;0,2;1;1;0;NA;NA
"81";2012-03-31;0,2;-2;-2;-1;NA;NA
"831";2012-09-30;0,2;-2;-2;-1;NA;NA
"841";2012-12-31;0,2;0;-1;-1;NA;NA
"871";2013-09-30;0,2;-1;-1;-1;NA;NA
"881";2013-12-31;0,2;1;-1;0;NA;NA
"891";2014-03-31;0,2;NA;1;0;NA;NA
"93";2015-03-31;0,2;0;0;0;NA;NA
"691";2009-03-31;0,2;-1;0;0;NA;NA
"70";2009-06-30;0,2;-1;1;2;NA;NA
"71";2009-09-30;0,2;0;1;0;NA;NA
"72";2009-12-31;0,2;0;0;1;NA;NA
"732";2010-03-31;0,2;-1;-1;0;NA;NA
"742";2010-06-30;0,2;-2;-2;-1;NA;NA
"751";2010-09-30;0,2;0;0;0;NA;NA
"761";2010-12-31;0,2;0;0;-1;NA;NA
"792";2011-09-30;0,2;0;1;0;NA;NA
"801";2011-12-31;0,2;0;0;0;NA;NA
"832";2012-09-30;0,2;0;0;-1;NA;NA
"842";2012-12-31;0,2;1;1;0;NA;NA
"851";2013-03-31;0,2;1;1;0;NA;NA
"861";2013-06-30;0,2;1;0;0;NA;NA
"872";2013-09-30;0,2;0;1;0;NA;NA
"882";2013-12-31;0,2;1;1;0;NA;NA
"892";2014-03-31;0,2;0;1;0;NA;NA
"901";2014-06-30;0,2;0;0;0;NA;NA
"911";2014-09-30;0,2;-1;0;0;NA;NA
"921";2014-12-31;0,2;-1;0;-1;NA;NA
"931";2015-03-31;0,2;0;2;1;NA;NA
"94";2015-06-30;0,2;1;1;1;NA;NA
"733";2010-03-31;0,05;0;0;-1;NA;NA
"82";2012-06-30;0,05;0;0;0;NA;NA
"833";2012-09-30;0,05;0;-1;0;NA;NA
"843";2012-12-31;0,05;NA;-1;0;NA;NA
"852";2013-03-31;0,05;NA;0;-1;NA;NA
"862";2013-06-30;0,05;NA;-1;1;NA;NA
"873";2013-09-30;0,05;NA;-1;0;NA;NA
"883";2013-12-31;0,05;0;1;0;NA;NA
"893";2014-03-31;0,05;-1;0;-1;NA;NA
"902";2014-06-30;0,05;0;-1;-2;NA;NA
"912";2014-09-30;0,05;-1;-1;0;NA;NA
"922";2014-12-31;0,05;0;2;-1;NA;NA
"932";2015-03-31;0,05;NA;0;1;NA;NA
"941";2015-06-30;0,05;NA;0;0;NA;NA
"67";2008-09-30;0,05;0;0;0;NA;NA
"701";2009-06-30;0,05;0;0;0;NA;NA
"711";2009-09-30;0,05;-1;-1;0;NA;NA
"721";2009-12-31;0,05;NA;0;0;NA;NA
"734";2010-03-31;0,05;-1;-1;-1;NA;NA
"743";2010-06-30;0,05;1;1;1;NA;NA
"752";2010-09-30;0,05;0;0;0;NA;NA
"762";2010-12-31;0,05;NA;-1;0;NA;NA
"771";2011-03-31;0,05;0;1;0;NA;NA
"781";2011-06-30;0,05;0;0;0;NA;NA
"793";2011-09-30;0,05;1;1;1;NA;NA
"802";2011-12-31;0,05;NA;0;1;NA;NA
"811";2012-03-31;0,05;NA;-1;0;NA;NA
"821";2012-06-30;0,05;1;1;1;NA;NA
"834";2012-09-30;0,05;0;0;0;NA;NA
"844";2012-12-31;0,05;0;0;-1;NA;NA
"853";2013-03-31;0,05;0;0;1;NA;NA
"863";2013-06-30;0,05;0;1;0;NA;NA
"874";2013-09-30;0,05;NA;-1;0;NA;NA
"884";2013-12-31;0,05;0;0;0;NA;NA
"913";2014-09-30;0,05;2;2;0;NA;NA
"923";2014-12-31;0,05;NA;-1;0;NA;NA
"933";2015-03-31;0,05;NA;-1;0;NA;NA
"942";2015-06-30;0,05;1;1;1;NA;NA
"763";2010-12-31;0,4;1;1;0;NA;NA
"772";2011-03-31;0,4;-2;-2;-1;NA;NA
"782";2011-06-30;0,4;0;0;1;NA;NA
"794";2011-09-30;0,4;1;1;0;NA;NA
"803";2011-12-31;0,4;1;0;0;NA;NA
"812";2012-03-31;0,4;0;1;0;NA;NA
"822";2012-06-30;0,4;NA;1;0;NA;NA
"835";2012-09-30;0,4;0;NA;0;NA;NA
"845";2012-12-31;0,4;0;-1;0;NA;NA
"854";2013-03-31;0,4;-1;-1;0;NA;NA
"864";2013-06-30;0,4;0;0;1;NA;NA
"894";2014-03-31;0,4;0;0;1;NA;NA
"903";2014-06-30;0,4;0;-1;0;NA;NA
"764";2010-12-31;0,25;-2;-1;0;NA;NA
"773";2011-03-31;0,25;1;1;0;NA;NA
"783";2011-06-30;0,25;-2;-2;-1;NA;NA
"795";2011-09-30;0,25;0;0;1;NA;NA
"804";2011-12-31;0,25;0;1;1;NA;NA
"823";2012-06-30;0,25;1;1;0;NA;NA
"846";2012-12-31;0,25;-2;-2;0;NA;NA
"855";2013-03-31;0,25;0;-1;0;NA;NA
"865";2013-06-30;0,25;-1;-1;0;NA;NA
"875";2013-09-30;0,25;0;0;0;NA;NA
"885";2013-12-31;0,25;-1;-2;-1;NA;NA
"895";2014-03-31;0,25;0;0;0;NA;NA
"904";2014-06-30;0,25;-1;-1;-1;NA;NA
"914";2014-09-30;0,25;-1;-1;0;NA;NA
"924";2014-12-31;0,25;0;0;1;NA;NA
"934";2015-03-31;0,25;1;0;NA;NA;NA
"943";2015-06-30;0,25;-1;-1;0;NA;NA
"765";2010-12-31;0,35;0;1;-1;NA;NA
"774";2011-03-31;0,35;-1;-1;-1;NA;NA
"784";2011-06-30;0,35;-1;0;0;NA;NA
"796";2011-09-30;0,35;-1;-2;0;NA;NA
"847";2012-12-31;0,35;-1;0;0;NA;NA
"856";2013-03-31;0,35;1;0;0;NA;NA
"935";2015-03-31;0,35;0;0;NA;NA;NA
"944";2015-06-30;0,35;-1;-1;0;NA;NA
"766";2010-12-31;0,45;0;0;0;NA;NA
"785";2011-06-30;0,05;0;0;0;NA;NA
"797";2011-09-30;0,05;0;0;-1;NA;NA
"805";2011-12-31;0,05;0;1;0;NA;NA
"813";2012-03-31;0,05;0;0;1;NA;NA
"824";2012-06-30;0,05;0;0;2;NA;NA
"836";2012-09-30;0,05;0;0;0;NA;NA
"848";2012-12-31;0,05;NA;0;1;NA;NA
"857";2013-03-31;0,05;-1;-1;-1;NA;NA
"866";2013-06-30;0,05;0;-1;-1;NA;NA
"876";2013-09-30;0,05;0;0;1;NA;NA
"886";2013-12-31;0,05;1;1;1;NA;NA
"915";2014-09-30;0,05;0;0;0;NA;NA
"925";2014-12-31;0,05;0;0;1;NA;NA
"936";2015-03-31;0,05;NA;1;0;NA;NA
"945";2015-06-30;0,05;-1;-1;-1;NA;NA
"786";2011-06-30;0,29;NA;0;1;NA;NA
"814";2012-03-31;0,29;2;1;0;NA;NA
"849";2012-12-31;0,25;0;0;0;NA;NA
"896";2014-03-31;0,25;NA;0;-1;NA;NA
"905";2014-06-30;0,25;-1;-1;0;NA;NA
"937";2015-03-31;0,25;0;0;0;NA;NA
"946";2015-06-30;0,25;NA;0;NA;NA;NA
"806";2011-12-31;1,05;0;0;0;NA;NA
"815";2012-03-31;1,05;0;0;-1;NA;NA
"8410";2012-12-31;1,05;0;0;1;NA;NA
"858";2013-03-31;1,05;1;0;1;NA;NA
"867";2013-06-30;1,05;NA;0;0;NA;NA
"887";2013-12-31;1,05;NA;0;0;NA;NA
"897";2014-03-31;1,05;NA;-1;0;NA;NA
"906";2014-06-30;1,05;NA;-2;0;NA;NA
"916";2014-09-30;1,05;-1;-1;0;NA;NA
"926";2014-12-31;1,05;0;0;1;NA;NA
"787";2011-06-30;0,75;-1;-1;0;NA;NA
"798";2011-09-30;0,75;-1;0;0;NA;NA
"868";2013-06-30;0,75;-1;-1;0;NA;NA
"877";2013-09-30;0,75;0;-1;0;NA;NA
"888";2013-12-31;0,75;0;-1;1;NA;NA
"898";2014-03-31;0,75;-1;-1;0;NA;NA
"907";2014-06-30;0,75;-1;0;0;NA;NA
"917";2014-09-30;0,75;-1;-1;0;NA;NA
"947";2015-06-30;0,75;-1;-1;0;NA;NA
"767";2010-12-31;1,8;0;0;0;NA;NA
"775";2011-03-31;1,8;-1;-2;-1;NA;NA
"788";2011-06-30;1,8;0;0;1;NA;NA
"799";2011-09-30;1,8;1;1;0;NA;NA
"807";2011-12-31;1,8;0;0;-1;NA;NA
"816";2012-03-31;1,8;-1;0;1;NA;NA
"825";2012-06-30;1,8;-1;-1;0;NA;NA
"859";2013-03-31;1,8;1;0;0;NA;NA
"869";2013-06-30;1,8;-1;0;1;NA;NA
"878";2013-09-30;1,8;0;0;0;NA;NA
"889";2013-12-31;1,8;-1;-1;0;NA;NA
"899";2014-03-31;1,8;0;1;1;NA;NA
"908";2014-06-30;1,8;0;-1;1;NA;NA
"918";2014-09-30;1,8;0;0;0;NA;NA
"927";2014-12-31;1,8;0;0;0;NA;NA
"938";2015-03-31;1,8;0;0;0;NA;NA
"948";2015-06-30;1,8;0;0;0;NA;NA
"768";2010-12-31;0,45;0;NA;1;NA;NA
"776";2011-03-31;0,45;-2;-2;-1;NA;NA
"789";2011-06-30;0,45;-1;-1;-1;NA;NA
"7910";2011-09-30;0,45;1;2;1;NA;NA
"808";2011-12-31;0,45;1;0;0;NA;NA
"8610";2013-06-30;0,45;1;1;0;NA;NA
"879";2013-09-30;0,45;0;0;0;NA;NA
"8810";2013-12-31;0,45;0;1;1;NA;NA
"8910";2014-03-31;0,45;0;0;-1;NA;NA
"909";2014-06-30;0,45;0;0;1;NA;NA
"919";2014-09-30;0,45;-1;0;-1;NA;NA
"928";2014-12-31;0,45;0;0;1;NA;NA
"939";2015-03-31;0,45;2;2;-1;NA;NA
"949";2015-06-30;0,45;1;1;0;NA;NA
