Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q4A,Q4P,Q9,Q4AX,Q5A,Q6AX,Q6P,Q7AX,Q7P,Q2A,Q1,Q2P
1,97375,2110,2,0.33333,2001Q1,25,2,1,1,1,2,3,1,,1,,1,2,1,1
6,50704,2270,3,0.60000,2001Q1,25,1,1,1,,3,1,2,,1,,2,1,1,1
5,33221,2120,1,0.10000,2001Q1,25,3,2,3,2,2,3,2,,1,,1,2,2,2
5,33402,2140,4,0.44000,2001Q1,25,1,1,1,1,3,3,2,,1,,1,3,1,1
6,97162,2240,3,0.15000,2001Q1,25,1,1,1,1,1,2,,,1,,1,2,2,2
4,31088,2140,5,0.55000,2001Q1,25,3,1,3,1,2,3,3,,1,,1,3,2,1
1,53226,2140,7,0.77000,2001Q1,25,3,2,3,3,1,2,3,,2,,2,3,2,2
5,33202,2220,6,1.50000,2001Q1,25,3,2,3,2,2,2,2,,1,,1,3,2,3
6,96844,2220,3,0.75000,2001Q1,25,3,3,3,3,3,2,3,,1,,1,3,2,3
1,96397,2110,3,0.49714,2001Q1,25,2,1,2,1,1,1,2,,1,,1,3,2,1
1,96901,2120,5,0.50000,2001Q1,25,2,3,2,3,1,2,3,,1,,2,3,2,3
1,50429,2220,6,1.50000,2001Q1,25,2,1,2,1,2,2,2,,2,,2,2,2,1
1,50218,2230,8,0.24000,2001Q1,25,1,2,1,2,2,3,2,,2,,2,1,1,2
2,97112,2220,4,1.00000,2001Q1,25,3,3,3,3,2,3,2,,2,,2,3,2,3
1,96944,2130,4,0.24000,2001Q1,25,3,3,3,3,2,2,3,,2,,2,2,1,2
1,96652,2120,4,0.40000,2001Q1,25,1,1,1,1,2,3,2,,1,,1,1,1,1
1,50460,2220,2,0.50000,2001Q1,25,3,3,3,3,1,3,3,,3,,3,3,2,3
1,96978,2120,4,0.40000,2001Q1,25,2,2,2,2,1,2,2,,1,,1,2,1,2
1,50291,2130,5,0.30000,2001Q1,25,3,,3,,1,2,2,,2,,2,2,2,2
1,96391,2110,3,0.49714,2001Q1,25,2,2,2,2,2,2,2,,2,,2,3,2,2
1,50505,2220,5,1.25000,2001Q1,25,3,3,3,3,3,2,2,,1,,,3,2,3
6,96623,2230,8,0.24000,2001Q1,25,1,1,1,1,1,2,1,,1,,1,3,2,1
6,50067,2110,5,0.83000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,2,2,2
1,50137,2120,9,0.90000,2001Q1,25,1,1,1,1,2,1,2,,1,,,2,2,2
1,96655,2220,5,1.25000,2001Q1,25,2,1,2,1,2,2,2,,1,,1,2,2,1
1,51840,2210,6,0.18000,2001Q1,25,3,3,3,3,1,2,2,,1,,2,2,2,2
4,50274,2140,4,0.44000,2001Q1,25,2,2,3,2,1,3,2,,3,,1,3,2,3
1,97233,2210,5,0.15000,2001Q1,25,3,3,3,3,2,2,2,,2,,2,3,2,3
6,53044,2110,3,0.49714,2001Q1,25,3,3,3,3,1,2,2,,1,,2,3,2,3
1,50198,2120,3,0.30000,2001Q1,25,1,,1,,1,3,2,,1,,1,2,1,1
1,96404,2110,1,0.17000,2001Q1,25,3,2,3,2,,2,3,,1,,1,3,2,3
4,50711,2270,2,0.40000,2001Q1,25,2,3,2,3,2,2,2,,1,,1,3,2,3
2,96980,2110,4,0.66400,2001Q1,25,3,3,3,3,2,3,3,,2,,2,3,2,2
2,33232,2220,3,0.75000,2001Q1,25,1,1,1,1,2,3,2,,2,,2,2,1,2
2,33199,2210,6,0.18000,2001Q1,25,3,2,3,3,2,2,2,,1,,1,2,2,2
5,33358,2210,3,0.09000,2001Q1,25,3,2,3,2,2,3,3,,1,,3,3,2,2
1,96667,2140,3,0.33000,2001Q1,25,2,3,3,3,1,3,2,,1,,1,3,2,3
2,33526,2220,6,1.50000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
1,96643,2240,2,0.10000,2001Q1,25,1,2,1,2,2,2,2,,1,,2,1,1,1
5,96997,2140,4,0.44000,2001Q1,25,3,2,3,2,1,2,2,,2,,2,3,2,3
7,50177,2120,3,0.30000,2001Q1,25,1,1,1,1,3,2,2,,2,,2,1,2,1
1,50688,2270,4,0.80000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,3,2,2
2,33217,2110,7,1.16200,2001Q1,25,2,2,2,2,2,2,2,,1,,1,2,1,2
1,50608,2210,3,0.09000,2001Q1,25,3,3,3,3,2,2,2,,1,,,2,2,2
1,96414,2110,1,0.17000,2001Q1,25,1,2,2,2,2,2,2,,1,,1,2,1,2
1,96381,2130,7,0.42000,2001Q1,25,3,2,3,2,1,2,2,,1,,1,3,2,2
6,50346,2210,3,0.09000,2001Q1,25,3,3,3,3,1,2,2,,3,,3,3,2,3
1,96388,2120,3,0.30000,2001Q1,25,3,2,2,2,1,2,2,,2,,2,3,2,3
2,96902,2130,3,0.18000,2001Q1,25,2,1,2,1,2,2,1,,1,,1,2,1,1
4,50115,2210,3,0.09000,2001Q1,25,3,3,3,3,2,3,3,,2,,2,3,2,3
2,33398,2120,1,0.10000,2001Q1,25,3,1,2,2,2,3,3,,2,,1,3,1,2
5,33389,2220,6,1.50000,2001Q1,25,3,2,3,3,1,2,2,,2,,2,3,2,3
2,33220,2220,3,0.75000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,2,2,2
1,96745,2230,4,0.12000,2001Q1,25,3,2,3,2,2,2,2,,2,,2,3,2,3
1,96645,2120,1,0.10000,2001Q1,25,3,2,3,2,2,3,2,,1,,1,3,2,3
1,97035,2110,3,0.49714,2001Q1,25,2,3,2,3,1,2,2,,1,,1,3,2,3
5,52180,2140,2,0.22000,2001Q1,25,2,2,3,2,1,2,2,,1,,1,2,2,2
5,33230,2130,5,0.30000,2001Q1,25,2,1,2,1,2,2,2,,1,,1,1,2,1
5,33492,2270,3,0.60000,2001Q1,25,3,,3,,2,3,2,,2,,2,3,2,3
8,90972,2210,1,0.03000,2001Q1,25,3,2,3,2,2,,2,,1,,2,3,2,3
5,50566,2240,3,0.15000,2001Q1,25,2,2,2,2,2,3,2,,1,,2,2,2,2
5,50693,2130,1,0.06000,2001Q1,25,2,2,2,2,1,2,2,,1,,1,2,2,2
