Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
03;13140;2220;9;87.5;15Q2;1;2;2;1;2;1;2;2;2;1;1;1;1;1;2;TRUE;FALSE;FALSE;FALSE
06;13402;2240;2;0.375;15Q2;;2;;2;2;2;1;2;2;1;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
01;13454;2120;6;10.01000023;15Q2;2;3;;1;;2;;3;;1;;2;;3;2;TRUE;FALSE;FALSE;FALSE
06;13851;2220;9;87.5;15Q2;2;3;2;1;1;1;1;2;2;2;2;3;2;3;1;TRUE;FALSE;FALSE;FALSE
06;14295;2110;5;6.420000076;15Q2;1;3;2;3;3;3;3;1;2;1;1;3;3;3;2;TRUE;FALSE;FALSE;FALSE
06;14637;2110;7;32.09999847;15Q2;1;2;3;2;3;2;3;2;2;2;1;2;1;2;1;TRUE;FALSE;FALSE;FALSE
06;14648;2110;5;6.420000076;15Q2;;3;1;3;1;2;2;2;2;1;2;2;1;3;2;TRUE;FALSE;FALSE;FALSE
05;14650;2130;7;21.45000076;15Q2;1;2;3;1;3;1;3;3;3;3;3;3;3;1;2;TRUE;FALSE;FALSE;FALSE
06;14655;2220;7;18.75;15Q2;2;3;3;3;3;2;2;3;2;2;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
05;14701;2130;3;1.001000047;15Q2;2;3;3;2;3;3;3;2;2;2;2;2;2;3;2;TRUE;FALSE;FALSE;FALSE
06;35133;2110;2;0.64200002;15Q2;2;2;;3;3;3;3;2;2;3;3;3;3;3;2;TRUE;FALSE;FALSE;FALSE
01;37254;2220;4;1.875;15Q2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;TRUE;FALSE;FALSE;FALSE
06;37276;2220;9;87.5;15Q2;1;;;2;2;2;2;2;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
04;91008;2120;1;0.143000007;15Q2;;3;3;2;2;2;2;2;2;1;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
06;96460;2220;3;0.875;15Q2;1;1;1;1;2;2;2;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
06;96491;2120;8;42.90000153;15Q2;2;2;2;;;1;1;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
05;96788;2220;4;1.875;15Q2;1;1;1;2;1;2;1;2;2;1;1;1;1;2;2;TRUE;FALSE;FALSE;FALSE
06;96841;2110;3;1.498000026;15Q2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;TRUE;FALSE;FALSE;FALSE
05;11085;2110;7;32.09999847;15Q3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;FALSE;FALSE;FALSE;FALSE
05;11113;2120;3;1.001000047;15Q3;2;3;2;2;2;2;2;3;3;3;2;3;2;3;2;FALSE;FALSE;FALSE;FALSE
01;13013;2110;4;3.210000038;15Q3;1;2;2;1;2;1;2;3;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;13014;2220;9;87.5;15Q3;;3;2;3;2;2;2;2;2;2;2;;2;3;2;FALSE;FALSE;FALSE;FALSE
01;13015;2220;9;87.5;15Q3;1;2;2;1;1;1;1;1;1;2;2;2;1;1;2;FALSE;FALSE;FALSE;FALSE
01;13026;2220;7;18.75;15Q3;1;2;3;3;1;2;1;1;2;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
01;13034;2120;3;1.001000047;15Q3;1;3;2;2;3;2;3;2;2;1;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;13045;2220;5;3.75;15Q3;1;2;2;1;2;1;2;3;2;1;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;13048;2110;2;0.64200002;15Q3;2;3;3;2;3;3;3;3;3;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
06;13060;2240;3;0.875;15Q3;2;3;1;3;1;2;1;2;1;1;1;1;2;1;2;FALSE;FALSE;FALSE;FALSE
08;13063;2110;4;3.210000038;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
03;13081;2220;5;3.75;15Q2;2;3;3;2;2;2;2;2;2;2;1;2;2;3;3;TRUE;FALSE;FALSE;FALSE
06;13084;2110;2;0.64200002;15Q2;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;TRUE;FALSE;FALSE;FALSE
01;13088;2230;4;1.875;15Q3;1;1;1;1;1;1;1;2;;1;1;1;1;1;3;FALSE;FALSE;FALSE;FALSE
01;13095;2110;3;1.498000026;15Q3;;3;3;2;3;3;3;1;2;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
06;13107;2110;3;1.498000026;15Q3;2;2;2;2;1;2;1;3;3;2;2;1;2;3;2;FALSE;FALSE;FALSE;FALSE
02;13109;2220;6;8.75;15Q3;1;2;3;2;3;2;3;2;2;1;2;1;2;2;2;FALSE;FALSE;FALSE;FALSE
06;13110;2110;2;0.64200002;15Q2;2;2;;3;2;3;2;2;2;1;1;1;1;3;2;TRUE;FALSE;FALSE;FALSE
06;13111;2110;9;149.8000031;15Q3;2;3;1;2;1;2;1;1;2;3;2;3;2;2;1;FALSE;FALSE;FALSE;FALSE
06;13112;2210;3;0.875;15Q2;2;3;2;3;2;3;2;2;2;1;2;2;2;3;1;TRUE;FALSE;FALSE;FALSE
01;13124;2110;2;0.64200002;15Q3;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;13139;2110;3;1.498000026;15Q3;1;1;2;1;2;1;2;2;2;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
03;13140;2220;9;87.5;15Q2;1;2;2;1;2;1;2;2;2;1;1;1;1;1;2;TRUE;FALSE;FALSE;FALSE
02;13144;2210;6;8.75;15Q3;2;3;3;2;1;2;2;2;1;1;1;1;1;3;1;FALSE;FALSE;FALSE;FALSE
06;13148;2230;4;1.875;15Q3;2;3;3;3;3;3;3;3;3;1;1;3;3;3;3;FALSE;FALSE;FALSE;FALSE
03;13208;2120;7;21.45000076;15Q3;2;3;2;3;2;3;2;2;2;1;1;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;13214;2210;2;0.375;15Q3;1;2;2;2;2;2;2;2;2;1;;1;;2;2;FALSE;FALSE;FALSE;FALSE
01;13290;2220;2;0.375;15Q3;2;3;2;3;2;3;1;2;2;1;1;1;2;3;2;FALSE;FALSE;FALSE;FALSE
06;13318;2110;1;0.214000002;15Q3;1;2;1;2;1;2;2;2;2;1;1;2;2;1;2;FALSE;FALSE;FALSE;FALSE
06;13319;2220;2;0.375;15Q3;1;2;3;2;2;2;2;2;2;2;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;13358;2220;2;0.375;15Q3;2;3;2;3;2;3;2;3;2;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
06;13364;2210;8;37.5;15Q3;2;3;3;3;3;3;3;3;3;2;1;3;2;3;2;FALSE;FALSE;FALSE;FALSE
06;13378;2130;4;2.144999981;15Q3;2;3;2;3;2;3;2;2;2;3;2;3;2;3;3;FALSE;FALSE;FALSE;FALSE
06;13381;2120;5;4.289999962;15Q3;2;3;2;3;2;3;2;2;2;1;1;3;2;3;1;FALSE;FALSE;FALSE;FALSE
01;13386;2110;3;1.498000026;15Q3;1;2;3;2;3;2;2;2;3;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;13398;2220;3;0.875;15Q3;2;3;2;2;2;2;2;2;2;1;1;3;3;3;2;FALSE;FALSE;FALSE;FALSE
