Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
8,90972,2210,1,0.125,17Q1,,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96388,2120,3,1.001000047,17Q1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96391,2110,3,1.498000026,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96420,2220,3,0.875,17Q1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96548,2110,6,14.9800005,17Q1,2,3,2,3,2,3,2,2,2,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96551,2130,7,21.45000076,17Q1,1,1,2,1,1,1,1,1,1,3,3,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96623,2230,8,37.5,17Q1,2,3,2,3,2,3,2,3,2,1,2,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96642,2220,9,87.5,17Q1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96643,2240,2,0.375,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96645,2120,2,0.42900002,17Q1,,3,2,3,2,3,2,2,2,,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96658,2110,2,0.64200002,17Q1,2,3,,3,2,3,2,3,2,1,2,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96674,2210,5,3.75,17Q1,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96679,2210,3,0.875,17Q1,2,3,1,3,2,3,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96788,2220,4,1.875,17Q1,1,2,,3,1,3,1,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96841,2110,3,1.498000026,17Q1,1,3,2,3,2,2,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96901,2120,8,42.90000153,17Q1,1,2,1,2,1,3,1,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96978,2230,4,1.875,17Q1,1,3,1,2,1,2,1,2,2,3,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,97059,2110,7,32.09999847,17Q1,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,97102,2130,6,10.01000023,17Q1,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,97112,2220,4,1.875,17Q1,1,2,0,2,0,3,0,2,0,2,0,1,0,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,13014,,,,17Q1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,13358,,,,17Q1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13065,2110,4,3.210000038,17Q1,1,2,2,1,1,3,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13467,2110,3,1.498000026,17Q1,,,,2,2,1,3,2,2,2,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13987,2210,4,1.875,17Q1,1,2,2,2,2,2,2,2,1,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,14707,2110,5,6.420000076,17Q1,1,1,3,1,3,1,3,2,1,2,2,2,2,2,3,,,,FALSE,FALSE,FALSE,FALSE,TRUE
1,37254,2220,4,1.875,17Q1,1,2,3,2,3,2,3,2,3,2,3,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
5,11082,2130,3,1.001000047,17Q1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13380,2110,3,1.498000026,17Q1,2,3,,3,,3,,1,,1,,1,,1,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,37276,2220,9,87.5,17Q1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,FALSE,FALSE,FALSE,FALSE,TRUE
1,96528,2110,3,1.498000026,17Q1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13467,2110,3,1.498000026,15Q3,2,2,3,2,3,2,3,3,2,2,2,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13671,2110,3,1.498000026,15Q3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13673,2110,1,0.214000002,15Q3,1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13753,2130,7,21.45000076,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13756,2130,3,1.001000047,15Q3,2,3,2,3,2,3,1,3,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13806,2220,7,18.75,15Q3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13817,2240,5,3.75,15Q3,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13823,2240,7,18.75,15Q3,2,2,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13847,2120,3,1.001000047,15Q3,2,,,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,13850,2120,4,2.144999981,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13851,2220,9,87.5,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13949,2130,5,4.289999962,15Q3,1,3,3,2,3,2,3,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,13975,2220,8,37.5,15Q3,1,3,3,2,3,2,3,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13984,2220,9,87.5,15Q3,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14007,2210,9,87.5,15Q3,1,3,2,2,2,2,2,1,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14022,2120,6,10.01000023,15Q3,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14241,2220,9,87.5,15Q3,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14262,2210,8,37.5,15Q3,2,2,,2,3,2,3,2,2,3,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14264,2220,3,0.875,15Q3,2,3,1,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14273,2230,3,0.875,15Q3,1,3,1,1,1,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14295,2110,5,6.420000076,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14642,2220,5,3.75,15Q3,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14653,2130,7,21.45000076,15Q3,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14654,2110,7,32.09999847,15Q3,2,3,3,2,3,3,3,2,3,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14655,2220,7,18.75,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,3,1.001000047,15Q3,2,2,2,1,3,1,3,3,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14661,2110,7,32.09999847,15Q3,1,2,,1,,1,,2,,1,,1,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14663,2110,7,32.09999847,15Q3,2,3,3,3,3,3,3,2,2,1,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14665,2210,2,0.375,15Q3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14667,2110,7,32.09999847,15Q3,2,3,3,3,3,3,3,3,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14708,2130,5,4.289999962,15Q3,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14712,2110,7,32.09999847,15Q3,1,2,,2,,2,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14766,2110,8,64.19999695,15Q3,1,2,2,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14022,2120,6,10.01000023,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14241,2220,9,87.5,14Q4,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14273,2230,3,0.875,14Q4,1,2,1,3,1,2,2,1,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14700,2110,5,6.420000076,14Q4,1,1,2,1,2,2,3,2,2,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13963,2210,5,3.75,14Q4,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
4,50717,2210,3,0.875,14Q4,2,2,,3,2,3,2,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13048,2110,2,0.64200002,14Q4,2,3,3,2,3,2,3,2,3,2,3,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13148,2230,4,1.875,14Q4,2,3,3,3,3,3,3,3,3,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14638,2110,3,1.498000026,14Q4,2,3,,3,,3,,2,,1,,1,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13847,2120,3,1.001000047,14Q4,2,2,3,2,3,2,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13060,2240,3,0.875,14Q4,1,1,3,1,2,1,3,2,2,1,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,50157,2120,9,100.1000061,14Q4,1,1,,1,,1,,1,,1,,1,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,3,1.001000047,14Q4,2,1,3,1,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37210,2120,5,4.289999962,14Q4,2,3,3,2,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13827,2130,3,1.001000047,14Q4,1,,,1,1,2,2,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13671,2110,3,1.498000026,14Q4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13459,2110,3,1.498000026,14Q4,2,2,3,2,2,1,2,2,1,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13319,2220,2,0.375,14Q4,1,2,3,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96732,2110,7,32.09999847,14Q4,2,2,2,1,3,2,2,2,3,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13414,2120,4,2.144999981,14Q4,1,3,2,3,2,3,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13209,2110,7,32.09999847,14Q4,1,2,1,2,2,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13781,2220,6,8.75,14Q4,1,2,2,3,3,2,3,2,3,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
