Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
08,90972,2210,1,0.125,0.125,17Q1,,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96388,2120,3,0.143000007,1.001000047,17Q1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96391,2110,3,0.214000004,1.498000026,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96420,2220,3,0.125,0.875,17Q1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96548,2110,6,0.214000007,14.9800005,17Q1,2,3,2,3,2,3,2,2,2,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96551,2130,7,0.143000005,21.45000076,17Q1,1,1,2,1,1,1,1,1,1,3,3,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96623,2230,8,0.125,37.5,17Q1,2,3,2,3,2,3,2,3,2,1,2,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96642,2220,9,0.125,87.5,17Q1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96643,2240,2,0.125,0.375,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96645,2120,2,0.143000007,0.42900002,17Q1,,3,2,3,2,3,2,2,2,,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96658,2110,2,0.214000007,0.64200002,17Q1,2,3,,3,2,3,2,3,2,1,2,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96674,2210,5,0.125,3.75,17Q1,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96679,2210,3,0.125,0.875,17Q1,2,3,1,3,2,3,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96788,2220,4,0.125,1.875,17Q1,1,2,,3,1,3,1,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96841,2110,3,0.214000004,1.498000026,17Q1,1,3,2,3,2,2,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96901,2120,8,0.143000005,42.90000153,17Q1,1,2,1,2,1,3,1,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96978,2230,4,0.125,1.875,17Q1,1,3,1,2,1,2,1,2,2,3,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,97059,2110,7,0.21399999,32.09999847,17Q1,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
