,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7A,Total_Q8,Total_Q9,CG_Q1,CG_Q2A,CG_Q3A,CG_Q4A,CG_Q5A,CG_Q6A,CG_Q7A,CG_Q8,CG_Q9,NonCG_Q1,NonCG_Q2A,NonCG_Q3A,NonCG_Q4A,NonCG_Q5A,NonCG_Q6A,NonCG_Q7A,NonCG_Q8,NonCG_Q9,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7A,WC_Q8,WC_Q9,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7A,GP_Q8,GP_Q9,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7A,KZN_Q8,KZN_Q9
1992/06/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1992/09/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1992/12/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1993/03/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1993/06/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1993/09/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1993/12/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1994/03/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1994/06/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1994/09/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1994/12/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1995/03/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1995/06/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1995/09/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1995/12/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1996/03/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1996/06/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1996/09/30,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1996/12/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1997/03/31,0,-2,3,11,-4,-11,-11,-3,-3,0,1,11,20,1,-14,-14,1,4,0,9,12,15,3,-3,-3,-2,-6,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1997/06/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1997/09/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1997/12/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1998/03/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1998/06/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1998/09/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1998/12/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1999/03/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1999/06/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1999/09/30,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
1999/12/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
2000/03/31,-1,-3,0,-1,-2,0,0,-3,0,0,-1,0,1,0,0,0,1,1,0,0,-2,-1,-1,0,0,-2,1,-4,-19,-7,-8,-4,9,2,-15,-1,3,12,1,2,16,2,2,12,6,-1,-1,2,-1,0,1,0,2,0
