Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7A,Total_Q8,Total_Q9,CG_Q1,CG_Q2A,CG_Q3A,CG_Q4A,CG_Q5A,CG_Q6A,CG_Q7A,CG_Q8,CG_Q9,NonCG_Q1,NonCG_Q2A,NonCG_Q3A,NonCG_Q4A,NonCG_Q5A,NonCG_Q6A,NonCG_Q7A,NonCG_Q8,NonCG_Q9,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7A,WC_Q8,WC_Q9,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7A,GP_Q8,GP_Q9,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7A,KZN_Q8,KZN_Q9
1992/06/30,23,-45,3,-7,-16,,,,22,26,-50,-3,-11,-45,,,,-10,16,-53,-8,-20,17,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/09/30,17,-67,-35,-55,-36,,,,26,21,-63,-29,-46,-20,,,,-12,6,-86,-65,-78,-65,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/31,21,-66,-47,-52,-36,,,,21,37,-60,-60,-66,-21,,,,-10,6,-84,-53,-55,-50,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/03/31,30,-33,-15,-37,-21,,,,37,20,-46,-32,-48,-20,,,,13,37,-31,-14,-43,-27,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/06/30,24,-55,-28,-40,4,,,,20,23,-67,-44,-68,24,,,,-1,21,-57,-30,-40,-19,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/09/30,29,-35,0,-7,-32,,,,25,24,-64,-30,-45,-16,,,,8,30,-23,14,14,-50,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/31,36,-18,13,-19,-26,,,,33,18,-46,-37,-65,-9,,,,16,43,-15,27,11,-38,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/03/31,56,17,37,19,-8,,,,50,46,-19,12,0,-31,,,,55,59,29,40,21,4,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/06/30,84,70,51,46,-1,,,,17,88,82,75,66,-29,,,,3,76,41,9,5,23,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/09/30,54,49,41,53,7,,,,8,50,20,6,36,-8,,,,-20,54,50,60,53,18,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/31,78,49,53,47,15,,,,11,70,20,51,1,-15,,,,17,78,50,43,58,27,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/03/31,61,20,38,36,43,,,,39,57,11,24,7,53,,,,34,62,17,38,55,23,,,,39,37,51,59,52,,,,,11,73,76,56,40,,34,,,,47,58,83,99,,,,,29
1995/06/30,78,40,41,28,4,,,,30,89,58,57,34,4,,,,1,63,8,8,5,1,,,,55,69,69,7,-2,,,,,62,100,100,89,59,,9,,,,73,55,77,69,,,,,-33
1995/09/30,44,-21,67,34,-9,,,,59,25,-31,58,16,13,,,,25,56,-27,59,32,-32,,,,79,23,39,18,15,,,,,24,100,44,67,38,,2,,,,28,50,100,99,,,,,86
1995/12/31,63,-4,22,10,22,,,,33,41,-29,38,22,4,,,,22,74,1,-4,-11,30,,,,39,78,40,4,-15,,,,,-15,78,71,58,34,,23,,,,27,18,50,49,,,,,42
1996/03/31,37,-20,52,43,18,,,,63,31,-51,57,40,14,,,,61,42,15,22,21,20,,,,57,91,83,54,49,,,,,4,46,-3,46,31,,51,,,,44,84,94,52,,,,,85
1996/06/30,48,0,-5,-6,20,,,,45,55,15,-33,-19,26,,,,31,33,-37,16,-10,5,,,,60,44,22,-21,-27,,,,,33,53,25,53,63,,42,,,,20,39,13,-3,,,,,40
1996/09/30,50,-10,49,53,-31,,,,46,37,-19,49,59,-35,,,,49,68,-9,23,24,-28,,,,30,76,63,13,8,,,,,6,23,-19,41,53,,74,,,,52,97,63,51,,,,,10
1996/12/31,23,-45,13,-14,-39,,,,43,9,-80,-20,-76,-45,,,,44,36,-11,36,34,-35,,,,37,13,42,6,-1,,,,,51,35,0,12,-16,,67,,,,-1,-37,48,28,,,,,55
1997/03/31,48,-19,13,14,-18,,,,15,51,-43,-34,-22,-42,,,,4,45,-8,44,26,-4,,,,20,41,13,45,35,,,,,26,74,17,-20,9,,14,,,,2,1,26,2,,,,,45
1997/06/30,34,-34,17,4,-14,,,,29,4,-82,-59,-65,-67,,,,0,45,-18,51,31,6,,,,39,44,-34,42,38,,,,,55,49,8,34,37,,21,,,,5,-83,15,12,,,,,80
1997/09/30,20,-46,-40,-55,-37,,,,47,13,-14,-21,-65,-57,,,,-8,22,-68,-47,-50,-30,,,,74,85,5,3,5,,,,,21,23,-33,-19,-35,,41,,,,2,-75,-13,-17,,,,,57
1997/12/31,20,-48,-1,0,-27,,,,37,32,-60,-30,-36,-62,,,,-23,13,-47,13,14,-14,,,,62,37,-16,87,67,,,,,57,22,-26,7,8,,50,,,,15,-54,5,4,,,,,47
1998/03/31,18,-51,12,-11,-39,,,,5,21,-11,72,13,-43,,,,-58,16,-71,-7,-25,-39,,,,27,45,-23,36,35,,,,,38,10,-55,27,-32,,-27,,,,9,-80,-29,-49,,,,,35
1998/06/30,15,-75,-41,-36,-44,,,,74,16,-57,-14,-8,-18,,,,26,14,-82,-44,-41,-49,,,,81,12,-70,-56,-73,,,,,70,19,-67,-46,-37,,88,,,,17,-71,-6,-4,,,,,34
1998/09/30,7,-79,-39,-35,-42,,,,54,12,-40,54,52,-6,,,,16,4,-95,-69,-70,-56,,,,66,10,-73,-64,-67,,,,,33,4,-71,-49,-45,,65,,,,43,-90,31,31,,,,,76
1998/12/31,15,-85,-21,-20,-23,,,,38,20,-84,35,37,6,,,,-9,9,-91,-64,-76,-49,,,,75,11,-76,-73,-71,,,,,34,31,-59,-11,-11,,61,,,,20,-84,4,2,,,,,63
1999/03/31,15,-74,-28,-23,-37,,,,61,20,-76,17,17,-23,,,,73,10,-77,-54,-51,-49,,,,53,19,-69,-43,-28,,,,,54,23,-60,-46,-22,,50,,,,13,-69,10,-3,,,,,63
1999/06/30,12,-78,-41,-44,-59,,,,48,17,-72,12,7,-63,,,,34,7,-85,-70,-78,-59,,,,55,14,-59,-34,-38,,,,,51,23,-54,-37,-27,,16,,,,9,-85,-36,-41,,,,,64
1999/09/30,13,-70,-38,-55,-37,,,,38,14,-62,17,-28,-13,,,,18,12,-78,-55,-63,-50,,,,46,11,-53,-52,-50,,,,,56,10,-58,-55,-59,,55,,,,26,-57,-13,-27,,,,,23
1999/12/31,21,-40,-5,-18,-29,,,,18,41,-35,44,19,-7,,,,13,6,-47,-34,-35,-44,,,,22,35,-7,-10,-21,,,,,30,39,2,19,20,,16,,,,17,-66,-19,-40,,,,,24
2000/03/31,43,9,15,12,-42,,,,5,28,-42,-12,-8,-43,,,,8,50,37,35,25,-45,,,,1,63,64,51,52,,,,,34,47,25,21,22,,0,,,,35,-1,-5,0,,,,,-11
2000/06/30,41,-18,-13,0,-16,,,,23,42,-46,-35,1,-28,,,,-2,39,-5,2,-1,-11,,,,36,15,-23,20,-6,,,,,55,41,-8,14,9,,37,,,,40,-21,-41,-15,,,,,33
2000/09/30,44,-31,-15,-40,-10,,,,29,35,-24,-18,-64,1,,,,20,51,-44,-9,-27,-20,,,,35,36,-4,8,9,,,,,41,26,-43,-23,-22,,42,,,,56,-41,-19,-67,,,,,25
2000/12/31,36,-23,-3,-3,-33,,,,12,33,-43,-1,16,-24,,,,5,37,-11,-2,-21,-44,,,,16,29,-17,-24,-3,,,,,34,32,-14,-1,-11,,29,,,,51,-11,15,11,,,,,7
2001/03/31,19,-40,-41,-26,-32,,,,23,7,-81,-70,-34,-49,,,,9,26,-16,-18,-22,-24,,,,32,29,9,34,30,,,,,30,36,-20,-22,-22,,37,,,,13,-65,-62,-13,,,,,25
2001/06/30,49,-15,-14,-23,-33,47,33,-31,18,58,-15,-11,-31,-25,12,10,-54,-3,41,-20,-14,-18,-42,72,50,-18,32,33,5,2,-9,-64,73,73,15,61,51,-1,-3,-14,-18,19,-28,53,31,66,-28,-25,-29,-21,6,23,-21,19
2001/09/30,32,-26,0,1,-27,43,32,-9,21,37,-21,30,34,-26,31,19,23,11,24,-37,-29,-45,-30,60,48,-49,34,27,-32,-46,-33,-44,23,31,-29,52,51,-8,9,7,-4,24,0,19,15,3,-26,50,51,-35,86,48,41,0
2001/12/31,52,-7,-7,-6,-25,55,42,-8,7,50,-34,1,10,-25,74,50,3,13,51,6,-10,-19,-28,41,37,-20,1,20,-33,-41,-59,-58,39,15,-34,41,56,18,-11,-5,-10,-5,-1,58,46,76,9,44,45,-5,50,48,27,4
2002/03/31,79,15,42,30,-26,93,86,20,-13,75,-4,44,18,-53,91,81,17,-28,81,30,43,42,0,95,92,19,2,74,24,24,23,-58,91,90,-5,-4,82,36,52,24,-10,-24,18,100,96,92,14,73,69,-14,92,89,74,2
2002/06/30,92,39,50,21,-5,84,85,28,3,93,19,26,-17,-27,81,82,30,-18,88,52,74,52,12,88,87,21,21,99,43,64,31,-33,87,87,30,33,93,54,28,25,9,-6,8,86,90,91,33,89,9,9,78,76,78,12
2002/09/30,90,48,65,52,3,80,70,50,10,81,39,55,26,-24,79,79,54,4,97,51,77,75,26,81,62,41,14,93,61,48,22,1,57,64,56,18,91,62,65,68,40,28,49,85,86,95,23,90,53,12,77,42,63,-1
2002/12/31,90,42,69,59,7,70,55,54,-9,77,10,42,44,1,87,84,41,-31,97,57,87,66,7,61,38,58,2,100,84,75,74,10,76,90,86,15,86,44,60,22,29,8,39,70,61,95,34,87,84,-3,57,20,69,-34
2003/03/31,74,13,37,38,14,45,42,13,26,79,0,17,13,-20,63,60,-1,7,69,17,54,57,38,31,29,21,39,91,62,71,71,9,25,22,48,47,81,21,18,22,8,24,-4,25,25,81,29,48,45,36,85,83,15,41
2003/06/30,57,-43,-28,-32,-6,-27,-29,-34,24,47,-19,11,2,-27,-22,-6,-11,24,59,-58,-43,-54,3,-30,-40,-49,23,57,-19,-7,-7,11,-36,-20,8,57,50,-29,-14,-23,-6,18,-11,-29,-28,60,-73,-59,-64,4,-45,-57,-80,33
2003/09/30,49,-14,12,-3,-5,-35,-42,-13,-7,60,1,49,17,-26,-36,-34,-6,-19,37,-36,-26,-27,15,-34,-51,-24,3,81,41,19,12,1,-39,14,44,14,39,-13,28,0,4,-2,-12,-51,-65,32,-55,-37,-40,28,-27,-53,-66,-8
2003/12/31,59,-41,-22,-26,2,-57,-55,-19,8,72,-22,7,3,-10,-57,-41,12,17,46,-63,-44,-50,9,-58,-66,-48,0,64,-15,-12,-21,17,-55,-32,10,33,47,-33,-9,-12,3,12,-1,-71,-78,89,-54,-53,-57,37,-39,-36,-54,-13
2004/03/31,62,-29,-25,-21,8,-37,-40,-13,32,59,-28,-24,-6,3,-22,-40,-43,42,64,-34,-24,-36,10,-51,-40,8,21,60,-13,-26,-10,17,-19,-28,0,56,34,-20,-6,-5,19,47,-26,-42,-54,91,-54,-57,-62,-1,-61,-40,6,4
2004/06/30,73,14,-7,0,6,13,10,5,-8,50,-10,-28,-11,8,1,-25,-33,7,85,24,7,4,3,21,30,24,-18,65,17,4,7,7,9,-5,12,26,76,40,-4,7,20,-15,6,4,5,84,-26,-20,-25,2,36,33,19,-13
2004/09/30,87,26,2,1,-8,-16,-7,21,16,79,3,-25,-27,-32,-40,-14,-14,53,93,39,27,22,9,6,-1,48,-18,63,-1,-17,-11,8,-28,-8,34,45,97,49,3,1,-8,18,13,-22,-9,87,11,22,18,7,22,16,74,3
2004/12/31,91,18,14,9,2,-7,-1,0,-22,87,21,17,26,12,-50,-35,-18,-42,94,9,13,-11,-10,38,35,15,-5,78,-14,4,26,19,-48,-51,-15,6,99,53,18,24,36,-25,21,-13,-1,81,-40,9,-37,-53,13,11,-23,-10
2005/03/31,73,10,7,3,15,-32,-42,-6,29,59,-10,-22,-33,-19,-53,-43,-39,45,83,20,33,31,43,-16,-42,17,15,48,-40,-42,-32,-20,-77,-24,-34,-42,83,11,4,-2,9,51,-2,6,-39,81,44,55,39,75,-57,-61,30,1
2005/06/30,81,7,11,17,37,12,15,23,5,80,18,48,59,43,8,3,16,-10,80,-6,-17,-19,29,14,24,25,15,69,18,10,11,24,-22,-9,23,5,88,17,23,27,51,14,44,19,27,89,-6,-20,-7,59,12,16,3,-16
2005/09/30,85,39,22,18,27,33,22,11,9,85,46,12,17,26,34,31,-12,16,83,32,31,17,25,34,16,26,3,79,45,33,35,14,25,21,28,36,85,35,7,-10,27,15,11,48,33,90,66,73,70,68,37,29,4,-17
2005/12/31,91,21,10,6,20,25,18,-12,-1,92,22,19,26,27,33,36,-15,2,89,15,3,-14,11,18,1,-13,-5,93,80,61,51,24,17,22,47,41,91,3,-4,-9,16,24,-12,46,43,90,5,-28,-31,31,5,-21,-51,-53
2006/03/31,78,27,28,31,6,22,6,-21,1,66,42,8,24,5,34,32,-26,14,85,16,41,34,5,16,-8,-21,-9,77,64,42,46,25,-7,-8,15,9,75,45,2,-1,27,29,-27,47,24,93,45,56,56,-19,-12,-25,-32,-53
2006/06/30,85,50,67,63,13,27,9,35,1,84,52,13,10,28,29,25,-17,18,84,47,87,79,7,27,3,49,-5,92,78,64,55,-27,13,27,70,-3,98,74,61,64,46,21,10,36,23,96,80,95,61,14,23,20,75,-46
2006/09/30,93,32,46,42,25,79,67,31,-4,87,20,29,31,34,62,62,17,0,96,38,61,47,15,90,72,37,-8,97,70,60,48,33,63,48,71,38,91,13,36,30,21,8,16,75,66,96,61,62,60,35,91,73,73,-47
2006/12/31,89,48,42,58,48,77,70,51,29,79,5,25,42,34,57,54,25,36,96,69,59,69,56,93,82,66,23,61,17,7,4,56,75,69,7,41,89,50,57,63,52,37,57,68,63,97,38,11,42,51,88,73,51,24
2007/03/31,77,8,27,20,33,57,25,-3,27,72,-19,10,5,33,64,39,-10,33,85,43,53,43,29,46,5,3,16,63,-5,45,45,35,-3,-20,8,45,75,-15,-1,-5,37,49,-15,68,31,97,78,72,51,25,39,-1,11,-17
2007/06/30,94,57,45,46,18,68,55,30,13,99,43,27,27,24,71,66,2,39,88,58,56,54,6,71,53,41,-8,99,100,90,94,28,58,64,44,18,91,53,18,20,-5,13,28,61,55,95,31,35,33,86,74,20,18,31
2007/09/30,92,39,29,27,48,53,40,3,27,86,42,16,17,45,38,20,-38,19,95,33,41,35,48,65,57,34,30,64,85,88,94,67,70,58,-8,50,99,54,27,25,63,37,-4,46,29,96,-29,-23,-32,19,94,92,26,5
2007/12/31,81,-10,26,23,12,49,31,3,36,72,-67,3,-9,-27,61,37,-65,66,87,29,45,47,38,41,26,51,11,88,-13,-19,-33,-4,67,43,21,6,79,1,48,43,14,52,6,50,29,98,-11,-10,-11,66,33,29,29,15
2008/03/31,46,-26,5,7,2,65,50,-37,8,29,-40,10,8,-39,60,49,-69,10,61,-21,4,3,39,70,52,-11,5,54,5,64,52,-31,6,-18,2,34,53,-8,15,20,12,10,-24,83,69,12,-79,-77,-76,75,20,14,-80,4
2008/06/30,51,-37,11,3,-5,87,87,-30,7,42,-65,1,4,-37,90,92,-69,4,58,-10,23,2,28,84,81,9,9,31,-42,26,27,-9,64,53,-34,45,65,-14,20,22,6,-4,-20,96,94,15,-91,-12,-89,-4,93,89,-15,80
2008/09/30,33,-74,-38,-49,-9,86,58,-47,58,47,-64,-28,-35,-8,83,72,-38,47,21,-83,-48,-63,-9,87,44,-58,69,33,-82,-50,-52,4,98,39,-40,70,31,-69,-44,-55,-14,61,-58,80,53,63,-61,-44,-65,-5,99,97,-51,53
2008/12/31,44,-81,-41,-59,-18,57,49,-49,42,32,-80,-47,-51,-18,51,67,-42,46,55,-81,-35,-65,-17,64,32,-56,39,21,-80,-71,-88,-20,40,16,-65,62,42,-81,-68,-67,-39,43,-60,62,59,96,-63,31,-29,2,92,87,6,30
2009/03/31,31,-65,-51,-57,-27,30,25,-48,37,43,-34,-26,-33,0,65,63,-23,34,19,-91,-76,-79,-55,-4,-12,-73,41,52,-22,-19,-48,23,-3,-1,-51,56,27,-83,-74,-75,-48,41,-64,25,15,27,-48,-40,-52,-15,31,30,-14,21
2009/06/30,36,-74,-74,-69,-28,21,12,-67,62,40,-74,-65,-68,-12,46,42,-66,50,31,-73,-87,-71,-50,-12,-28,-69,77,59,-41,-39,-41,12,71,38,-39,62,30,-74,-81,-72,-43,67,-69,5,3,9,-92,-97,-97,-20,6,0,-98,64
2009/09/30,17,-81,-73,-69,-33,7,-24,-78,47,22,-77,-64,-57,-26,19,-17,-71,35,10,-87,-87,-86,-43,-11,-33,-88,65,5,-85,-84,-81,-34,10,-14,-59,45,23,-73,-69,-69,-40,58,-75,-5,-44,35,-70,-72,-71,-7,2,-4,-97,39
2009/12/31,27,-69,-69,-68,-29,-6,-30,-75,37,36,-72,-73,-71,-31,0,-15,-70,42,13,-65,-64,-64,-26,-17,-55,-82,28,42,-50,-71,-71,25,-5,-4,-70,43,28,-71,-69,-67,-31,35,-64,-10,-36,35,1,-40,-44,-4,-46,-73,-92,44
2010/03/31,50,-43,-49,-49,-35,0,-27,-63,17,51,-64,-60,-53,-37,10,-14,-50,16,48,-12,-33,-44,-31,-15,-46,-84,18,62,-51,-57,-53,-32,-24,-30,-36,-18,54,-22,-39,-40,-27,25,-68,0,-38,81,5,2,-5,16,20,9,-81,28
2010/06/30,47,-16,-18,-14,-10,7,-7,-29,25,41,-30,-37,-38,-34,1,-9,-54,14,52,-3,0,8,13,12,-5,-7,35,71,-28,2,3,7,-18,-21,2,57,55,3,-10,-1,3,13,-20,1,-17,42,63,69,56,-8,75,71,-14,22
2010/09/30,50,-27,-42,-41,-11,4,-29,-55,36,54,-29,-37,-39,-8,-2,-26,-71,31,45,-26,-46,-42,-14,9,-31,-40,41,11,-58,-95,-92,-24,-26,-69,-59,39,61,-5,-12,-3,-10,41,-35,3,-26,19,-89,-88,-90,-13,51,43,-88,31
2010/12/31,47,-23,1,1,-8,-16,-26,-21,33,58,-20,-12,-6,5,-6,-15,-17,17,36,-28,14,7,-24,-30,-40,-27,53,29,-63,11,10,-29,-45,-47,-7,28,50,-4,6,10,-2,44,-22,-21,-38,27,-60,-70,-70,-20,43,34,-70,66
2011/03/31,65,10,22,23,10,42,26,-20,13,72,-1,7,6,-3,54,33,-12,15,56,23,37,41,23,28,19,-26,12,69,-3,46,47,9,56,53,5,26,70,37,42,43,22,12,-21,36,6,58,8,-38,-23,-7,59,57,-33,32
2011/06/30,47,-24,-9,-13,3,23,2,-29,17,51,-26,-21,-13,-10,33,21,-45,12,42,-22,1,-15,16,15,-14,-15,22,43,-25,15,-10,12,11,28,-42,28,52,-18,-8,-12,2,17,-19,26,-12,59,-28,-30,-32,-10,61,47,-35,62
2011/09/30,31,-55,-46,-36,-21,27,5,-59,23,21,-65,-58,-49,-23,23,11,-68,25,41,-42,-29,-20,-18,32,-2,-46,20,22,-64,-44,-3,-34,28,27,-67,33,41,-61,-46,-52,-19,27,-56,34,5,71,-3,2,-28,-3,55,1,-32,56
2011/12/31,38,-24,-21,-17,5,58,36,-35,27,36,-48,-42,-40,-12,50,33,-56,9,41,7,6,15,27,67,40,-6,51,22,-32,-18,-20,11,46,61,-50,61,45,-9,-13,0,5,20,-15,76,28,79,-28,-28,-31,-10,92,40,-59,16
2012/03/31,48,-32,-14,-7,-9,40,25,-29,36,25,-58,-44,-38,-17,29,23,-51,36,77,0,27,35,1,55,26,-1,36,38,-48,-31,-18,-13,40,34,-37,65,56,-17,10,18,-7,29,-15,61,23,38,-6,-6,-12,-28,52,66,-31,26
2012/06/30,50,-2,11,5,3,36,17,-14,17,29,-36,-11,-11,-13,41,17,-43,8,72,34,37,23,21,32,17,18,28,58,-40,-40,-37,-4,71,63,-68,43,42,-2,27,17,5,16,2,30,-1,84,31,30,26,29,4,-1,15,27
2012/09/30,53,-3,14,5,-4,32,-11,-26,15,55,2,-4,-7,-22,9,0,-35,-2,52,-8,31,16,12,53,-21,-19,31,68,28,37,21,-6,29,-13,7,-12,50,-9,16,8,-7,22,-28,30,-25,48,-34,-22,-42,12,59,31,-43,32
2012/12/31,57,-36,-26,-34,-33,62,15,-47,11,77,-20,-15,-21,-18,62,39,-29,8,22,-61,-46,-34,-33,62,15,-47,11,52,-1,0,4,-33,70,40,1,-15,54,-57,-49,-47,-36,29,-47,48,2,49,-28,13,13,-13,67,63,-4,14
2013/03/31,71,5,23,14,13,70,51,-6,20,71,-9,5,-12,-9,60,45,-32,25,72,22,46,45,42,82,57,25,14,76,-3,30,15,15,84,40,4,59,66,16,28,24,6,2,3,61,43,95,3,22,17,2,61,73,1,25
2013/06/30,61,-8,9,6,6,66,57,-10,19,60,-28,-8,-10,-15,64,58,-28,16,62,17,29,27,32,68,56,14,24,64,8,6,1,-24,71,48,-29,10,64,6,4,6,14,23,0,58,50,48,-15,75,52,3,70,64,53,24
2013/09/30,43,-23,4,-3,-7,66,49,-20,22,41,-25,-8,-25,-25,50,37,-44,14,44,-22,20,23,14,87,65,7,30,27,-45,-25,-5,-24,71,60,-9,32,46,-17,7,-4,10,24,-18,77,52,68,-28,63,32,-34,68,55,-41,5
2013/12/31,51,-4,13,3,-9,65,41,-13,31,50,-15,5,2,-28,45,21,-14,7,52,8,22,6,16,88,67,-13,63,41,16,14,8,-34,56,27,-4,42,55,-18,1,-9,0,30,-26,55,31,52,-7,60,48,-10,92,83,33,28
2014/03/31,47,-31,-28,-18,-20,90,76,-13,51,41,-47,-35,-27,-52,89,74,-9,45,54,-10,-18,-7,19,92,79,-19,59,59,-6,-9,10,-48,97,89,-7,44,33,-57,-56,-52,2,60,-46,83,59,28,-79,-38,-39,-36,100,98,84,30
2014/06/30,44,-27,-31,-37,-9,68,30,-13,40,38,-14,-40,-50,-19,65,34,-25,30,52,-43,-22,-22,2,72,25,1,53,77,8,14,-19,-23,75,71,43,36,21,-80,-82,-69,-6,51,-40,67,-4,39,-10,9,-2,1,73,30,-13,58
2014/09/30,59,-8,3,-13,3,63,45,20,31,55,-7,-18,-19,-16,70,52,15,16,63,-9,25,-9,21,55,39,23,45,82,8,21,0,-37,56,41,25,22,45,-19,-4,-25,25,48,3,53,37,47,-46,-43,-53,-15,76,65,21,12
2014/12/31,60,2,2,-15,-6,57,46,5,31,58,-17,-23,-17,-16,56,54,-3,32,62,23,29,-13,5,59,38,14,30,95,22,40,46,-3,24,42,-7,26,27,-18,-37,-60,-6,46,-26,63,26,62,-16,-22,-37,-48,40,40,9,10
2015/03/31,61,-9,6,-8,2,45,35,-3,32,69,4,26,8,-4,35,29,12,37,53,-24,-15,-26,8,55,41,-21,25,61,-17,49,-1,0,41,24,25,16,32,-24,-69,-57,-4,40,-44,35,24,87,8,11,1,-38,73,70,16,18
2015/06/30,64,3,26,17,18,52,37,-12,28,64,-10,19,7,-6,66,40,-1,32,63,15,31,24,38,41,35,-21,23,84,10,46,46,28,80,67,2,11,43,-5,2,-8,29,38,-48,24,11,89,-7,25,25,-7,71,35,4,21
2015/09/30,50,-35,-5,-11,15,50,32,-11,36,60,-44,0,-7,-8,53,46,1,34,43,-27,-10,-14,36,48,20,-21,38,83,-15,29,27,27,71,59,23,10,24,-52,-42,-43,19,44,-52,29,2,35,-13,6,6,-40,46,36,29,67
2015/12/31,47,-34,-1,-8,-6,79,56,-15,42,51,-35,7,2,-11,82,73,-11,32,44,-34,-7,-15,-1,76,44,-17,48,55,-26,16,29,37,79,62,17,36,39,-55,-20,-43,-28,52,-48,79,49,36,-26,-11,-9,-20,49,47,7,30
2016/03/31,50,-34,-7,-17,-8,96,62,-6,37,53,-63,-28,-28,-10,96,66,-18,42,47,-5,13,-6,-6,95,58,5,33,66,-59,-11,-13,21,99,74,-14,40,37,-28,-24,-43,-25,39,-31,95,48,37,-12,12,12,-6,82,63,35,44
2016/06/30,47,-38,-26,-30,-5,83,58,-15,28,50,-34,-28,-33,-8,83,60,-10,23,43,-42,-22,-25,-3,83,56,-21,35,48,-55,-6,-26,27,85,56,-8,33,46,-32,-49,-44,-18,20,-32,84,57,32,-67,-17,-18,-36,71,57,13,27
2016/09/30,56,-20,-2,-11,-12,46,27,-9,40,56,-20,4,13,-7,35,20,5,45,57,-20,-9,-38,-18,59,34,-26,33,51,-43,9,-12,-6,49,12,-10,53,58,-16,-18,-24,-19,35,-24,45,31,71,-26,12,11,4,35,21,11,15
2016/12/31,53,-14,3,-1,-1,28,23,-32,10,55,-44,-27,-26,-2,37,19,-54,22,51,25,45,29,-1,16,27,-3,-2,62,-2,18,10,13,19,-19,-2,17,53,-5,6,0,-12,12,-35,16,26,45,-83,-81,-82,-16,60,48,-95,18
2017/03/31,56,-24,-18,-23,-23,5,8,6,20,40,-28,-18,-32,-29,3,-6,3,23,68,-20,-17,-15,-19,6,20,8,19,64,-42,11,3,-21,-27,-9,52,48,53,-15,-27,-31,-26,0,-1,10,10,58,-56,-61,-70,-41,22,2,-81,42
2017/06/30,49,-24,-12,-27,-20,30,0,-24,18,45,-21,-12,-37,-8,15,-4,-35,32,55,-26,-14,-14,-36,49,5,-9,-3,58,-15,18,-8,-13,-18,-44,-31,-2,56,-18,-5,-21,-29,3,-15,54,14,41,-98,-83,-85,-8,-52,-52,-98,60
