Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
8,90972,2210,1,0.628837107,17Q1,,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96388,2120,1,0.903953341,17Q1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96391,2110,1,2.004418277,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96420,2220,1,2.083022916,17Q1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96548,2110,2,5.228802736,17Q1,2,3,2,3,2,3,2,2,2,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96551,2130,2,2.153036421,17Q1,1,1,2,1,1,1,1,1,1,3,3,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96623,2230,2,3.690919579,17Q1,2,3,2,3,2,3,2,3,2,1,2,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96642,2220,3,7.93083166,17Q1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96643,2230,1,1.41488349,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96645,2120,1,0.903953341,17Q1,,3,2,3,2,3,2,2,2,,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96658,2110,1,2.004418277,17Q1,2,3,,3,2,3,2,3,2,1,2,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96674,2210,2,1.640408702,17Q1,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96679,2210,1,0.628837107,17Q1,2,3,1,3,2,3,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96788,2220,2,5.433853824,17Q1,1,2,,3,1,3,1,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96841,2110,1,2.004418277,17Q1,1,3,2,3,2,2,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96901,2120,2,2.358087509,17Q1,1,2,1,2,1,3,1,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96978,2230,2,3.690919579,17Q1,1,3,1,2,1,2,1,2,2,3,2,2,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,97059,2110,2,5.228802736,17Q1,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,97102,2130,2,2.153036421,17Q1,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,97112,2220,2,5.433853824,17Q1,1,2,0,2,0,3,0,2,0,2,0,1,0,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,13014,,,0,17Q1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
,13358,,,0,17Q1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13065,2110,2,5.228802736,17Q1,1,2,2,1,1,3,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13467,2110,1,2.004418277,17Q1,,,,2,2,1,3,2,2,2,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13987,2210,2,1.640408702,17Q1,1,2,2,2,2,2,2,2,1,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,14707,2110,2,5.228802736,17Q1,1,1,3,1,3,1,3,2,1,2,2,2,2,2,3,,,,FALSE,FALSE,FALSE,FALSE,TRUE
