Date,Datum
1992Q1,1992/03/31
1992Q2,1992/06/30
1992Q3,1992/09/30
1992Q4,1992/12/31
1993Q1,1993/03/31
1993Q2,1993/06/30
1993Q3,1993/09/30
1993Q4,1993/12/31
1994Q1,1994/03/31
1994Q2,1994/06/30
1994Q3,1994/09/30
1994Q4,1994/12/31
1995Q1,1995/03/31
1995Q2,1995/06/30
1995Q3,1995/09/30
1995Q4,1995/12/31
1996Q1,1996/03/31
1996Q2,1996/06/30
1996Q3,1996/09/30
1996Q4,1996/12/31
1997Q1,1997/03/31
1997Q2,1997/06/30
1997Q3,1997/09/30
1997Q4,1997/12/31
1998Q1,1998/03/31
1998Q2,1998/06/30
1998Q3,1998/09/30
1998Q4,1998/12/31
1999Q1,1999/03/31
1999Q2,1999/06/30
1999Q3,1999/09/30
1999Q4,1999/12/31
2000Q1,2000/03/31
2000Q2,2000/06/30
2000Q3,2000/09/30
2000Q4,2000/12/31
2001Q1,2001/03/31
2001Q2,2001/06/30
2001Q3,2001/09/30
2001Q4,2001/12/31
2002Q1,2002/03/31
2002Q2,2002/06/30
2002Q3,2002/09/30
2002Q4,2002/12/31
2003Q1,2003/03/31
2003Q2,2003/06/30
2003Q3,2003/09/30
2003Q4,2003/12/31
2004Q1,2004/03/31
2004Q2,2004/06/30
2004Q3,2004/09/30
2004Q4,2004/12/31
2005Q1,2005/03/31
2005Q2,2005/06/30
2005Q3,2005/09/30
2005Q4,2005/12/31
2006Q1,2006/03/31
2006Q2,2006/06/30
2006Q3,2006/09/30
2006Q4,2006/12/31
2007Q1,2007/03/31
2007Q2,2007/06/30
2007Q3,2007/09/30
2007Q4,2007/12/31
2008Q1,2008/03/31
2008Q2,2008/06/30
2008Q3,2008/09/30
2008Q4,2008/12/31
2009Q1,2009/03/31
2009Q2,2009/06/30
2009Q3,2009/09/30
2009Q4,2009/12/31
2010Q1,2010/03/31
2010Q2,2010/06/30
2010Q3,2010/09/30
2010Q4,2010/12/31
2011Q1,2011/03/31
2011Q2,2011/06/30
2011Q3,2011/09/30
2011Q4,2011/12/31
2012Q1,2012/03/31
2012Q2,2012/06/30
2012Q3,2012/09/30
2012Q4,2012/12/31
2013Q1,2013/03/31
2013Q2,2013/06/30
2013Q3,2013/09/30
2013Q4,2013/12/31
2014Q1,2014/03/31
2014Q2,2014/06/30
2014Q3,2014/09/30
2014Q4,2014/12/31
2015Q1,2015/03/31
2015Q2,2015/06/30
2015Q3,2015/09/30
2015Q4,2015/12/31
2016Q1,2016/03/31
2016Q2,2016/06/30
2016Q3,2016/09/30
2016Q4,2016/12/31
